MEASUREMENT MEAN_R MEAN_I STD
Nsqrd 255.99993147 0.35576104 0.32678789
action_bosonic 98.73896335 0.00000000 3.92453971
action_fermionic -405.37127716 0.00000000 23.14986271
action_total -306.63231381 0.00000000 26.98052907
chemical_potential 0.00000000 0.00000000 0.00000000
compressibility -0.00001230 0.00000000 0.00055336
density 1.00000000 0.00069485 0.00063824
density_dn 0.55830468 0.00034742 0.00417327
density_up 0.44169532 0.00034742 0.00417327
double_occ 0.01226683 0.00034742 0.00530453
logdetGdn -227.88052447 0.00000000 13.82128163
logdetGup -177.49075269 0.00000000 9.36520875
sgn 1.00000000 0.00000000 0.00000000
sgndetGdn 0.18105331 0.03491426 0.13414193
sgndetGup 0.18105331 -0.03491426 0.13414193
