MEASUREMENT ID_TYPE ID MEAN_R MEAN_I STD
X4 PHONON_ID 1 0.79990311 0.00000000 0.01052876
X3 PHONON_ID 1 0.00164431 0.00000000 0.00164431
X2 PHONON_ID 1 0.54749365 0.00000000 0.00732698
X PHONON_ID 1 0.00248525 0.00000000 0.00248525
photon_pot_energy PHOTON_ID 1 0.27374682 0.00000000 0.00366349
photon_kin_energy PHOTON_ID 1 -19.41099401 -0.00000000 0.98479842
hubbard_energy ORBITAL_ID 1 0.00000000 0.00000000 0.00000000
hopping_inversion HOPPING_ID 1 1.00000000 0.00000000 0.00000000
hopping_inversion HOPPING_ID 2 1.00000000 0.00000000 0.00000000
hopping_inversion_dn HOPPING_ID 1 1.00000000 0.00000000 0.00000000
hopping_inversion_dn HOPPING_ID 2 1.00000000 0.00000000 0.00000000
hopping_inversion_up HOPPING_ID 1 1.00000000 0.00000000 0.00000000
hopping_inversion_up HOPPING_ID 2 1.00000000 0.00000000 0.00000000
hopping_inversion_avg HOPPING_ID 1 1.00000000 0.00000000 0.00000000
hopping_inversion_avg HOPPING_ID 2 1.00000000 0.00000000 0.00000000
hopping_inversion_avg_dn HOPPING_ID 1 1.00000000 0.00000000 0.00000000
hopping_inversion_avg_dn HOPPING_ID 2 1.00000000 0.00000000 0.00000000
hopping_inversion_avg_up HOPPING_ID 1 1.00000000 0.00000000 0.00000000
hopping_inversion_avg_up HOPPING_ID 2 1.00000000 0.00000000 0.00000000
hopping_amplitude HOPPING_ID 1 0.32546569 0.00095405 0.01296523
hopping_amplitude HOPPING_ID 2 0.32546569 -0.00095405 0.01296523
hopping_amplitude_dn HOPPING_ID 1 0.32546569 0.00095405 0.01296523
hopping_amplitude_dn HOPPING_ID 2 0.32546569 -0.00095405 0.01296523
hopping_amplitude_up HOPPING_ID 1 0.32546569 0.00095405 0.01296523
hopping_amplitude_up HOPPING_ID 2 0.32546569 -0.00095405 0.01296523
hopping_energy_dn HOPPING_ID 1 -0.09747884 0.00000000 0.01704783
hopping_energy_dn HOPPING_ID 2 -0.15829903 -0.00000000 0.04844441
hopping_energy_up HOPPING_ID 1 -0.13366187 -0.00000000 0.03533427
hopping_energy_up HOPPING_ID 2 -0.15198554 0.00000000 0.03599666
hopping_energy HOPPING_ID 1 -0.23114071 0.00000000 0.04334547
hopping_energy HOPPING_ID 2 -0.31028457 0.00000000 0.07450737
bare_hopping_energy_dn HOPPING_ID 1 0.00000000 0.00000000 0.00000000
bare_hopping_energy_dn HOPPING_ID 2 0.00000000 0.00000000 0.00000000
bare_hopping_energy_up HOPPING_ID 1 0.00000000 0.00000000 0.00000000
bare_hopping_energy_up HOPPING_ID 2 0.00000000 0.00000000 0.00000000
bare_hopping_energy HOPPING_ID 1 0.00000000 0.00000000 0.00000000
bare_hopping_energy HOPPING_ID 2 0.00000000 0.00000000 0.00000000
onsite_energy_dn ORBITAL_ID 1 0.00000000 0.00000000 0.00000000
onsite_energy_up ORBITAL_ID 1 0.00000000 0.00000000 0.00000000
onsite_energy ORBITAL_ID 1 0.00000000 0.00000000 0.00000000
double_occ ORBITAL_ID 1 0.01226683 0.00034742 0.00530453
density_dn ORBITAL_ID 1 0.55830468 0.00034742 0.00417327
density_up ORBITAL_ID 1 0.44169532 0.00034742 0.00417327
density ORBITAL_ID 1 1.00000000 0.00069485 0.00063824
