INDEX BOND_ID_2 BOND_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 1023.99972588 -1.42304415 1.30715155
2 1 1 0 1 2.25230305 4.22221891 5.12928886
3 1 1 0 2 3.86978624 1.24492789 5.43069499
4 1 1 0 3 -1.28498520 2.64986289 3.05805743
5 1 1 0 4 -0.75196262 -4.99776428 3.37725336
6 1 1 0 5 -1.95263456 -5.73419682 4.64792501
7 1 1 0 6 4.06648794 0.21468348 7.02621216
8 1 1 0 7 -1.38867853 3.14478525 3.87178363
9 1 1 0 8 -0.47344202 -7.20817798 5.06781760
10 1 1 0 9 1.20043939 2.91469273 3.74136795
11 1 1 0 10 -4.64782264 0.97821313 7.21947677
12 1 1 0 11 1.74130045 -5.77167554 4.67489478
13 1 1 0 12 0.98723881 -4.98175499 3.33623436
14 1 1 0 13 1.65700978 2.95806757 3.33395504
15 1 1 0 14 -4.09961070 1.78332897 5.82112416
16 1 1 0 15 -1.65154300 4.02310037 4.69611529
17 1 1 1 0 2.25230305 4.22221891 5.12928886
18 1 1 1 1 0.42482162 0.88681004 0.91397315
19 1 1 1 2 -0.98999728 1.52364180 1.80469941
20 1 1 1 3 0.93020010 0.81050058 0.56882584
21 1 1 1 4 0.26298019 -0.24237883 0.21910213
22 1 1 1 5 0.38433736 -0.42675725 1.37560625
23 1 1 1 6 2.23624228 1.65797151 2.62277157
24 1 1 1 7 1.83615692 1.18274182 1.06826495
25 1 1 1 8 0.88810531 0.22793621 0.76860661
26 1 1 1 9 -0.03088578 1.38011955 0.99070889
27 1 1 1 10 -0.40255825 -2.19697732 1.87899579
28 1 1 1 11 1.06705349 -0.64042611 0.96807807
29 1 1 1 12 0.01991642 0.54690519 0.44689903
30 1 1 1 13 -0.97987258 1.37197176 1.27252542
31 1 1 1 14 -0.76331781 -0.31743723 1.00040292
32 1 1 1 15 1.08002509 0.00000000 0.39681469
33 1 1 2 0 3.86978624 1.24492789 5.43069499
34 1 1 2 1 -0.98999728 1.52364180 1.80469941
35 1 1 2 2 2.29120714 1.89898881 1.56600490
36 1 1 2 3 0.53200764 1.80021765 1.61182447
37 1 1 2 4 0.09316021 -0.58450179 0.51297102
38 1 1 2 5 0.49484584 -0.72034470 1.23349939
39 1 1 2 6 5.54579488 1.30032019 2.90475382
40 1 1 2 7 0.14576628 -1.06281114 1.04201233
41 1 1 2 8 1.07729690 -0.54167660 1.15868279
42 1 1 2 9 0.40270295 -0.07060682 0.67128656
43 1 1 2 10 -1.10122177 -3.00802477 3.28146532
44 1 1 2 11 -0.51877032 -0.66074515 1.32186443
45 1 1 2 12 -0.13401844 1.05093589 0.38707202
46 1 1 2 13 -0.70460977 0.55364898 1.16187501
47 1 1 2 14 1.56757263 0.00000000 1.20860078
48 1 1 2 15 -0.76331781 0.31743723 1.00040292
49 1 1 3 0 -1.28498520 2.64986289 3.05805743
50 1 1 3 1 0.93020010 0.81050058 0.56882584
51 1 1 3 2 0.53200764 1.80021765 1.61182447
52 1 1 3 3 -0.39146655 -0.10552716 1.53351329
53 1 1 3 4 0.26982490 0.24662756 0.28129217
54 1 1 3 5 2.26414628 -0.47630618 0.79325275
55 1 1 3 6 1.75583483 1.10343695 2.03567216
56 1 1 3 7 0.36261015 0.56157203 1.21094027
57 1 1 3 8 1.09717241 0.09472685 0.79395615
58 1 1 3 9 0.59134346 -0.11004202 0.51983390
59 1 1 3 10 -0.50866992 -1.74268145 2.17575891
60 1 1 3 11 1.17369262 0.40746430 1.30680540
61 1 1 3 12 0.21642897 0.64176164 0.32882174
62 1 1 3 13 2.79598674 0.00000000 0.70793687
63 1 1 3 14 -0.70460977 -0.55364898 1.16187501
64 1 1 3 15 -0.97987258 -1.37197176 1.27252542
65 1 1 4 0 -0.75196262 -4.99776428 3.37725336
66 1 1 4 1 0.26298019 -0.24237883 0.21910213
67 1 1 4 2 0.09316021 -0.58450179 0.51297102
68 1 1 4 3 0.26982490 0.24662756 0.28129217
69 1 1 4 4 -0.22355021 -0.76441825 0.70698748
70 1 1 4 5 0.28791669 -0.35317887 0.57346288
71 1 1 4 6 0.32342467 0.42686617 0.34548166
72 1 1 4 7 0.72153473 0.04993216 0.49169553
73 1 1 4 8 0.41207053 0.11447856 0.63564377
74 1 1 4 9 -0.48356984 0.10441425 0.53745482
