INDEX BOND_ID_2 BOND_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 4.44778759 -0.04118133 0.11749662
2 1 1 0 1 3.89057481 0.06063340 0.14352919
3 1 1 0 2 3.97905858 0.06035980 0.03343785
4 1 1 0 3 3.86800491 0.00876374 0.05987448
5 1 1 0 4 3.88793575 -0.08457250 0.05379980
6 1 1 0 5 3.99343389 0.02000001 0.05142206
7 1 1 0 6 3.97752681 -0.04542598 0.06726000
8 1 1 0 7 3.93077903 -0.08488679 0.10361513
9 1 1 0 8 3.96215410 -0.10685989 0.09782722
10 1 1 0 9 3.98107941 0.03765725 0.07097129
11 1 1 0 10 4.04783077 -0.09126844 0.09650180
12 1 1 0 11 4.02403745 0.09642387 0.05366209
13 1 1 0 12 3.92668275 -0.12942425 0.09549777
14 1 1 0 13 4.07128054 -0.12631809 0.16912784
15 1 1 0 14 3.97814313 0.02615662 0.05707503
16 1 1 0 15 4.00391625 0.02602179 0.04858990
17 1 1 1 0 3.89057481 0.06063340 0.14352919
18 1 1 1 1 3.74616626 0.16244813 0.45928240
19 1 1 1 2 3.91794556 0.16217453 0.18694282
20 1 1 1 3 3.94280395 0.11057847 0.17877460
21 1 1 1 4 3.98826890 0.01724223 0.13274313
22 1 1 1 5 4.21918871 0.12181474 0.21660429
23 1 1 1 6 3.96402102 0.05638875 0.12421444
24 1 1 1 7 4.14694179 0.01692794 0.17644952
25 1 1 1 8 4.10021579 -0.00504516 0.12654129
26 1 1 1 9 3.83368988 0.13947198 0.27873679
27 1 1 1 10 4.16003833 0.01054629 0.17985725
28 1 1 1 11 3.81178335 0.19823860 0.27250041
29 1 1 1 12 4.05770006 -0.02760952 0.13246360
30 1 1 1 13 4.36470746 -0.02450336 0.39485943
31 1 1 1 14 4.01731260 0.12797135 0.19817374
32 1 1 1 15 4.00716557 0.12783652 0.15178268
33 1 1 2 0 3.97905858 0.06035980 0.03343785
34 1 1 2 1 3.91794556 0.16217453 0.18694282
35 1 1 2 2 4.39047051 0.16190094 0.12026426
36 1 1 2 3 3.89084130 0.11030488 0.09535440
37 1 1 2 4 4.01101424 0.01696864 0.03671010
38 1 1 2 5 3.95374801 0.12154115 0.08328037
39 1 1 2 6 3.88920893 0.05611516 0.04623770
40 1 1 2 7 3.99713565 0.01665435 0.02896427
41 1 1 2 8 3.98096790 -0.00531875 0.04115414
42 1 1 2 9 3.97336188 0.13919838 0.12784237
43 1 1 2 10 4.03264692 0.01027270 0.04776237
44 1 1 2 11 3.96996862 0.19796500 0.10893465
45 1 1 2 12 4.00419801 -0.02788311 0.04334289
46 1 1 2 13 4.04964643 -0.02477696 0.11599958
47 1 1 2 14 3.85579670 0.12769776 0.16031096
48 1 1 2 15 4.07338370 0.12756292 0.10179342
49 1 1 3 0 3.86800491 0.00876374 0.05987448
50 1 1 3 1 3.94280395 0.11057847 0.17877460
51 1 1 3 2 3.89084130 0.11030488 0.09535440
52 1 1 3 3 4.33302170 0.05870882 0.16139058
53 1 1 3 4 3.96570129 -0.03462742 0.04746060
54 1 1 3 5 4.03012579 0.06994509 0.06903078
55 1 1 3 6 4.00245005 0.00451909 0.05082998
56 1 1 3 7 3.99128942 -0.03494172 0.05589419
57 1 1 3 8 3.99871266 -0.05691482 0.06051703
58 1 1 3 9 4.00336224 0.08760232 0.12153984
59 1 1 3 10 3.98729699 -0.04132336 0.05900390
60 1 1 3 11 3.99578299 0.14636894 0.10452826
61 1 1 3 12 4.01412650 -0.07947917 0.04425944
62 1 1 3 13 4.03672692 -0.07637302 0.12200278
63 1 1 3 14 3.99041249 0.07610170 0.09968289
64 1 1 3 15 3.97384388 0.07596686 0.08677781
65 1 1 4 0 3.88793575 -0.08457250 0.05379980
66 1 1 4 1 3.98826890 0.01724223 0.13274313
67 1 1 4 2 4.01101424 0.01696864 0.03671010
68 1 1 4 3 3.96570129 -0.03462742 0.04746060
69 1 1 4 4 4.33299970 -0.12796366 0.12701219
70 1 1 4 5 4.01495855 -0.02339115 0.05649516
71 1 1 4 6 3.97413080 -0.08881714 0.06943972
72 1 1 4 7 3.95966337 -0.12827796 0.07577626
73 1 1 4 8 3.93077120 -0.15025105 0.11163661
74 1 1 4 9 3.99005466 -0.00573392 0.07495681
75 1 1 4 10 4.01597230 -0.13465960 0.09396049
76 1 1 4 11 4.00664637 0.05303270 0.06162766
77 1 1 4 12 3.95375500 -0.17281541 0.08889280
78 1 1 4 13 3.99956953 -0.16970926 0.16612128
79 1 1 4 14 4.00520682 -0.01723454 0.05950152
80 1 1 4 15 3.97947715 -0.01736938 0.07006864
81 1 1 5 0 3.99343389 0.02000001 0.05142206
82 1 1 5 1 4.21918871 0.12181474 0.21660429
83 1 1 5 2 3.95374801 0.12154115 0.08328037
84 1 1 5 3 4.03012579 0.06994509 0.06903078
85 1 1 5 4 4.01495855 -0.02339115 0.05649516
86 1 1 5 5 3.74562947 0.08118136 0.19727131
87 1 1 5 6 4.03812494 0.01575537 0.08861089
88 1 1 5 7 3.93666957 -0.02370545 0.09640626
89 1 1 5 8 3.97221185 -0.04567854 0.09717255
90 1 1 5 9 4.09554792 0.09883859 0.12893664
91 1 1 5 10 3.92737518 -0.03008709 0.10853009
92 1 1 5 11 4.07686841 0.15760521 0.10265177
93 1 1 5 12 3.94821193 -0.06824290 0.11025919
94 1 1 5 13 3.94937481 -0.06513675 0.15132305
95 1 1 5 14 3.94035846 0.08733797 0.09310836
96 1 1 5 15 4.09922830 0.08720313 0.11642383
97 1 1 6 0 3.97752681 -0.04542598 0.06726000
98 1 1 6 1 3.96402102 0.05638875 0.12421444
99 1 1 6 2 3.88920893 0.05611516 0.04623770
100 1 1 6 3 4.00245005 0.00451909 0.05082998
101 1 1 6 4 3.97413080 -0.08881714 0.06943972
102 1 1 6 5 4.03812494 0.01575537 0.08861089
103 1 1 6 6 4.11016783 -0.04967063 0.10628186
104 1 1 6 7 3.98670838 -0.08913144 0.09870126
105 1 1 6 8 4.00526532 -0.11110454 0.12042342
106 1 1 6 9 3.92709232 0.03341260 0.08988025
107 1 1 6 10 4.02910722 -0.09551308 0.11374243
108 1 1 6 11 3.99566112 0.09217922 0.03372693
109 1 1 6 12 4.03684334 -0.13366889 0.11251557
110 1 1 6 13 4.06392476 -0.13056274 0.18329688
111 1 1 6 14 3.99314793 0.02191198 0.03216468
112 1 1 6 15 3.98189438 0.02177714 0.08016913
113 1 1 7 0 3.93077903 -0.08488679 0.10361513
114 1 1 7 1 4.14694179 0.01692794 0.17644952
115 1 1 7 2 3.99713565 0.01665435 0.02896427
116 1 1 7 3 3.99128942 -0.03494172 0.05589419
117 1 1 7 4 3.95966337 -0.12827796 0.07577626
118 1 1 7 5 3.93666957 -0.02370545 0.09640626
119 1 1 7 6 3.98670838 -0.08913144 0.09870126
120 1 1 7 7 4.00070326 -0.12859225 0.11680679
121 1 1 7 8 3.92539148 -0.15056535 0.14837258
122 1 1 7 9 4.07259893 -0.00604821 0.08357603
123 1 1 7 10 3.97831385 -0.13497389 0.12074497
124 1 1 7 11 4.08853475 0.05271841 0.08869145
125 1 1 7 12 4.00522129 -0.17312971 0.11231562
126 1 1 7 13 3.88549528 -0.17002355 0.22108764
127 1 1 7 14 4.00124678 -0.01754884 0.03877975
128 1 1 7 15 4.02573182 -0.01768367 0.07690191
129 1 1 8 0 3.96215410 -0.10685989 0.09782722
130 1 1 8 1 4.10021579 -0.00504516 0.12654129
131 1 1 8 2 3.98096790 -0.00531875 0.04115414
132 1 1 8 3 3.99871266 -0.05691482 0.06051703
133 1 1 8 4 3.93077120 -0.15025105 0.11163661
134 1 1 8 5 3.97221185 -0.04567854 0.09717255
135 1 1 8 6 4.00526532 -0.11110454 0.12042342
136 1 1 8 7 3.92539148 -0.15056535 0.14837258
137 1 1 8 8 4.34641663 -0.17253845 0.18153260
138 1 1 8 9 3.97351676 -0.02802131 0.01229968
139 1 1 8 10 3.95401580 -0.15694699 0.15181133
