INDEX HOPPING_ID_2 HOPPING_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 44.59593841 0.00000000 14.08004264
2 1 1 0 1 -7.76067515 5.21051528 9.88031327
3 1 1 0 2 5.98868546 -1.29067872 3.50902663
4 1 1 0 3 -8.37241617 8.79496405 8.78833944
5 1 1 0 4 2.88396803 2.20819109 7.13524448
6 1 1 0 5 -2.38301279 1.48172655 3.17934634
7 1 1 0 6 -0.73297000 -0.99442916 5.40657865
8 1 1 0 7 -4.55536198 10.09664019 9.74126679
9 1 1 0 8 -3.63636968 -0.00000000 4.13953891
10 1 1 0 9 -4.55536198 -10.09664019 9.74126679
11 1 1 0 10 -0.73297000 0.99442916 5.40657865
12 1 1 0 11 -2.38301279 -1.48172655 3.17934634
13 1 1 0 12 2.88396803 -2.20819109 7.13524448
14 1 1 0 13 -8.37241617 -8.79496405 8.78833944
15 1 1 0 14 5.98868546 1.29067872 3.50902663
16 1 1 0 15 -7.76067515 -5.21051528 9.88031327
17 1 1 1 0 -7.75412319 5.51563811 9.93695758
18 1 1 1 1 5.84226235 -2.85552708 3.67102926
19 1 1 1 2 -7.83764193 3.32733185 7.35459294
20 1 1 1 3 3.61034207 -0.64526767 8.03272577
21 1 1 1 4 -5.03822021 3.80759319 4.46143185
22 1 1 1 5 3.22418670 2.27815753 6.72139242
23 1 1 1 6 -4.59255593 6.83453115 7.84962156
24 1 1 1 7 -4.59159044 -6.32989132 8.04882916
25 1 1 1 8 0.89212487 -0.48640659 3.09367547
26 1 1 1 9 0.98644821 -0.22004913 5.27965858
27 1 1 1 10 1.95572505 -4.02265817 4.58436546
28 1 1 1 11 -1.71915154 1.23324344 7.50828255
29 1 1 1 12 -2.38897669 -9.70511828 5.71271296
30 1 1 1 13 5.58881047 4.44741854 4.08969548
31 1 1 1 14 -2.49021514 -6.84050498 8.35015592
32 1 1 1 15 38.27822354 0.13065610 12.80286158
33 1 1 2 0 5.90748315 -1.28749444 3.41295622
34 1 1 2 1 -7.70027932 3.21110459 7.28124570
35 1 1 2 2 4.40229324 -5.31236471 12.76425953
36 1 1 2 3 1.28719655 7.72848349 7.15292436
37 1 1 2 4 -5.28586158 -3.99622161 5.75509003
38 1 1 2 5 -1.83913309 5.39089470 5.56325956
39 1 1 2 6 -7.20006482 -0.79881397 6.92045976
40 1 1 2 7 -0.13182032 -4.93778389 4.73194750
41 1 1 2 8 -5.85419217 0.31390667 3.78693535
42 1 1 2 9 5.41466842 -3.55195906 7.72856423
43 1 1 2 10 -1.59756845 5.74825459 12.02867828
44 1 1 2 11 -4.96558559 -8.50823436 6.39999952
45 1 1 2 12 8.17903989 9.47972501 9.68994448
46 1 1 2 13 -6.77389944 -9.32916077 12.83408316
47 1 1 2 14 42.24809964 0.05096477 16.06926118
48 1 1 2 15 -2.45010685 7.48366436 8.57586929
49 1 1 3 0 -8.12570745 8.63877842 8.56287170
50 1 1 3 1 3.93415029 -0.73497378 8.12761178
51 1 1 3 2 1.52078350 7.48677761 7.08454213
52 1 1 3 3 -4.30350885 -0.43475999 2.98937705
53 1 1 3 4 0.92251017 2.18201852 3.59702048
54 1 1 3 5 -2.56502994 0.69055558 3.36449347
55 1 1 3 6 -1.36794667 -5.39298937 4.64656601
56 1 1 3 7 1.87219903 -3.99626986 6.80922282
57 1 1 3 8 -0.36504076 -4.59444216 4.09907964
58 1 1 3 9 0.65956033 3.38728691 10.02576946
59 1 1 3 10 -5.98994418 -11.40202036 8.86221389
60 1 1 3 11 5.30720243 1.41409186 3.37217999
61 1 1 3 12 -6.92245936 -5.99782226 11.25289557
62 1 1 3 13 43.21557961 -0.18225436 15.58242519
63 1 1 3 14 -6.66847402 9.81389768 12.88292757
64 1 1 3 15 5.62943206 -4.36255919 4.09886146
65 1 1 4 0 3.21294183 2.31178159 7.14316228
66 1 1 4 1 -4.54782248 3.26373997 4.22456554
67 1 1 4 2 -5.23170671 -3.95437004 5.58072731
68 1 1 4 3 0.71223509 2.16788458 3.52104906
69 1 1 4 4 -3.00511396 -0.33374983 3.40264138
