INDEX HOPPING_ID_2 HOPPING_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 1.52749376 0.00000000 0.37952509
2 1 1 0 1 0.01349314 0.00000000 0.03615147
3 1 1 0 2 -0.00010151 -0.00000000 0.04376614
4 1 1 0 3 -0.01358394 -0.00000000 0.04406154
5 1 1 0 4 -0.03425484 -0.00000000 0.06196814
6 1 1 0 5 0.03335227 0.00000000 0.03612051
7 1 1 0 6 -0.02323228 -0.00000000 0.03006385
8 1 1 0 7 -0.01650053 0.00000000 0.02338826
9 1 1 0 8 -0.06191996 -0.00000000 0.05125175
10 1 1 0 9 -0.07837387 -0.00000000 0.06960658
11 1 1 0 10 -0.14020183 0.00000000 0.18493188
12 1 1 0 11 -0.02772353 -0.00000000 0.01973013
13 1 1 0 12 -0.02622626 -0.00000000 0.02121626
14 1 1 0 13 -0.12346349 -0.00000000 0.13274540
15 1 1 0 14 -0.02677481 -0.00000000 0.02120512
16 1 1 0 15 -0.14341271 -0.00000000 0.14613229
17 1 1 1 0 -0.05667552 0.00000000 0.06300470
18 1 1 1 1 1.47408563 0.00000000 0.50199321
19 1 1 1 2 0.01315590 0.00000000 0.09297167
20 1 1 1 3 0.04459309 0.00000000 0.01836067
21 1 1 1 4 0.01233801 0.00000000 0.01088561
22 1 1 1 5 0.06087207 0.00000000 0.05557910
23 1 1 1 6 -0.19035491 -0.00000000 0.19707559
24 1 1 1 7 -0.05521011 -0.00000000 0.05127454
25 1 1 1 8 0.06331005 0.00000000 0.06679483
26 1 1 1 9 0.59160278 0.00000000 0.59572591
27 1 1 1 10 0.03013180 -0.00000000 0.02963931
28 1 1 1 11 -0.32001547 0.00000000 0.31665141
29 1 1 1 12 -0.15678256 -0.00000000 0.15358005
30 1 1 1 13 -0.42585014 -0.00000000 0.42998949
31 1 1 1 14 -0.02618004 -0.00000000 0.02324961
32 1 1 1 15 -0.07539866 -0.00000000 0.06097439
33 1 1 2 0 -0.00010151 -0.00000000 0.04376614
34 1 1 2 1 -0.08174484 0.00000000 0.06360671
35 1 1 2 2 2.03588075 -0.00000000 0.25320594
36 1 1 2 3 -0.11738779 -0.00000000 0.05627209
