INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 255.99993147 0.35576104 0.32678789
2 1 1 0 1 -0.41288575 -1.00577509 1.17402882
3 1 1 0 2 -1.02490268 -0.44583224 1.45528104
4 1 1 0 3 0.41425245 -0.73951689 0.83348876
5 1 1 0 4 0.24680970 1.24543875 0.83405859
6 1 1 0 5 0.43532511 1.44291889 1.16872370
7 1 1 0 6 -1.16195566 -0.24455328 1.80486919
8 1 1 0 7 0.30010985 -0.72867318 0.93534199
9 1 1 0 8 -0.11836051 1.80204450 1.26695440
10 1 1 0 9 -0.34716963 -0.78619631 0.96794591
11 1 1 0 10 1.01662198 -0.05367087 1.75655304
12 1 1 0 11 -0.48815864 1.43354921 1.16198125
13 1 1 0 12 -0.18799065 1.24944107 0.84431334
14 1 1 0 13 -0.32124630 -0.66246572 0.76451436
15 1 1 0 14 0.96744656 -0.31123197 1.35767375
16 1 1 0 15 0.56307576 -1.05555473 1.28232221
17 1 1 1 0 -0.41288575 -1.00577509 1.17402882
18 1 1 1 1 0.10620540 0.22170251 0.22849329
19 1 1 1 2 -0.24749932 0.38091045 0.45117485
20 1 1 1 3 0.23255002 0.20262514 0.14220646
21 1 1 1 4 0.06574505 -0.06059471 0.05477553
22 1 1 1 5 0.09608434 -0.10668931 0.34390156
23 1 1 1 6 0.55906057 0.41449288 0.65569289
24 1 1 1 7 0.45903923 0.29568546 0.26706624
25 1 1 1 8 0.22202633 0.05698405 0.19215165
26 1 1 1 9 -0.00772145 0.34502989 0.24767722
27 1 1 1 10 -0.10063956 -0.54924433 0.46974895
28 1 1 1 11 0.26676337 -0.16010653 0.24201952
29 1 1 1 12 0.00497911 0.13672630 0.11172476
30 1 1 1 13 -0.24496815 0.34299294 0.31813136
31 1 1 1 14 -0.19082945 -0.07935931 0.25010073
32 1 1 1 15 0.27000627 0.00000000 0.09920367
33 1 1 2 0 -1.02490268 -0.44583224 1.45528104
34 1 1 2 1 -0.24749932 0.38091045 0.45117485
35 1 1 2 2 0.57280178 0.47474720 0.39150123
36 1 1 2 3 0.13300191 0.45005441 0.40295612
37 1 1 2 4 0.02329005 -0.14612545 0.12824276
38 1 1 2 5 0.12371146 -0.18008618 0.30837485
39 1 1 2 6 1.38644872 0.32508005 0.72618846
40 1 1 2 7 0.03644157 -0.26570279 0.26050308
41 1 1 2 8 0.26932422 -0.13541915 0.28967070
42 1 1 2 9 0.10067574 -0.01765170 0.16782164
43 1 1 2 10 -0.27530544 -0.75200619 0.82036633
44 1 1 2 11 -0.12969258 -0.16518629 0.33046611
45 1 1 2 12 -0.03350461 0.26273397 0.09676801
46 1 1 2 13 -0.17615244 0.13841224 0.29046875
47 1 1 2 14 0.39189316 0.00000000 0.30215020
48 1 1 2 15 -0.19082945 0.07935931 0.25010073
49 1 1 3 0 0.41425245 -0.73951689 0.83348876
