INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 1.11194690 0.01029533 0.02937416
2 1 1 0 1 0.97264370 -0.01515835 0.03588230
3 1 1 0 2 0.99476464 -0.01508995 0.00835946
4 1 1 0 3 0.96700123 -0.00219094 0.01496862
5 1 1 0 4 0.97198394 0.02114312 0.01344995
6 1 1 0 5 0.99835847 -0.00500000 0.01285551
7 1 1 0 6 0.99438170 0.01135649 0.01681500
8 1 1 0 7 0.98269476 0.02122170 0.02590378
9 1 1 0 8 0.99053853 0.02671497 0.02445680
10 1 1 0 9 0.99526985 -0.00941431 0.01774282
11 1 1 0 10 1.01195769 0.02281711 0.02412545
12 1 1 0 11 1.00600936 -0.02410597 0.01341552
13 1 1 0 12 0.98167069 0.03235606 0.02387444
14 1 1 0 13 1.01782014 0.03157952 0.04228196
15 1 1 0 14 0.99453578 -0.00653916 0.01426876
16 1 1 0 15 1.00097906 -0.00650545 0.01214748
17 1 1 1 0 0.97264370 -0.01515835 0.03588230
18 1 1 1 1 0.93654157 -0.04061203 0.11482060
19 1 1 1 2 0.97948639 -0.04054363 0.04673570
20 1 1 1 3 0.98570099 -0.02764462 0.04469365
21 1 1 1 4 0.99706722 -0.00431056 0.03318578
22 1 1 1 5 1.05479718 -0.03045369 0.05415107
23 1 1 1 6 0.99100526 -0.01409719 0.03105361
24 1 1 1 7 1.03673545 -0.00423199 0.04411238
25 1 1 1 8 1.02505395 0.00126129 0.03163532
26 1 1 1 9 0.95842247 -0.03486799 0.06968420
27 1 1 1 10 1.04000958 -0.00263657 0.04496431
28 1 1 1 11 0.95294584 -0.04955965 0.06812510
29 1 1 1 12 1.01442501 0.00690238 0.03311590
30 1 1 1 13 1.09117686 0.00612584 0.09871486
31 1 1 1 14 1.00432815 -0.03199284 0.04954343
32 1 1 1 15 1.00179139 -0.03195913 0.03794567
33 1 1 2 0 0.99476464 -0.01508995 0.00835946
34 1 1 2 1 0.97948639 -0.04054363 0.04673570
35 1 1 2 2 1.09761763 -0.04047523 0.03006607
36 1 1 2 3 0.97271032 -0.02757622 0.02383860
37 1 1 2 4 1.00275356 -0.00424216 0.00917752
38 1 1 2 5 0.98843700 -0.03038529 0.02082009
39 1 1 2 6 0.97230223 -0.01402879 0.01155943
40 1 1 2 7 0.99928391 -0.00416359 0.00724107
41 1 1 2 8 0.99524198 0.00132969 0.01028853
42 1 1 2 9 0.99334047 -0.03479960 0.03196059
43 1 1 2 10 1.00816173 -0.00256817 0.01194059
