INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.47290747 0.00945330 0.02813321
2 1 1 0 1 0.45187707 0.02480182 0.04420857
3 1 1 0 2 0.47934277 0.06175139 0.04710357
4 1 1 0 3 0.45863249 -0.02560183 0.03205442
5 1 1 1 0 0.47497548 0.01097372 0.02249823
6 1 1 1 1 0.51265243 -0.00611301 0.02421810
7 1 1 1 2 0.52846389 -0.07853251 0.05333873
8 1 1 1 3 0.49425849 0.00048774 0.02085240
9 1 1 2 0 0.52065723 0.06175139 0.04710357
10 1 1 2 1 0.54136751 -0.02560183 0.03205442
11 1 1 2 2 0.52709253 0.00945330 0.02813321
12 1 1 2 3 0.54812293 0.02480182 0.04420857
13 1 1 3 0 0.47153611 -0.07853251 0.05333873
14 1 1 3 1 0.50574151 0.00048774 0.02085240
15 1 1 3 2 0.52502452 0.01097372 0.02249823
16 1 1 3 3 0.48734757 -0.00611301 0.02421810
