INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.50000000 -0.00034742 0.00031912
2 1 1 0 1 -0.00749046 0.00145482 0.00888767
3 1 1 0 2 0.00000000 0.00125890 0.00315943
4 1 1 0 3 -0.00749046 -0.00145482 0.00888767
5 1 1 1 0 -0.01715503 0.00129379 0.01332620
6 1 1 1 1 -0.01748873 -0.00571217 0.00860896
7 1 1 1 2 0.00521758 -0.00043394 0.00619730
8 1 1 1 3 -0.00488782 -0.00736235 0.01067201
9 1 1 2 0 -0.00000000 0.01794859 0.00979418
10 1 1 2 1 0.00588164 -0.00314367 0.00836737
11 1 1 2 2 0.00000000 0.01674228 0.00914126
12 1 1 2 3 0.00588164 0.00314367 0.00836737
13 1 1 3 0 -0.01715503 -0.00129379 0.01332620
14 1 1 3 1 0.00488782 -0.00736235 0.01067201
15 1 1 3 2 0.00521758 0.00043394 0.00619730
16 1 1 3 3 0.01748873 -0.00571217 0.00860896
