INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 1023.99972588 1.42304415 1.30715155
2 1 1 0 1 1.24453483 -3.86379155 3.78062616
3 1 1 0 2 -0.60226526 -0.46081461 1.31457146
4 1 1 0 3 -0.24097204 0.35708796 0.88541871
5 1 1 0 4 -0.49224586 1.17617527 1.94029382
6 1 1 0 5 0.88181666 1.42004034 1.35159144
7 1 1 0 6 -2.02006417 0.77642409 2.76084779
8 1 1 0 7 0.72481218 1.01625006 0.83587779
9 1 1 0 8 -0.15315665 3.60462332 2.15465471
10 1 1 0 9 -0.74538117 1.01308427 0.83314597
11 1 1 0 10 1.84979601 0.97846164 2.68461432
12 1 1 0 11 -0.95246184 1.38468111 1.37587688
13 1 1 0 12 0.42236210 1.17995327 1.90017797
14 1 1 0 13 0.21351600 0.41070160 0.90934202
15 1 1 0 14 0.55376269 -0.24628189 1.35383916
16 1 1 0 15 -0.94861751 -3.92521226 3.75261996
17 1 1 1 0 -1.65154300 -4.02310037 4.69611529
18 1 1 1 1 -0.18095821 0.29633933 0.30446779
19 1 1 1 2 -0.13211399 0.33953798 0.36791114
20 1 1 1 3 0.29119854 -0.13874722 0.28662446
21 1 1 1 4 0.11860876 -0.02190027 0.12437634
22 1 1 1 5 0.27275860 -0.33906171 0.48733208
23 1 1 1 6 0.45087878 0.36967451 0.54623992
24 1 1 1 7 0.20715905 0.35143595 0.34877790
25 1 1 1 8 0.21388397 0.02257389 0.21362306
26 1 1 1 9 -0.10675147 0.02985080 0.12115999
27 1 1 1 10 -0.04144067 -0.42940953 0.39902986
28 1 1 1 11 -0.02146433 -0.02648898 0.05939139
29 1 1 1 12 0.15080546 -0.00681430 0.13987058
30 1 1 1 13 -0.25587602 0.13069981 0.29396893
31 1 1 1 14 -0.15320256 -0.20584868 0.22776179
32 1 1 1 15 -0.16150109 0.29415534 0.36329591
33 1 1 2 0 -4.09961070 -1.78332897 5.82112416
34 1 1 2 1 -0.37799765 0.78778444 0.85208235
35 1 1 2 2 0.56869627 0.54633107 0.66725997
36 1 1 2 3 -0.18293826 0.17101765 0.28318511
37 1 1 2 4 0.14658124 -0.24107802 0.25535647
38 1 1 2 5 -0.04052722 -0.27492165 0.32419881
39 1 1 2 6 0.55911846 -0.00520460 0.38850033
40 1 1 2 7 0.04601579 -0.09922594 0.07711131
41 1 1 2 8 0.27936711 -0.32450778 0.41254129
42 1 1 2 9 -0.25790137 -0.26812351 0.35100953
43 1 1 2 10 -0.38806499 -0.65685601 0.73751337
44 1 1 2 11 0.11084616 -0.27930149 0.34477291
45 1 1 2 12 -0.20489153 -0.22602752 0.33734278
