INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 4.02121609 0.04220358 0.03667973
2 1 1 0 1 3.99238875 -0.04298837 0.04918427
3 1 1 0 2 3.99422396 0.00874617 0.02355622
4 1 1 0 3 3.98862870 0.00961247 0.01595673
5 1 1 0 4 3.98870781 0.05432586 0.04375446
6 1 1 0 5 3.99549802 0.04488331 0.03871540
7 1 1 0 6 4.00100204 0.03909785 0.03004929
8 1 1 0 7 3.98096432 0.06887811 0.07679999
9 1 1 0 8 3.98872656 0.05929075 0.06012990
10 1 1 0 9 4.00564940 0.01305694 0.01349786
11 1 1 0 10 3.99956436 0.06894961 0.05437748
12 1 1 0 11 4.00335994 0.00194817 0.01689903
13 1 1 0 12 3.99622123 0.03079676 0.02157936
14 1 1 0 13 4.00807782 0.00791532 0.01595341
15 1 1 0 14 4.00246938 -0.00380570 0.02344072
16 1 1 0 15 4.00352739 -0.02899004 0.01578318
17 1 1 1 0 4.00744541 -0.05961116 0.12662982
18 1 1 1 1 3.91161539 -0.14480310 0.22039977
19 1 1 1 2 3.98558699 -0.09306857 0.15665612
20 1 1 1 3 3.96631004 -0.09220226 0.15946727
21 1 1 1 4 4.04550497 -0.04748887 0.13105287
22 1 1 1 5 4.04646478 -0.05693142 0.12671209
23 1 1 1 6 4.04864185 -0.06271688 0.13711105
24 1 1 1 7 4.06227183 -0.03293662 0.10622874
25 1 1 1 8 4.06249511 -0.04252398 0.12145956
26 1 1 1 9 3.96236957 -0.08875779 0.16126901
27 1 1 1 10 4.03488031 -0.03286512 0.11253188
28 1 1 1 11 3.99526366 -0.09986656 0.14885459
29 1 1 1 12 4.00921675 -0.07101797 0.15460394
30 1 1 1 13 4.06835711 -0.09389941 0.16577544
31 1 1 1 14 3.96471953 -0.10562043 0.17854616
32 1 1 1 15 3.99738073 -0.13080477 0.15722174
33 1 1 2 0 3.99971471 -0.05933756 0.02776465
34 1 1 2 1 3.98447077 -0.14452950 0.10360178
35 1 1 2 2 4.01749670 -0.09279497 0.05766615
36 1 1 2 3 4.00644560 -0.09192866 0.06054840
37 1 1 2 4 3.99670501 -0.04721527 0.02286059
38 1 1 2 5 3.99741855 -0.05665782 0.02522945
39 1 1 2 6 3.99573053 -0.06244328 0.03154174
40 1 1 2 7 4.00361703 -0.03266303 0.02470838
41 1 1 2 8 4.00200021 -0.04225039 0.01113876
42 1 1 2 9 4.00766621 -0.08848419 0.06017720
43 1 1 2 10 4.00140669 -0.03259152 0.02174795
44 1 1 2 11 3.99162091 -0.09959297 0.05160026
45 1 1 2 12 3.99872312 -0.07074438 0.05539596
46 1 1 2 13 3.99908877 -0.09362581 0.05309772
47 1 1 2 14 3.97578985 -0.10534684 0.08047107
48 1 1 2 15 3.99149828 -0.13053118 0.06499248
49 1 1 3 0 3.98723128 -0.00774150 0.04150145
50 1 1 3 1 3.99207577 -0.09293344 0.09845906
51 1 1 3 2 3.99340948 -0.04119891 0.06003279
52 1 1 3 3 4.01734438 -0.04033260 0.06488895
53 1 1 3 4 3.99766463 0.00438079 0.03861672
54 1 1 3 5 3.99740788 -0.00506176 0.04185975
55 1 1 3 6 4.00672548 -0.01084722 0.04351357
56 1 1 3 7 4.01504260 0.01893304 0.05584193
57 1 1 3 8 4.00433127 0.00934568 0.03826840
58 1 1 3 9 3.98918409 -0.03688813 0.06572786
59 1 1 3 10 4.00033119 0.01900454 0.04440554
60 1 1 3 11 4.00850434 -0.04799691 0.06008754
61 1 1 3 12 4.00437228 -0.01914832 0.05633586
62 1 1 3 13 4.01701325 -0.04202975 0.06009086
63 1 1 3 14 3.99653090 -0.05375078 0.07585523
64 1 1 3 15 3.99733430 -0.07893512 0.07530997
65 1 1 4 0 3.99449707 0.08559474 0.04899373
66 1 1 4 1 3.99728607 0.00040280 0.05380156
67 1 1 4 2 3.99614018 0.05213733 0.03734448
68 1 1 4 3 3.98867311 0.05300364 0.03101906
69 1 1 4 4 4.03008041 0.09771703 0.05294709
70 1 1 4 5 3.99789154 0.08827448 0.04920562
71 1 1 4 6 3.99876383 0.08248902 0.04831999
72 1 1 4 7 3.99968073 0.11226928 0.08216725
73 1 1 4 8 3.98679272 0.10268192 0.06925059
74 1 1 4 9 4.00606685 0.05644811 0.03415887
75 1 1 4 10 4.00736149 0.11234078 0.06155896
76 1 1 4 11 4.00173134 0.04533933 0.03880644
