INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.29434153 0.00794130 0.04542436
2 1 1 0 1 0.42925712 -0.00374553 0.09216041
3 1 1 0 2 0.26163430 -0.00370015 0.02888914
4 1 1 0 3 0.32665808 0.00022295 0.06220547
5 1 1 1 0 0.31821456 -0.04762943 0.04980065
6 1 1 1 1 0.44724288 -0.01585129 0.10899947
7 1 1 1 2 0.27261554 0.02548699 0.06000720
8 1 1 1 3 0.27362225 0.02466175 0.05387268
9 1 1 2 0 0.29873719 0.03456808 0.09668711
10 1 1 2 1 0.34343565 -0.05430460 0.09759641
11 1 1 2 2 0.34310440 -0.02453932 0.10856736
12 1 1 2 3 0.30178268 -0.02707265 0.04936801
13 1 1 3 0 0.30122523 0.00102344 0.02942834
14 1 1 3 1 0.64127180 -0.10640161 0.24771013
15 1 1 3 2 0.25982126 0.00087292 0.04164099
16 1 1 3 3 0.32277938 -0.00567197 0.06159146
