INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 1.48441368 0.02041736 0.10648678
2 1 1 0 1 1.66532397 0.02595864 0.12872970
3 1 1 0 2 1.95676389 0.02612543 0.11538613
4 1 1 0 3 1.67417709 -0.05320844 0.11129895
5 1 1 1 0 1.65273120 -0.00696116 0.08858017
6 1 1 1 1 1.98120948 0.00335072 0.02958649
7 1 1 1 2 2.39487694 -0.01433196 0.08483959
8 1 1 1 3 1.99629003 -0.01246813 0.03756063
9 1 1 2 0 2.04323611 0.02612543 0.11538613
10 1 1 2 1 2.32582291 -0.05320844 0.11129895
11 1 1 2 2 2.51558632 0.02041736 0.10648678
12 1 1 2 3 2.33467603 0.02595864 0.12872970
13 1 1 3 0 1.60512306 -0.01433196 0.08483959
14 1 1 3 1 2.00370997 -0.01246813 0.03756063
15 1 1 3 2 2.34726880 -0.00696116 0.08858017
16 1 1 3 3 2.01879052 0.00335072 0.02958649
