INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 2.00000000 -0.00138969 0.00127648
2 1 1 0 1 -0.15181199 -0.00299171 0.02470603
3 1 1 0 2 -0.00000000 0.00770211 0.00692949
4 1 1 0 3 -0.15181199 0.00299171 0.02470603
5 1 1 1 0 -0.15241517 0.00313846 0.05480294
6 1 1 1 1 -0.01081724 -0.00269086 0.00654512
7 1 1 1 2 0.01270956 0.00876358 0.01057353
8 1 1 1 3 0.00897453 0.00126385 0.00687098
9 1 1 2 0 -0.00000000 0.00621294 0.00474465
10 1 1 2 1 0.03372444 0.00077843 0.02078109
11 1 1 2 2 -0.00000000 0.01074604 0.01734230
12 1 1 2 3 0.03372444 -0.00077843 0.02078109
13 1 1 3 0 -0.15241517 -0.00313846 0.05480294
14 1 1 3 1 -0.00897453 0.00126385 0.00687098
15 1 1 3 2 0.01270956 -0.00876358 0.01057353
16 1 1 3 3 0.01081724 -0.00269086 0.00654512
