INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.24970489 -0.04821002 0.02856254
2 1 1 0 1 0.36092327 -0.01871137 0.13383032
3 1 1 0 2 0.26344844 0.08231496 0.06332442
4 1 1 0 3 0.34175368 0.00718973 0.06647154
5 1 1 1 0 0.36372057 -0.03617630 0.08987969
6 1 1 1 1 0.37941993 0.05412956 0.06294185
7 1 1 1 2 0.30787267 0.03160242 0.03710990
8 1 1 1 3 0.35532578 0.01251643 0.05321560
9 1 1 2 0 0.41576783 0.05999829 0.13616141
10 1 1 2 1 0.33450080 0.04152935 0.05232804
11 1 1 2 2 0.32487271 0.00342080 0.03766842
12 1 1 2 3 0.28679005 0.03191940 0.06088466
13 1 1 3 0 0.29577555 0.07621963 0.05598171
14 1 1 3 1 0.40767316 0.00688438 0.09602361
15 1 1 3 2 0.39252402 -0.06686739 0.16217976
16 1 1 3 3 0.35567048 -0.04362077 0.06752136
