INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.33973399 0.01213369 0.05188070
2 1 1 0 1 -0.00247351 0.00902113 0.01204942
3 1 1 0 2 -0.01302316 0.00065410 0.00599758
4 1 1 0 3 0.00700488 -0.00885102 0.01017009
5 1 1 1 0 -0.01472233 -0.00997430 0.01674703
6 1 1 1 1 0.01060292 -0.00338470 0.01556788
7 1 1 1 2 -0.01197280 0.00422174 0.01662467
8 1 1 1 3 0.00267547 -0.00092856 0.00733578
9 1 1 2 0 -0.01751378 0.00779770 0.01602466
10 1 1 2 1 0.01415385 -0.00990452 0.01924819
11 1 1 2 2 0.00425141 0.00379551 0.00847524
12 1 1 2 3 0.00060267 -0.00875246 0.00857789
13 1 1 3 0 -0.00354030 -0.00431127 0.01137415
14 1 1 3 1 -0.01924387 -0.02357075 0.03264142
15 1 1 3 2 -0.02663636 0.00273529 0.02503982
16 1 1 3 3 -0.02019418 -0.01889160 0.02530329
