INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 5.43574382 0.19413912 0.83009124
2 1 1 0 1 0.24778612 -0.63414801 0.33302998
3 1 1 0 2 -0.73635581 -0.18218677 0.34371756
4 1 1 0 3 -0.09710011 0.63858213 0.36196974
5 1 1 1 0 -0.07201413 0.14133540 0.25623832
6 1 1 1 1 0.27194971 0.04254141 0.29250453
7 1 1 1 2 -0.05163979 -0.18932736 0.23443075
8 1 1 1 3 0.02873305 0.04400037 0.32677953
9 1 1 2 0 -0.23784196 -0.05287929 0.31321808
10 1 1 2 1 -0.20870523 0.20414629 0.23400460
11 1 1 2 2 0.32972360 -0.01615269 0.42536333
12 1 1 2 3 0.01137930 -0.49157580 0.31698564
13 1 1 3 0 0.12167635 -0.28546953 0.29667422
14 1 1 3 1 -0.16432778 -0.06950168 0.33031775
15 1 1 3 2 -0.34148548 0.35661194 0.32718591
16 1 1 3 3 0.17194274 0.17282366 0.30180473
