INDEX PHOTON_ID_2 PHOTON_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 -167493372386671548779600493912474446046608515395863697356246378570326361583899160278446858215993793548178214712772048659594214679681802841767065933504469549966389964054266838260027115204272610165355440991017520696562278567599002434194636800.00000000 3004590805714229078879822320797734666938041303940315207167638413263860432627148689358523454302281080971642382215148979693460988397845273668749923183673700727565240052775089420408603489669413220449649703386099664816909980794880.00000000 Inf
2 1 1 0 1 1456360351049043629373217064841387770218801358371719915776376253878491342207647098432686694621198947189578768154363019390811781846168281568449841121050656684314320729079677558637033780002652602599570537154168891615148999582385341143711744.00000000 -27627794773842212103865644588006742086087106544809525606690035395320892002892460652389698513267636499916247540957532119355089206280732025000325352132892625402817998485170504444032448003459280188666922273667033349802776592384.00000000 Inf
3 1 1 0 2 2338170507710282279585670708518853805899182794585736456107737654981622888991213659157437439504107642891753747349398890219755116938545698302682203266704377494067305517733802325567498908880937717169419920915127834058088373157792024123932672.00000000 -43248836232151498130672310170515627853242595008533502652398447550673390688643664613513446031967980720103318959165986101741302981390729823399033174712421602566845805355829298266759955848728742733528170114993279640329485549568.00000000 Inf
4 1 1 0 3 1456360351049043629373217064841387770218801358371719915776376253878491342207647098432686694621198947189578768154363019390811781846168281568449841121050656684314320729079677558637033780002652602599570537154168891615148999582385341143711744.00000000 -27627794773842212103865644588006742086087106544809525606690035395320892002892460652389698513267636499916247540957532119355089206280732025000325352132892625402817998485170504444032448003459280188666922273667033349802776592384.00000000 Inf
5 1 1 1 0 319965246468162173583378197169834162907128214565362459261532644291407121297174611911585304737318064943817283467643532623811300192156963819085312557563603180931646194062205907814888067970256368630457440881088978913111223824651983695904768.00000000 -7646109863601210493104997745040124266528653636110067186523136636486444013777683426984697192399878439752188105241529747169794741811961449533342958960284933188811355858031844644207005082555997893288976855821148419499407441920.00000000 Inf
6 1 1 1 1 313612159893222964893063483869710030902556651827420983757165979871239010867064509461117792862584412567412810516676117551965105651566110768342584838830483695457209439954019225137383656020855864431146076023040628995045479218636580552966144.00000000 -7428916165401789757591160282494984039454839037235027350053153373238052227205501662193354341228628851530138325505029172948705854959762624914964872729089655815665651066575374392528900503460410297544512172622927408192831881216.00000000 Inf
7 1 1 1 2 320142991234350699166370314331195423254712111957328697943753787023673912098986496611032593501398886193344538597174366658706510535702617526399298903500414816372442346733508615775819815868653732443741191486070904121823205695061938002722816.00000000 -7622586128124352752740778264971365000927219356186717123524064109209187393416112056754480137993905035536536934146993447240105307415644608270899682139030894776977521814556211136798389392155256595535812205502670925414998736896.00000000 Inf
8 1 1 1 3 313612159893222964893063483869710030902556651827420983757165979871239010867064509461117792862584412567412810516676117551965105651566110768342584838830483695457209439954019225137383656020855864431146076023040628995045479218636580552966144.00000000 -7428916165401789757591160282494984039454839037235027350053153373238052227205501662193354341228628851530138325505029172948705854959762624914964872729089655815665651066575374392528900503460410297544512172622927408192831881216.00000000 Inf
9 1 1 2 0 2666857422804525526472377424257270904915922865143422419039771028659627488212186457519194530556908522409828515183467478663294498378274179037339714710493279345833048081933169117980435826893611339542782731671471797447256114038120844156207104.00000000 -49736648276923834094981162552732349570060610573342473435155781945909697460845262980577584729175911310827755045187252271168118787672132945802908066437213319141380277605173872506786045782812117217591816870178745848988249882624.00000000 Inf
10 1 1 2 1 -378095705599335160116780035466889299078374372308502671314736974364610533200021989894875666371413864384908162188406005388989162196821550261287829634278458012542585080953847585295296856539684606331048830259976757400565390393250379846385664.00000000 4824923273042976976604434321064329932331951271396997017999963232728382906773708985513673677063782382071609244990501977726548706771143534575471885973481697989620051964301219536345724490863952120792275424076332642201510084608.00000000 Inf
11 1 1 2 2 -358509919260013713262142226970970379754541069873059997559007926041313820315791746846902187236925592349458709023001012177004721228802275891195739188268769235224758536669006158199086190206098676066114136544819473585936755153595156024786944.00000000 4700248079600409410973150969808691688296024033330762518781207911512518002054421782293518081856002215425414016308256341059969388241447827256417738185833557688608894688614642640492690165847126760738623906052130132228380295168.00000000 Inf
12 1 1 2 3 -378095705599335160116780035466889299078374372308502671314736974364610533200021989894875666371413864384908162188406005388989162196821550261287829634278458012542585080953847585295296856539684606331048830259976757400565390393250379846385664.00000000 4824923273042976976604434321064329932331951271396997017999963232728382906773708985513673677063782382071609244990501977726548706771143534575471885973481697989620051964301219536345724490863952120792275424076332642201510084608.00000000 Inf
13 1 1 3 0 319965246468162173583378197169834162907128214565362459261532644291407121297174611911585304737318064943817283467643532623811300192156963819085312557563603180931646194062205907814888067970256368630457440881088978913111223824651983695904768.00000000 -7646109863601210493104997745040124266528653636110067186523136636486444013777683426984697192399878439752188105241529747169794741811961449533342958960284933188811355858031844644207005082555997893288976855821148419499407441920.00000000 Inf
14 1 1 3 1 313612159893222964893063483869710030902556651827420983757165979871239010867064509461117792862584412567412810516676117551965105651566110768342584838830483695457209439954019225137383656020855864431146076023040628995045479218636580552966144.00000000 -7428916165401789757591160282494984039454839037235027350053153373238052227205501662193354341228628851530138325505029172948705854959762624914964872729089655815665651066575374392528900503460410297544512172622927408192831881216.00000000 Inf
15 1 1 3 2 320142991234350699166370314331195423254712111957328697943753787023673912098986496611032593501398886193344538597174366658706510535702617526399298903500414816372442346733508615775819815868653732443741191486070904121823205695061938002722816.00000000 -7622586128124352752740778264971365000927219356186717123524064109209187393416112056754480137993905035536536934146993447240105307415644608270899682139030894776977521814556211136798389392155256595535812205502670925414998736896.00000000 Inf
16 1 1 3 3 313612159893222964893063483869710030902556651827420983757165979871239010867064509461117792862584412567412810516676117551965105651566110768342584838830483695457209439954019225137383656020855864431146076023040628995045479218636580552966144.00000000 -7428916165401789757591160282494984039454839037235027350053153373238052227205501662193354341228628851530138325505029172948705854959762624914964872729089655815665651066575374392528900503460410297544512172622927408192831881216.00000000 Inf
