INDEX PHOTON_ID_2 PHOTON_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 -9884728748096195210827566891267442255586448748349574617075967113312789460587100683617659650694650196787135344650250458024796188660279735632409695502262399378907682496088579655047761292771581337221255836195784534621891245593832097461567488.00000000 175652923102381323813202663953366623229016939362743101419244469470342055434604135202997376309482768422598274485692005855734293554862775022712704862180319615790115813618052851165316497736551226950876087446975753654002664865792.00000000 Inf
2 1 1 0 1 -10425408190115624117695536122109444912980912035807644515169031772922386725370823151574732158870689634537038186669536293259640648316792704147790851975558732432289034778085199638798937567226966474745528830365845579256921480709683693918093312.00000000 187084731132431539479349168123269060980822745989473972170597343384300011487364233279233323766603588546564509283434960619533286849390859831363509517100498983130938806745207300624833067627898686365976463657282207431550121803776.00000000 Inf
3 1 1 0 2 -10311100989405263993649398563974529280898139303841692919340569792787462984472376275954330204677955667752476998418285395257620842057754900825168393301613139127178630876577032293300513118917647948795550102946157194191717997283894677037121536.00000000 185068099060281708989022632599672522055373832691923450248213315138254434512260020961170904983082644964420939540323020093881339143304527864802963642237217650234338183968459522455819416011386232980725414593332870249665796243456.00000000 Inf
4 1 1 0 3 -10425408190115624117695536122109444912980912035807644515169031772922386725370823151574732158870689634537038186669536293259640648316792704147790851975558732432289034778085199638798937567226966474745528830365845579256921480709683693918093312.00000000 187084731132431539479349168123269060980822745989473972170597343384300011487364233279233323766603588546564509283434960619533286849390859831363509517100498983130938806745207300624833067627898686365976463657282207431550121803776.00000000 Inf
5 1 1 1 0 -10237164829325557311954267318471710669050870981623668129506241986370306365158479436336627265552271916875843451883025591462322531677865693063351168708797600073760179862829873922790692996870944083599352239902747464273982684931822321286512640.00000000 183842058349102073446909073555338632674012481243856421633004783435395241628610996911539035511593336430637137510616999024846256168819105161783330127736244152637598066496353912569302890455584703290074316003660152949500037562368.00000000 Inf
6 1 1 1 1 -10803556889777901012880724814562823221368218812743528929285130389953322939675008765370081170308409360982232211424171674973123159770754585560662340149316201291172630164649920125049712454580407120427545513846092904940824718617664755242893312.00000000 193892283643931692545693383816095795541405052100675495277225492265904611996641723505047222042012295449005542313256131937604675621514219239265348572741399477793436518431547496809863335591896218290126830012327587371704700108800.00000000 Inf
7 1 1 1 2 -10695778843487652732274340022852459155347028518678456794225621727434928152961291009268138428267241095673188959247597072207126335249316275020349584062497961340371996967996458455057575075581855252425817639888386973809795309007371025162174464.00000000 191955237860822954632057818460092644311253463187730406217376473837444064886542042673256579668993973175558478186923783539721668234547274486663595584833039966539422009965803048278150010333059599722161392156474804042468501225472.00000000 Inf
8 1 1 1 3 -10803556889777901012880724814562823221368218812743528929285130389953322939675008765370081170308409360982232211424171674973123159770754585560662340149316201291172630164649920125049712454580407120427545513846092904940824718617664755242893312.00000000 193892283643931692545693383816095795541405052100675495277225492265904611996641723505047222042012295449005542313256131937604675621514219239265348572741399477793436518431547496809863335591896218290126830012327587371704700108800.00000000 Inf
9 1 1 2 0 -10201561887468478469052834876624227610632969320074122229538608109808919941161054841668512512811284189054489635852266270750085639700390907326683000095245621917917146173921263487113045121155180506982464659758306431111660194126875229257990144.00000000 183184555183013455397915697422111892614732852125665312626671435508213324411307002813266514890405818355861219900817494200294455786303335788505068754216064598116697499627665776274888806515808908075455384031351064636908197904384.00000000 Inf
10 1 1 2 1 -10425363753924056924504625429642006271424801039783311707480286693632584676783053331822899450725526097896321622773255103492480345921394599733061420188985237584395695128652233877433270737037046585813964904548739148382461747601577487160573952.00000000 187090612066300712819628492146618225476989644558449610074317401960073548312135070897320922584261159134598607407548819483711265019097613158714805881744844812047844369538257068726500290859525448318041646348590598123092694794240.00000000 Inf
11 1 1 2 2 -10314321968884259583173781142782314507060310631305214441825216466068108908074225998503024038151975404069140636393934493219050890763370363790121322050072485951146521701546506357828365239288636693979567897662411254957821087541541488562274304.00000000 185170814975512410395747150694268028953677681426406130710847086418288202902053495123358799374786390222577124980716512360031682172593177481618114138952340182748217056442414550580730967833200958316024898128708504791690627776512.00000000 Inf
12 1 1 2 3 -10425363753924056924504625429642006271424801039783311707480286693632584676783053331822899450725526097896321622773255103492480345921394599733061420188985237584395695128652233877433270737037046585813964904548739148382461747601577487160573952.00000000 187090612066300712819628492146618225476989644558449610074317401960073548312135070897320922584261159134598607407548819483711265019097613158714805881744844812047844369538257068726500290859525448318041646348590598123092694794240.00000000 Inf
13 1 1 3 0 -10237164829325557311954267318471710669050870981623668129506241986370306365158479436336627265552271916875843451883025591462322531677865693063351168708797600073760179862829873922790692996870944083599352239902747464273982684931822321286512640.00000000 183842058349102073446909073555338632674012481243856421633004783435395241628610996911539035511593336430637137510616999024846256168819105161783330127736244152637598066496353912569302890455584703290074316003660152949500037562368.00000000 Inf
14 1 1 3 1 -10803556889777901012880724814562823221368218812743528929285130389953322939675008765370081170308409360982232211424171674973123159770754585560662340149316201291172630164649920125049712454580407120427545513846092904940824718617664755242893312.00000000 193892283643931692545693383816095795541405052100675495277225492265904611996641723505047222042012295449005542313256131937604675621514219239265348572741399477793436518431547496809863335591896218290126830012327587371704700108800.00000000 Inf
15 1 1 3 2 -10695778843487652732274340022852459155347028518678456794225621727434928152961291009268138428267241095673188959247597072207126335249316275020349584062497961340371996967996458455057575075581855252425817639888386973809795309007371025162174464.00000000 191955237860822954632057818460092644311253463187730406217376473837444064886542042673256579668993973175558478186923783539721668234547274486663595584833039966539422009965803048278150010333059599722161392156474804042468501225472.00000000 Inf
