INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 0.50000000 -0.00034742 0.00031912
2 1 1 0 0 1 -0.00749046 0.00145482 0.00888767
3 1 1 0 0 2 0.00000000 0.00125890 0.00315943
4 1 1 0 0 3 -0.00749046 -0.00145482 0.00888767
5 1 1 0 1 0 -0.01715503 0.00129379 0.01332620
6 1 1 0 1 1 -0.01748873 -0.00571217 0.00860896
7 1 1 0 1 2 0.00521758 -0.00043394 0.00619730
8 1 1 0 1 3 -0.00488782 -0.00736235 0.01067201
9 1 1 0 2 0 -0.00000000 0.01794859 0.00979418
10 1 1 0 2 1 0.00588164 -0.00314367 0.00836737
11 1 1 0 2 2 0.00000000 0.01674228 0.00914126
12 1 1 0 2 3 0.00588164 0.00314367 0.00836737
13 1 1 0 3 0 -0.01715503 -0.00129379 0.01332620
14 1 1 0 3 1 0.00488782 -0.00736235 0.01067201
15 1 1 0 3 2 0.00521758 0.00043394 0.00619730
16 1 1 0 3 3 0.01748873 -0.00571217 0.00860896
17 1 1 1 0 0 0.35645793 -0.00088938 0.01940355
18 1 1 1 0 1 -0.01216134 -0.00123756 0.01120815
19 1 1 1 0 2 -0.00491151 -0.00092011 0.00532150
20 1 1 1 0 3 -0.01354040 -0.00290500 0.00604720
21 1 1 1 1 0 -0.01169954 -0.00368731 0.01744310
22 1 1 1 1 1 -0.01941003 0.00372593 0.01216754
23 1 1 1 1 2 -0.00961206 0.00193157 0.01150782
24 1 1 1 1 3 0.00493819 -0.00702829 0.01090574
25 1 1 1 2 0 -0.02010626 0.01977291 0.01746998
26 1 1 1 2 1 0.00742316 -0.01088549 0.01296998
27 1 1 1 2 2 -0.01696251 0.01654277 0.01602198
28 1 1 1 2 3 0.01742456 -0.00302223 0.01567482
29 1 1 1 3 0 -0.00555270 -0.00220825 0.01153088
30 1 1 1 3 1 -0.00022750 -0.00047220 0.00668698
31 1 1 1 3 2 0.00917360 -0.00118072 0.01060884
32 1 1 1 3 3 0.00929754 -0.00474988 0.00350590
33 1 1 2 0 0 0.25598719 -0.00246851 0.02428715
34 1 1 2 0 1 -0.01322113 0.00393817 0.00764539
35 1 1 2 0 2 -0.00135790 -0.00732803 0.00723639
36 1 1 2 0 3 -0.01874494 -0.00437278 0.00709004
37 1 1 2 1 0 -0.01495058 -0.00038686 0.01357430
38 1 1 2 1 1 -0.01814009 -0.00579099 0.01132319
39 1 1 2 1 2 -0.00071616 0.00113372 0.00225916
40 1 1 2 1 3 -0.00281900 -0.00656008 0.01064348
41 1 1 2 2 0 -0.01759934 0.01774181 0.01186889
42 1 1 2 2 1 0.00104529 -0.01075433 0.00590304
43 1 1 2 2 2 0.00174364 0.01056223 0.00843896
44 1 1 2 2 3 0.00958001 -0.00257286 0.01050488
45 1 1 2 3 0 -0.00220436 -0.00621818 0.00705886
46 1 1 2 3 1 0.00169575 0.00471942 0.00671241
47 1 1 2 3 2 0.00553747 -0.00021472 0.01155751
48 1 1 2 3 3 0.00311674 -0.01139907 0.00596441
49 1 1 3 0 0 0.19846124 0.00330778 0.02919000
50 1 1 3 0 1 -0.00990463 0.00639250 0.01031508
51 1 1 3 0 2 -0.00549574 -0.00733259 0.00812721
52 1 1 3 0 3 -0.00734864 -0.00589244 0.00941555
53 1 1 3 1 0 0.01446971 0.00928114 0.01208236
54 1 1 3 1 1 -0.01469037 0.00182550 0.00909883
55 1 1 3 1 2 0.00137946 0.00367615 0.00310275
56 1 1 3 1 3 0.00381477 0.00213467 0.00507503
57 1 1 3 2 0 -0.01249672 0.01623664 0.01295585
58 1 1 3 2 1 0.00165760 -0.00356679 0.00770591
59 1 1 3 2 2 0.00302303 0.01671035 0.01441441
60 1 1 3 2 3 0.00602407 -0.00335695 0.00864283
61 1 1 3 3 0 0.02294046 -0.00184073 0.01169906
62 1 1 3 3 1 -0.00026183 0.00703637 0.00468237
63 1 1 3 3 2 0.00972774 -0.00569171 0.01003729
64 1 1 3 3 3 0.00275991 -0.00609850 0.00437534
65 1 1 4 0 0 0.15757095 0.00216171 0.03136088
66 1 1 4 0 1 -0.01365995 0.00745045 0.01264710
67 1 1 4 0 2 -0.00683278 -0.00203747 0.00616848
68 1 1 4 0 3 -0.02115251 -0.00923706 0.01240103
69 1 1 4 1 0 0.01716881 0.01235566 0.01752597
70 1 1 4 1 1 -0.01526801 -0.00164892 0.00968444
71 1 1 4 1 2 0.00940681 0.00498971 0.00935099
72 1 1 4 1 3 0.00319368 0.00420496 0.00555278
73 1 1 4 2 0 -0.03149006 0.02371255 0.02583733
74 1 1 4 2 1 -0.00026745 0.00224672 0.01561435
75 1 1 4 2 2 0.00737049 0.01034250 0.00955513
76 1 1 4 2 3 0.00357228 -0.00427905 0.00473295
77 1 1 4 3 0 0.02296738 0.00739807 0.02342546
78 1 1 4 3 1 0.00473303 0.00486491 0.00548529
79 1 1 4 3 2 0.00912126 -0.01007000 0.01272116
80 1 1 4 3 3 -0.00666641 -0.00349143 0.00821440
81 1 1 5 0 0 0.10343336 0.00347383 0.02643905
82 1 1 5 0 1 -0.01250850 0.00477382 0.00666978
83 1 1 5 0 2 -0.00407703 -0.00350035 0.00600645
84 1 1 5 0 3 -0.01720508 -0.00328869 0.01143823
85 1 1 5 1 0 0.00693216 0.00572426 0.01003921
86 1 1 5 1 1 -0.01127117 0.00606984 0.01152372
87 1 1 5 1 2 0.00144987 0.00398988 0.00468249
88 1 1 5 1 3 0.00490404 -0.00260301 0.00579136
89 1 1 5 2 0 -0.02229820 0.01916409 0.01382017
90 1 1 5 2 1 -0.00261887 0.00281571 0.00540827
91 1 1 5 2 2 -0.00071118 0.01287451 0.01106028
92 1 1 5 2 3 0.00393955 -0.00417572 0.00474072
93 1 1 5 3 0 0.01613361 -0.00431994 0.01498846
94 1 1 5 3 1 0.00020962 -0.00143509 0.00402033
