INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 8.00000000 -0.00555877 0.00510593
2 1 1 0 0 1 -0.00679376 -0.03898250 0.02620953
3 1 1 0 0 2 0.00000000 -0.05631389 0.03942103
4 1 1 0 0 3 0.00679376 -0.03898250 0.02620953
5 1 1 0 1 0 0.00108483 0.01907785 0.02928521
6 1 1 0 1 1 0.02838383 -0.04289705 0.04179281
7 1 1 0 1 2 -0.00776755 0.03524885 0.03253044
8 1 1 0 1 3 0.00072476 0.02140963 0.02524236
9 1 1 0 2 0 0.00000000 0.05287220 0.05480122
10 1 1 0 2 1 0.00506951 0.00969935 0.03194697
11 1 1 0 2 2 0.00000000 -0.03929314 0.07056748
12 1 1 0 2 3 -0.00506951 0.00969935 0.03194697
13 1 1 0 3 0 -0.00108483 0.01907785 0.02928521
14 1 1 0 3 1 -0.00072476 0.02140963 0.02524236
15 1 1 0 3 2 0.00776755 0.03524885 0.03253044
16 1 1 0 3 3 -0.02838383 -0.04289705 0.04179281
17 1 1 1 0 0 5.70332694 -0.01423001 0.31045676
18 1 1 1 0 1 -0.07455607 -0.28127545 0.16793288
19 1 1 1 0 2 -0.14492382 -0.14075340 0.18625216
20 1 1 1 0 3 -0.07028742 0.14008253 0.18554009
21 1 1 1 1 0 -0.01564428 0.09706639 0.19532767
22 1 1 1 1 1 0.07244460 -0.04482016 0.17462001
23 1 1 1 1 2 0.05719115 0.26019875 0.23230283
24 1 1 1 1 3 0.09741955 0.08733137 0.19167501
25 1 1 1 2 0 -0.13497979 0.07873871 0.13795406
26 1 1 1 2 1 -0.03076828 0.21836715 0.11838422
27 1 1 1 2 2 -0.00529669 -0.10027328 0.15751378
28 1 1 1 2 3 0.02206986 -0.25063456 0.15008845
29 1 1 1 3 0 -0.05131159 -0.02887436 0.12705371
30 1 1 1 3 1 0.23351116 0.00341301 0.13558916
31 1 1 1 3 2 0.04909189 -0.16065206 0.18892544
32 1 1 1 3 3 -0.02344250 0.03968492 0.14137104
33 1 1 2 0 0 4.09579506 -0.03949609 0.38859440
34 1 1 2 0 1 0.08269381 -0.31215367 0.21240672
35 1 1 2 0 2 -0.37780134 -0.07180558 0.21180033
36 1 1 2 0 3 0.20408908 0.11693659 0.19165666
37 1 1 2 1 0 -0.09475521 0.04661740 0.17451705
38 1 1 2 1 1 -0.06399231 -0.17082929 0.16760274
39 1 1 2 1 2 0.07070873 0.13832413 0.20646166
40 1 1 2 1 3 0.31220311 -0.17907807 0.15073178
41 1 1 2 2 0 -0.36536876 0.07295552 0.14894709
42 1 1 2 2 1 -0.03709126 0.29121032 0.12884272
43 1 1 2 2 2 0.16557180 -0.07564125 0.17872261
44 1 1 2 2 3 0.06624811 -0.27319877 0.12787981
45 1 1 2 3 0 -0.08825609 -0.00048039 0.18591622
46 1 1 2 3 1 0.39144508 0.16657388 0.21959705
47 1 1 2 3 2 0.04302547 -0.17950831 0.20439286
48 1 1 2 3 3 -0.19046598 0.20109608 0.19946558
49 1 1 3 0 0 3.17537979 0.05292455 0.46703999
50 1 1 3 0 1 -0.24589915 -0.24165825 0.24466193
51 1 1 3 0 2 -0.34744578 -0.08947009 0.22096345
52 1 1 3 0 3 -0.17595271 0.03292884 0.25219236
53 1 1 3 1 0 -0.05002182 0.22724065 0.33379893
54 1 1 3 1 1 -0.02436988 -0.16879979 0.25948265
55 1 1 3 1 2 -0.08334298 0.12572260 0.21138077
56 1 1 3 1 3 0.31097903 -0.25019406 0.28443180
57 1 1 3 2 0 -0.23776699 0.08112979 0.34148094
58 1 1 3 2 1 -0.16154379 0.27133994 0.21198336
59 1 1 3 2 2 0.10226744 -0.07857531 0.15453836
60 1 1 3 2 3 0.01222054 -0.26558796 0.20232931
61 1 1 3 3 0 0.05769277 -0.14379569 0.31822417
62 1 1 3 3 1 0.31111464 0.30221498 0.28321067
63 1 1 3 3 2 -0.15763788 -0.23806581 0.23768078
64 1 1 3 3 3 0.02980332 0.27707192 0.23320946
65 1 1 4 0 0 2.52113525 0.03458737 0.50177404
66 1 1 4 0 1 0.03833401 -0.18391386 0.39004075
67 1 1 4 0 2 -0.72074610 -0.07229876 0.23576437
68 1 1 4 0 3 0.03710449 0.07542219 0.35084442
69 1 1 4 1 0 -0.00986904 0.37558233 0.34499421
70 1 1 4 1 1 -0.08440076 -0.14865133 0.30199764
71 1 1 4 1 2 -0.02676990 -0.21220832 0.31364544
72 1 1 4 1 3 0.10455451 -0.12592617 0.31035853
73 1 1 4 2 0 -0.50581435 0.05393449 0.40167936
