INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 0.50000000 0.00257383 0.00227101
2 1 1 0 0 1 0.50000000 -0.01015301 0.01782339
3 1 1 0 0 2 0.50000000 -0.01011881 0.00550596
4 1 1 0 0 3 0.50000000 -0.00366930 0.00645840
5 1 1 0 1 0 0.50000000 0.00799773 0.00453339
6 1 1 0 1 1 0.50000000 -0.00507383 0.00536168
7 1 1 0 1 2 0.50000000 0.00310441 0.00618674
8 1 1 0 1 3 0.50000000 0.00803702 0.00681307
9 1 1 0 2 0 0.50000000 0.01078365 0.00967160
10 1 1 0 2 1 0.50000000 -0.00728099 0.01029252
11 1 1 0 2 2 0.50000000 0.00883472 0.00868716
12 1 1 0 2 3 0.50000000 -0.01462682 0.00782956
13 1 1 0 3 0 0.50000000 0.01360420 0.00841003
14 1 1 0 3 1 0.50000000 0.01321593 0.01755497
15 1 1 0 3 2 0.50000000 -0.00584341 0.00777070
16 1 1 0 3 3 0.50000000 -0.00582656 0.00664888
17 1 1 1 0 0 0.35524029 0.00603940 0.04534840
18 1 1 1 0 1 0.35413178 -0.02806579 0.06494178
19 1 1 1 0 2 0.32694143 -0.00494199 0.03885322
20 1 1 1 0 3 0.33903432 -0.00620680 0.03620831
21 1 1 1 1 0 0.31352061 0.01492577 0.02716127
22 1 1 1 1 1 0.46532076 -0.00747054 0.03760833
23 1 1 1 1 2 0.33046540 -0.00371548 0.03098497
24 1 1 1 1 3 0.31878473 0.01058560 0.03764767
25 1 1 1 2 0 0.30283280 0.03770789 0.04715702
26 1 1 1 2 1 0.35473371 -0.00298778 0.03339215
27 1 1 1 2 2 0.36951714 0.00532420 0.04428468
28 1 1 1 2 3 0.38174211 -0.03912347 0.06555579
29 1 1 1 3 0 0.38179621 0.01537103 0.05079915
30 1 1 1 3 1 0.39321593 0.00796042 0.06069709
31 1 1 1 3 2 0.39888768 0.00678090 0.04249739
32 1 1 1 3 3 0.31716205 0.00204666 0.03788224
33 1 1 2 0 0 0.26337808 0.01677984 0.04355966
34 1 1 2 0 1 0.22105406 -0.01557553 0.04112831
35 1 1 2 0 2 0.16773688 -0.00315052 0.01496752
36 1 1 2 0 3 0.23468474 -0.01795290 0.04055867
37 1 1 2 1 0 0.28300399 0.01583930 0.04550567
38 1 1 2 1 1 0.45167984 0.01320603 0.10854519
39 1 1 2 1 2 0.16110357 -0.00491032 0.01598676
40 1 1 2 1 3 0.20772911 0.00560267 0.03666724
41 1 1 2 2 0 0.21588898 0.01961927 0.04308878
42 1 1 2 2 1 0.25486307 0.02105408 0.06034381
43 1 1 2 2 2 0.23254525 -0.00475174 0.02953466
44 1 1 2 2 3 0.27506210 -0.03275221 0.05824247
45 1 1 2 3 0 0.23892310 0.02439128 0.03653045
46 1 1 2 3 1 0.29807470 0.00358686 0.04608964
47 1 1 2 3 2 0.29641701 -0.00816627 0.04861226
48 1 1 2 3 3 0.29365059 0.00667625 0.06572389
49 1 1 3 0 0 0.15721728 0.00659836 0.02913785
50 1 1 3 0 1 0.19141030 -0.01250872 0.06186736
51 1 1 3 0 2 0.15017328 0.00126281 0.02911708
52 1 1 3 0 3 0.23752007 -0.04972727 0.08586044
53 1 1 3 1 0 0.18464756 0.02133187 0.03520489
54 1 1 3 1 1 0.33023671 0.00948458 0.08676771
55 1 1 3 1 2 0.09392854 -0.01226690 0.01262478
56 1 1 3 1 3 0.15171480 0.01543041 0.04148675
57 1 1 3 2 0 0.10794014 0.02302271 0.02969059
58 1 1 3 2 1 0.17364599 0.00521010 0.03458188
59 1 1 3 2 2 0.25777791 -0.02238611 0.09703497
60 1 1 3 2 3 0.19312142 -0.01849905 0.06655555
61 1 1 3 3 0 0.15171556 0.01036581 0.03030524
62 1 1 3 3 1 0.25406017 -0.02029801 0.08498643
63 1 1 3 3 2 0.31056673 -0.00965577 0.14137423
64 1 1 3 3 3 0.22970332 -0.00028937 0.09080800
65 1 1 4 0 0 0.09005707 0.00117567 0.01835924
66 1 1 4 0 1 0.14452895 0.00336210 0.05822457
67 1 1 4 0 2 0.09124110 -0.00066242 0.02363932
68 1 1 4 0 3 0.20962508 -0.03514575 0.08924286
69 1 1 4 1 0 0.16777877 0.01774233 0.04865250
70 1 1 4 1 1 0.26814674 0.00804367 0.10503117
71 1 1 4 1 2 0.05735483 -0.00686948 0.01531148
72 1 1 4 1 3 0.08480584 0.02247674 0.03381523
73 1 1 4 2 0 0.08201815 0.01205064 0.02746480
74 1 1 4 2 1 0.08977754 -0.00163345 0.02091071
75 1 1 4 2 2 0.10930350 -0.00715794 0.03607651
76 1 1 4 2 3 0.19110906 -0.01624979 0.06753094
77 1 1 4 3 0 0.12910292 0.00558212 0.03681309
78 1 1 4 3 1 0.37285112 -0.03680124 0.22740553
79 1 1 4 3 2 0.17333823 -0.00300524 0.05067693
80 1 1 4 3 3 0.26009635 0.00250464 0.14411308
81 1 1 5 0 0 0.06446575 -0.00246574 0.01203338
82 1 1 5 0 1 0.08061819 0.00609829 0.02476432
83 1 1 5 0 2 0.04575588 0.01087715 0.01470377
84 1 1 5 0 3 0.08200181 -0.01593253 0.02382721
85 1 1 5 1 0 0.08476489 0.01167937 0.02338945
86 1 1 5 1 1 0.25249260 -0.01444014 0.15079672
87 1 1 5 1 2 0.04603797 -0.00622986 0.02960980
88 1 1 5 1 3 0.08726072 0.00261776 0.03330741
89 1 1 5 2 0 0.04463053 0.01792937 0.01889498
90 1 1 5 2 1 0.04637657 0.01000111 0.02124517
91 1 1 5 2 2 0.09359640 -0.03798773 0.06908838
92 1 1 5 2 3 0.21622730 -0.05831196 0.12151172
93 1 1 5 3 0 0.08499429 0.00638591 0.02766387
94 1 1 5 3 1 0.15044263 -0.01354451 0.09136088
95 1 1 5 3 2 0.14528316 0.01588126 0.03687533
96 1 1 5 3 3 0.12998505 0.01186095 0.05750383
97 1 1 6 0 0 0.04132120 -0.00559560 0.00980320
98 1 1 6 0 1 0.06537425 -0.00588551 0.02955209
99 1 1 6 0 2 0.03373517 -0.00628873 0.01395643
100 1 1 6 0 3 0.08387460 -0.00853105 0.03363579
101 1 1 6 1 0 0.07588138 0.02002122 0.02646584
102 1 1 6 1 1 0.14296261 -0.00252357 0.06635295
103 1 1 6 1 2 0.10838904 -0.01179317 0.09127020
104 1 1 6 1 3 0.06629023 0.00193519 0.02389118
105 1 1 6 2 0 0.03060610 0.02435640 0.02244553
106 1 1 6 2 1 0.04904334 0.05370443 0.05850525
107 1 1 6 2 2 0.06748805 -0.01531179 0.03513264
108 1 1 6 2 3 0.08854466 -0.01096695 0.04523641
109 1 1 6 3 0 0.07831954 0.00456259 0.03078780
110 1 1 6 3 1 0.09732211 -0.01954229 0.05570450
111 1 1 6 3 2 0.08015598 -0.00036460 0.03579604
112 1 1 6 3 3 0.05559445 0.00924158 0.02361937
113 1 1 7 0 0 0.05283483 -0.01603603 0.02208862
114 1 1 7 0 1 0.05442653 -0.00161377 0.02341295
115 1 1 7 0 2 0.02217634 -0.02072030 0.02125227
116 1 1 7 0 3 0.09439992 -0.02831139 0.04374916
117 1 1 7 1 0 0.06405410 0.02694341 0.03109224
118 1 1 7 1 1 0.19121138 -0.00470505 0.15216551
119 1 1 7 1 2 0.04756664 -0.00132343 0.03200964
120 1 1 7 1 3 0.03553907 0.00843385 0.02127560
121 1 1 7 2 0 0.01921126 0.03867874 0.03737624
122 1 1 7 2 1 0.09820168 0.13095055 0.14757456
123 1 1 7 2 2 0.02957097 -0.00862029 0.01437519
124 1 1 7 2 3 0.04947015 -0.00588887 0.01822513
125 1 1 7 3 0 0.07233813 0.00553387 0.02456802
126 1 1 7 3 1 0.18351645 -0.05196106 0.12736338
127 1 1 7 3 2 0.06486811 0.01326025 0.02806941
128 1 1 7 3 3 0.03886795 0.00737460 0.01793672
129 1 1 8 0 0 0.03676117 -0.00615212 0.01086209
130 1 1 8 0 1 0.05200165 -0.01246658 0.03555363
131 1 1 8 0 2 0.03702463 -0.04781028 0.04730026
132 1 1 8 0 3 0.08248158 0.02196594 0.05973572
133 1 1 8 1 0 0.03134041 0.01906425 0.01819463
134 1 1 8 1 1 0.10250675 0.00460395 0.06595799
135 1 1 8 1 2 0.02956533 -0.00356502 0.01081174
136 1 1 8 1 3 0.01529809 -0.00092134 0.00934462
137 1 1 8 2 0 0.01317716 0.01531172 0.01458714
138 1 1 8 2 1 0.05107277 0.04967188 0.06124047
139 1 1 8 2 2 0.00865270 -0.01277708 0.01323451
140 1 1 8 2 3 0.03257754 0.00093951 0.01133171
141 1 1 8 3 0 0.04321351 0.00446558 0.01770578
142 1 1 8 3 1 0.07625093 -0.01683736 0.04739126
143 1 1 8 3 2 0.01760548 0.00720406 0.01494974
144 1 1 8 3 3 0.03249338 0.00845219 0.01907407
145 1 1 9 0 0 0.02200352 -0.01519059 0.01572851
146 1 1 9 0 1 0.03174908 -0.00663061 0.02334982
147 1 1 9 0 2 0.01509601 -0.03056010 0.02410638
148 1 1 9 0 3 0.10132402 0.08523295 0.12078518
