INDEX PHOTON_ID_2 PHOTON_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 1169940376040342892720971468511814667901036789443382960663333830173273863074383701119138494009669963979541141982246682708078342874314653295137136617437229062834751397828999128864995114307017289271946461531010426236351546383149399834504462336.00000000 -17981217297468914801283647326432857179597215697097645539640955213449024315350942437961820580500614473975510265738890414994988443238911568207741313155371924608050022612752158389665007818484793426953976249228289122838965523578880.00000000 Inf
2 1 1 0 0 1 4025537903677661273070587867075351625713043490086094702525731626899401995246348269946310983072825380112210902804359126647581547465219502519285722950959622124752997016513557660119514468358908979776087341942320466283802720455740811489837056.00000000 -71904815244981567170030437564136745204423260898794632913525571471326703591591746048550583707994070986599950739301502345371059707545731640532039001590485945026692189521511960478916824774877749365638415756337468972606265753600.00000000 Inf
3 1 1 0 0 2 8766924243146027159685695780264517058190885088469956844854146959374843060085031110816697884979011390648879487495911716381186446164957291388787655443100787836262983517915145705874160118203211880477991765828498540068465746787494555346272256.00000000 -156488841392233783489727037623555542121900244253506662065880274767568460745242746534062115819213896764402310116296999650588587889044281565658994042991674406054242039545597921741739734684433364721649973186289039473364864860160.00000000 Inf
4 1 1 0 0 3 4025537903677661273070587867075351625713043490086094702525731626899401995246348269946310983072825380112210902804359126647581547465219502519285722950959622124752997016513557660119514468358908979776087341942320466283802720455740811489837056.00000000 -71904815244981567170030437564136745204423260898794632913525571471326703591591746048550583707994070986599950739301502345371059707545731640532039001590485945026692189521511960478916824774877749365638415756337468972606265753600.00000000 Inf
5 1 1 0 1 0 8878910861577398141068344019581874220321264938304590855384041598017915938753007506683749512061033484732795681801087441296521949406142654022347303767150937145452729840565373705482504540277493687022056510132315872858862659712541928651227136.00000000 -158663109017196544516221148016820921036555000855417671699561655507331855132769774600552031072501751894941664962311571838187517355089459210518499040140757841464017396780853260937810267640839953158965246765351995169307816361984.00000000 Inf
6 1 1 0 1 1 8814935321133835040262192834886198034689719132166237288814218740394429729410428348080275371005492564365521658314472377735450403845647616902049130250356755670410339104157775934112498468908489670511890637693790612140100767007059003580612608.00000000 -157273552055490743327884922713790584613864204026167402742627000071537050331814698924010193011465004047940675993732771591656693357565390826864963550315079052240363750142525382947497553679950286237803049867255870663102281285632.00000000 Inf
7 1 1 0 1 2 8878519302376598798071666224040593225308824925312732120579575709102070051326836551456000785390153890005970233943552022544207734137219997102709886791124801798867260247448602251633956238708176354422928319042613096978133068225944500819722240.00000000 -158339483931187284467392728420335556073682543240692129446406005822195083169040451224703994477109440602093332359131568886277955045187620546544339862493184533878935158608268831653921354160740865968790037861004483674733100924928.00000000 Inf
8 1 1 0 1 3 8814935321133835040262192834886198034689719132166237288814218740394429729410428348080275371005492564365521658314472377735450403845647616902049130250356755670410339104157775934112498468908489670511890637693790612140100767007059003580612608.00000000 -157273552055490743327884922713790584613864204026167402742627000071537050331814698924010193011465004047940675993732771591656693357565390826864963550315079052240363750142525382947497553679950286237803049867255870663102281285632.00000000 Inf
9 1 1 0 2 0 45956201663530956514806022113608756165700358192068060591353564674458588547519606283377139184191117849573343040881524961418146632014382131360452876596635955935877066844049005859420735454656748473860723870315744793751017883877353602081095680.00000000 -819832935689269559039278538036684477367191976016841696867744172626522942544111502642012842966543625441433682534212252458284616581929010045666119329416255280957635514588385814963670250642799228106429314520336195511761770643456.00000000 Inf
10 1 1 0 2 1 3566923882889340708049239098162929633464172584393471241994092120136886097068287041883656290787224259603912892943388693639257525282938484771338117975229024457978076768735338216974154200130005311899944198035533233534242269483498806901211136.00000000 -63461523329836707993668384487602654284212398502710938498574405440471926209095032651524793550703967429245723234505250527983677439137957265721971245828981750080424062525930053643240394100074683311073752645357979885470545346560.00000000 Inf
11 1 1 0 2 2 8092754420698207609463599785530676963995381573882960670037912546999874970869474590892583500871878404403432264632938460830915970902214665062839186910950101849940921611760760371492901693411553683768233508087665257399375804019508927247941632.00000000 -144533312777444229852819620361555376384587940920932086703881551549778524463460571416886488830347623227982531428020181834752482871716513325336822162755244928140092201826708361714492332025628021216811653625215891792695312515072.00000000 Inf
12 1 1 0 2 3 3566923882889340708049239098162929633464172584393471241994092120136886097068287041883656290787224259603912892943388693639257525282938484771338117975229024457978076768735338216974154200130005311899944198035533233534242269483498806901211136.00000000 -63461523329836707993668384487602654284212398502710938498574405440471926209095032651524793550703967429245723234505250527983677439137957265721971245828981750080424062525930053643240394100074683311073752645357979885470545346560.00000000 Inf
13 1 1 0 3 0 8878910861577398141068344019581874220321264938304590855384041598017915938753007506683749512061033484732795681801087441296521949406142654022347303767150937145452729840565373705482504540277493687022056510132315872858862659712541928651227136.00000000 -158663109017196544516221148016820921036555000855417671699561655507331855132769774600552031072501751894941664962311571838187517355089459210518499040140757841464017396780853260937810267640839953158965246765351995169307816361984.00000000 Inf
14 1 1 0 3 1 8814935321133835040262192834886198034689719132166237288814218740394429729410428348080275371005492564365521658314472377735450403845647616902049130250356755670410339104157775934112498468908489670511890637693790612140100767007059003580612608.00000000 -157273552055490743327884922713790584613864204026167402742627000071537050331814698924010193011465004047940675993732771591656693357565390826864963550315079052240363750142525382947497553679950286237803049867255870663102281285632.00000000 Inf
15 1 1 0 3 2 8878519302376598798071666224040593225308824925312732120579575709102070051326836551456000785390153890005970233943552022544207734137219997102709886791124801798867260247448602251633956238708176354422928319042613096978133068225944500819722240.00000000 -158339483931187284467392728420335556073682543240692129446406005822195083169040451224703994477109440602093332359131568886277955045187620546544339862493184533878935158608268831653921354160740865968790037861004483674733100924928.00000000 Inf
16 1 1 0 3 3 8814935321133835040262192834886198034689719132166237288814218740394429729410428348080275371005492564365521658314472377735450403845647616902049130250356755670410339104157775934112498468908489670511890637693790612140100767007059003580612608.00000000 -157273552055490743327884922713790584613864204026167402742627000071537050331814698924010193011465004047940675993732771591656693357565390826864963550315079052240363750142525382947497553679950286237803049867255870663102281285632.00000000 Inf
17 1 1 1 0 0 -92864403394542016258948979484388089093496156596641126415283523886347100275120968175100112905265614814945691107872062900701584333444106596030119453752608154465698712085859891716037805089228433765609780855444775581160096551069810674712444928.00000000 1491773951170886559941752370186879945766528881903313394345729713148871017379844235499451122607918555045817139829350082154674576384087956510189538746680270628971550994929963328576071978360468582163512747499835896671508761673728.00000000 Inf
18 1 1 1 0 1 -306425000830446684157733453069932165554251940192703200444745361196830445970840053809102869426394667657198680836694211464366231326564857506658853372832069630048620729033679766757774525415957026431234931695200561924096234001824175666233344.00000000 4958995118446290162031725837757681000628656864052083963296218851452548350031491161952301622065510772188875207460458523737670989935855497942618887841132888074316000522946668443230912485907126005064065378513951756591137030144.00000000 Inf
19 1 1 1 0 2 297724982132995501449106235479470050395783196091570606794626536262173495192995798252003804872269624475291645631848447895181281882509034635286122377626848716687849712448938575461141896049179567155006402293938271393787237752138780500819968.00000000 -4759415050643326661569196770576487640414443085420175101505244435424128251989910472910630013237163608219359340645988034239554594528678192128402612879721545197957548210015362158385800483065267626412526491851995993930396073984.00000000 Inf
20 1 1 1 0 3 -306425000830446684157733453069932165554251940192703200444745361196830445970840053809102869426394667657198680836694211464366231326564857506658853372832069630048620729033679766757774525415957026431234931695200561924096234001824175666233344.00000000 4958995118446290162031725837757681000628656864052083963296218851452548350031491161952301622065510772188875207460458523737670989935855497942618887841132888074316000522946668443230912485907126005064065378513951756591137030144.00000000 Inf
21 1 1 1 1 0 -1146491496869680754732466916222437021190044058134478962304755618683608095656904080100424680807326229311022099435126116604838325178525703260243721060499518997331823158764393199874695780180618090822421115009980984221984692902788970431119360.00000000 16706073406499608937935675926703941758211806823658016405094075202326314167469979536621472458408308549526185630707030637663875307288322048768605312963507033861905197021954777733658702533821721676330858825023135982881618264064.00000000 Inf
22 1 1 1 1 1 -1144205061783264377452660398603577198496645690202911946269283944601115880429172303742592981827837418374256637904968544210536307235226685725345279088028082883898194860437792204135160221544718050372251684997530420880252924287439655988625408.00000000 18946749143219403452817701660746067203096102074033776204277916185993340226448636501837168097173394622524156195968950264035652937609794489320708770237421100266529816650302081421730492717945979292751425712224749574797112901632.00000000 Inf
23 1 1 1 1 2 -1146491496819994013905817732957075522948241904203621528281399402333799238593395287377720181478934318183429096623781254268847013174219461225812210006919108695721447265771682606908187207115730831410381811828310994896605789964427055798943744.00000000 19670057256173121218421402522787204809252895446454653356886466001950918093790814450562143042483369046110801587559879893084802944624705255022508967923070866293399909128817595149402623505544584285864372290053865938738927894528.00000000 Inf
24 1 1 1 1 3 -1144205061783264377452660398603577198496645690202911946269283944601115880429172303742592981827837418374256637904968544210536307235226685725345279088028082883898194860437792204135160221544718050372251684997530420880252924287439655988625408.00000000 18946749143219403452817701660746067203096102074033776204277916185993340226448636501837168097173394622524156195968950264035652937609794489320708770237421100266529816650302081421730492717945979292751425712224749574797112901632.00000000 Inf
25 1 1 1 2 0 665801905157011459125970327626286374981953611125775994514156160967167749006050959796475054944115812603303276177045322676123050627669483835365949654215132965484927293513588812972658047837698615404346058802093922515694811400040810901667840.00000000 -20604528188166189523177092933764894478393318171396162058314430576807480883506615370024787348839761557453591566064112644437677358978013217476965973444030217753203972087289850171165050903991826961503473526341263632488730722304.00000000 Inf
26 1 1 1 2 1 -765039000744801215364250501562424447658463025409218971986195267592208489428441033640765037844281595667215802833479309677425966957106880131405693614750013224511629168669396615201177837689721099037237679919279487910409941827955137720614912.00000000 13715865345438100523498925790533294970954624888482787988365457928508370047360928989176701499201694238385088833734224674045433199982684866393990761668958387665375454931006921485424879323338232077643866609488699163877878792192.00000000 Inf
27 1 1 1 2 2 -376445115292699995960263549347409047224197230416202745388225210884548084596839407958298309387573832758149407439389069261373554309164287327931525843810792551687932773963492617245165362581465928333307033453779980247016645666336465383063552.00000000 7920730430351183310818539093664018928934234056123859307082485390331915254595973257651890494923384662066430308635505296292428004299833116340940513411419570807797048859927766716214117547629580501243645816883692260431759409152.00000000 Inf
28 1 1 1 2 3 -765039000744801215364250501562424447658463025409218971986195267592208489428441033640765037844281595667215802833479309677425966957106880131405693614750013224511629168669396615201177837689721099037237679919279487910409941827955137720614912.00000000 13715865345438100523498925790533294970954624888482787988365457928508370047360928989176701499201694238385088833734224674045433199982684866393990761668958387665375454931006921485424879323338232077643866609488699163877878792192.00000000 Inf
