INDEX PHOTON_ID_2 PHOTON_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 82419736347080818562943692706740783713986471937585080003095812479226729686825775856506605634567264837760187696414008485848528611008787021549434901883907380315120269688568703009872139436851295480790515688217468859806366302191495815071006720.00000000 -1289744028662265066363682640459665859799341742604392639545838947803406952070342845384567070665218529442025058975474236345382855999727232563031553029310824135322399736571589969397153664086442514613967791752575101164213764096000.00000000 Inf
2 1 1 0 0 1 74939855134902044082275819295844043749531390028073173140699351681445514230027936285304919427053757843050105956895071737542923685318184794936583041619974304405388912863508579492781742909792034968524013030890637848387800797731089848633131008.00000000 -1156292208072532680907942060314833515813278645195078124429238925027392281547404413664376439412692056836581541739967267609571112038315738644254552550963122406065809335491130502908209197263187820101774071757799777083677946675200.00000000 Inf
3 1 1 0 0 2 76114153239872260435563800802147355665570576219361488600442165140855083279577836583651303145555534483014409684709477473486835910125798564209482021587130394878666110894224484508679984810724505794874767320455780915628176711612402000159834112.00000000 -1177265667990814427297016049196479287176281905723844151916995391086910554838831362431553887263764830842756453117939983747540273823104074912642222964761967113762539571285541389714721760781181065995545380706912416024508424519680.00000000 Inf
4 1 1 0 0 3 74939855134902044082275819295844043749531390028073173140699351681445514230027936285304919427053757843050105956895071737542923685318184794936583041619974304405388912863508579492781742909792034968524013030890637848387800797731089848633131008.00000000 -1156292208072532680907942060314833515813278645195078124429238925027392281547404413664376439412692056836581541739967267609571112038315738644254552550963122406065809335491130502908209197263187820101774071757799777083677946675200.00000000 Inf
5 1 1 0 1 0 70348473265052154073157127301958357670075632853830032450908796704152369385977887621351538060176555858904994748424048991938648889983051781172720353674793018833274000592746367072245894294271038674492873179829350828348413769865190045957226496.00000000 -1074389154639046453341759348618241287239638469353994801878166228353679707904957732474333414261746631820140019113212811257133827896626654861484055781094773099233699602324959619617766639183392920766478252711916583260272128425984.00000000 Inf
6 1 1 0 1 1 70206875284647737771411976809017665565330990665157702509014513224798668540678887521800072070981700722082105063376647467848324036300861185602443017567839421312299569195653245954786985698189229764553113643117831883384846192077229899810603008.00000000 -1071839302072805103783029704139272783680016133648969713888374297314102669330437978879227747023860235076636229694336204871829778063725296747199984826765675877672729209631661229286935397617399526667657073061893519166060290375680.00000000 Inf
7 1 1 0 1 2 70233819759855146226659133040098174069199775565880178380436030227846372306522802399297931633786753169150297723846728838671924640507793926692133218917668628656339335796622136839839496184746499416904893207062963748349426315286106907623817216.00000000 -1072278331660257608479718061162354144014644313690641103104527025259036264418882019758999818182013049097533323442788134811302554240415854758065413750252465486589747244635639165297011967292393058420958144772813075341862330433536.00000000 Inf
8 1 1 0 1 3 70206875284647737771411976809017665565330990665157702509014513224798668540678887521800072070981700722082105063376647467848324036300861185602443017567839421312299569195653245954786985698189229764553113643117831883384846192077229899810603008.00000000 -1071839302072805103783029704139272783680016133648969713888374297314102669330437978879227747023860235076636229694336204871829778063725296747199984826765675877672729209631661229286935397617399526667657073061893519166060290375680.00000000 Inf
9 1 1 0 2 0 73572911145525505912478167548121875367182448936999185199008405278803388253529379990276892809923222242028958956479220766199534716941372406254361702860163961049088156597267588518403891426497701924682044533099687319868366814459472108364759040.00000000 -1131856604397421436144379782580072030281776494510990309614369797296693161831087846895930462799223554564686350203299653563389266642905017764331752073080608896947517562455174899365115863101560457860233371271169239930854759727104.00000000 Inf
10 1 1 0 2 1 74939757245101659171947851945216843443981197302333555862668268104231895106742452528995115693881148113015113251537606398092331835960954386818290285169738626914959338384729355580666954423116027787358728101299819250255307594959658442872061952.00000000 -1156211301801029543999500338482351668167891330771292746625355821485192541950080978331015321344965523752973165215976762655504837682993761318974723665331875465448480861591601590083538355073694580856768100106288325570463684100096.00000000 Inf
11 1 1 0 2 2 76082263359450609317942845445531632800209007298605906777984632519903055027477236861592928299881150234754996656158148239608436205335281805921098513245403909107622580269112366843212374571200953926763652851327046640178111611293891626281205760.00000000 -1176651795781463512956561194670741257643786941704858806105579299341931126786729713641485333814543152638309524435167382675816698890678893323094479377773279600558560141766970435839058186642973617353523216713781402189221102354432.00000000 Inf
12 1 1 0 2 3 74939757245101659171947851945216843443981197302333555862668268104231895106742452528995115693881148113015113251537606398092331835960954386818290285169738626914959338384729355580666954423116027787358728101299819250255307594959658442872061952.00000000 -1156211301801029543999500338482351668167891330771292746625355821485192541950080978331015321344965523752973165215976762655504837682993761318974723665331875465448480861591601590083538355073694580856768100106288325570463684100096.00000000 Inf
13 1 1 0 3 0 70348473265052154073157127301958357670075632853830032450908796704152369385977887621351538060176555858904994748424048991938648889983051781172720353674793018833274000592746367072245894294271038674492873179829350828348413769865190045957226496.00000000 -1074389154639046453341759348618241287239638469353994801878166228353679707904957732474333414261746631820140019113212811257133827896626654861484055781094773099233699602324959619617766639183392920766478252711916583260272128425984.00000000 Inf
14 1 1 0 3 1 70206875284647737771411976809017665565330990665157702509014513224798668540678887521800072070981700722082105063376647467848324036300861185602443017567839421312299569195653245954786985698189229764553113643117831883384846192077229899810603008.00000000 -1071839302072805103783029704139272783680016133648969713888374297314102669330437978879227747023860235076636229694336204871829778063725296747199984826765675877672729209631661229286935397617399526667657073061893519166060290375680.00000000 Inf
15 1 1 0 3 2 70233819759855146226659133040098174069199775565880178380436030227846372306522802399297931633786753169150297723846728838671924640507793926692133218917668628656339335796622136839839496184746499416904893207062963748349426315286106907623817216.00000000 -1072278331660257608479718061162354144014644313690641103104527025259036264418882019758999818182013049097533323442788134811302554240415854758065413750252465486589747244635639165297011967292393058420958144772813075341862330433536.00000000 Inf
16 1 1 0 3 3 70206875284647737771411976809017665565330990665157702509014513224798668540678887521800072070981700722082105063376647467848324036300861185602443017567839421312299569195653245954786985698189229764553113643117831883384846192077229899810603008.00000000 -1071839302072805103783029704139272783680016133648969713888374297314102669330437978879227747023860235076636229694336204871829778063725296747199984826765675877672729209631661229286935397617399526667657073061893519166060290375680.00000000 Inf
17 1 1 1 0 0 -6473939741262968167829563071853105002297382256243533040965328285335842599549023025443754602927308909620900583858055277243084656703669255006891835770553302652702403643344511547699698725390689638782194967406554297848019981025764680147140608.00000000 103763732324276228512762448677535645860607098970851384922661274224715377869998704484016607351381759973649910584170581717087490038076595654669289446840057593910406257514429534619877987198199940365580088872759102232085108097024.00000000 Inf
18 1 1 1 0 1 -5757492584770300696687756361070227395176467380759481660004797121511748515719250522029416319572375877376389580218576209112714341933249243968008167441519099426498542345117236677571001902518770497542201176059110525749993449258990812346187776.00000000 91380008743979147975622201786586877194845237689819150992836768861149064504791898777490564454143362531305986495262090554267947804889967981522153064314131180963118671496713722649854291373001477605786645080738999371130944356352.00000000 Inf
19 1 1 1 0 2 -5633971209977543523807219475092566161986197988129388009281189873941875537158762724649746591799752484003210563017766687698414777654122325722930996431081970491848191360471333999804964852375736480261836041570952701560135692628873911765827584.00000000 89621642636695223640912280706749741664995927490674780772458349156499591505828505072965995292758647594645268132588559731601666577330433904103210376538985821411954006736694395050924139432048494336661850663289921304676651761664.00000000 Inf
20 1 1 1 0 3 -5757492584770300696687756361070227395176467380759481660004797121511748515719250522029416319572375877376389580218576209112714341933249243968008167441519099426498542345117236677571001902518770497542201176059110525749993449258990812346187776.00000000 91380008743979147975622201786586877194845237689819150992836768861149064504791898777490564454143362531305986495262090554267947804889967981522153064314131180963118671496713722649854291373001477605786645080738999371130944356352.00000000 Inf
21 1 1 1 1 0 -5746175450152787953337870655345098061829294269647623194981668558705760708781394209395706807177760115275849752615559848106140911892721874041397882879653246371320927853450571513823360126451922979703123481446545328741306967412689955987652608.00000000 92636537089004543278144215244580588678061134333574086383214081269135312437711058771089714260356501367752418868759887885094151585613501494896386111789509293711134498397401083961809721963720258017013186666540820797957393612800.00000000 Inf
22 1 1 1 1 1 -5887773462320287610018248967113946611176562818602470546684468180113425501260413237398164618752780633309802579641789751009928929379082785618871965245651440823547762013700485396627404244190116518046391661487579213247504923760802797623181312.00000000 95316164052502691414354324141807078811589298413349848777131111571266220744440759831315264409243484543759871750488509045390023346954106264900327135898538598291709849306557287938660993779968399709316793169146163713206397173760.00000000 Inf
23 1 1 1 1 2 -5860828950131369356663765624431428942636710997104421958401016695266142030136851445857416624614072088241116285325963877160870170193326139701944616291451906345960773436777468263096216758767095331916518587181534087419045128552824960219873280.00000000 94825754645752454773699284386106466850409166338676562777451681482353490531723863003425858783696624471281657606668554211866647949232882954044914625685497987922846466281597006947173282982104611162785028503013278967800549867520.00000000 Inf
24 1 1 1 1 3 -5887773462320287610018248967113946611176562818602470546684468180113425501260413237398164618752780633309802579641789751009928929379082785618871965245651440823547762013700485396627404244190116518046391661487579213247504923760802797623181312.00000000 95316164052502691414354324141807078811589298413349848777131111571266220744440759831315264409243484543759871750488509045390023346954106264900327135898538598291709849306557287938660993779968399709316793169146163713206397173760.00000000 Inf
25 1 1 1 2 0 -5328591461948928854104836579115305770564305590713280232329770501842473928986170845296851055910880678019739862352911755217052249469119605015729176097573925765851439049522848434477188580999473248538837323311865649138390323471477223645511680.00000000 85196325086998333973561395523122819287134507366055029477019753441637955358879298930184630566086162572723632014454435149681382959070360113320077877859460648566801848722130615619451176656642018385562291120059669793786782810112.00000000 Inf
26 1 1 1 2 1 -5757492584757877565585947206646528582672289633507301265605755199416603663551584722149499049806645947787043779957981544429009378810766435460272294348387831666300767066552652536761775920101894949501570233999486833854880670361120786431868928.00000000 92121004706397443856120171742271642317138589843507911006725447448963660825732997057035821208274282129412511147155752446514291336439412017157000068932086777698886558087791146453420410233985346513423806504454224496138213392384.00000000 Inf
27 1 1 1 2 2 -5632827992446754128583684794884759749312494925107386787982887354972696368007196831253024577274842152701830983840007218885847326440736881465833662548769024640943608573923398165041626538022700808514518919831732528093078427729230638690074624.00000000 90000984542636938028587583446423108895786737964938199591243292339644395872755512143320963834356058631342219102140239482253433380395622266896279850600648379765143893183793258848152475063303668511261020979171381851068085305344.00000000 Inf
28 1 1 1 2 3 -5757492584757877565585947206646528582672289633507301265605755199416603663551584722149499049806645947787043779957981544429009378810766435460272294348387831666300767066552652536761775920101894949501570233999486833854880670361120786431868928.00000000 92121004706397443856120171742271642317138589843507911006725447448963660825732997057035821208274282129412511147155752446514291336439412017157000068932086777698886558087791146453420410233985346513423806504454224496138213392384.00000000 Inf
29 1 1 1 3 0 -5746175450152787953337870655345098061829294269647623194981668558705760708781394209395706807177760115275849752615559848106140911892721874041397882879653246371320927853450571513823360126451922979703123481446545328741306967412689955987652608.00000000 92636537089004543278144215244580588678061134333574086383214081269135312437711058771089714260356501367752418868759887885094151585613501494896386111789509293711134498397401083961809721963720258017013186666540820797957393612800.00000000 Inf
30 1 1 1 3 1 -5887773462320287610018248967113946611176562818602470546684468180113425501260413237398164618752780633309802579641789751009928929379082785618871965245651440823547762013700485396627404244190116518046391661487579213247504923760802797623181312.00000000 95316164052502691414354324141807078811589298413349848777131111571266220744440759831315264409243484543759871750488509045390023346954106264900327135898538598291709849306557287938660993779968399709316793169146163713206397173760.00000000 Inf
31 1 1 1 3 2 -5860828950131369356663765624431428942636710997104421958401016695266142030136851445857416624614072088241116285325963877160870170193326139701944616291451906345960773436777468263096216758767095331916518587181534087419045128552824960219873280.00000000 94825754645752454773699284386106466850409166338676562777451681482353490531723863003425858783696624471281657606668554211866647949232882954044914625685497987922846466281597006947173282982104611162785028503013278967800549867520.00000000 Inf
32 1 1 1 3 3 -5887773462320287610018248967113946611176562818602470546684468180113425501260413237398164618752780633309802579641789751009928929379082785618871965245651440823547762013700485396627404244190116518046391661487579213247504923760802797623181312.00000000 95316164052502691414354324141807078811589298413349848777131111571266220744440759831315264409243484543759871750488509045390023346954106264900327135898538598291709849306557287938660993779968399709316793169146163713206397173760.00000000 Inf
33 1 1 2 0 0 -6478738321399771263887110142242952126578115863635507855924309319678982100094628314588776334289397161236342960567986842763310881078090880411527123177650486955697163628933308203205396854456346496881445507361373634647376723045660508385443840.00000000 100962628231584914605605866841693049650752825866521684250174060769723749934907907505985728769390174553037736419507862625935408540489047341849961873599936892129910879704903152114993913870997879554089120161243918730898637324288.00000000 Inf
34 1 1 2 0 1 -7714057757120399987984079301389354073958886348831491088199033995259655685294153970692667642343732056345739068743297942523486311389250076841209855615334751008169895832979367389930314543105647098829764211594780704575850582210191690725064704.00000000 118763324265405820368443790088606011191547750858951990739729133544284666902276253635887942251354138988135882127583365011186716490682631087537645959403450828634155299865231334777737044765725619689880685665029108231514496172032.00000000 Inf
35 1 1 2 0 2 -7590348228991677367326057242817717896243244521588743902621734247173678509607381007330283428025493262444350564534157387713644258752213995552129123847990981068905406210929506022133653830759695429811560238754365050807927202393970889067593728.00000000 116405389333270280432241238021672408107228162635348588950229634327578770833150896027398148073712151312137612856617553463957045959730269284210628785705779625737283751909520145723088283358791974681697234291028261564764859138048.00000000 Inf
36 1 1 2 0 3 -7714057757120399987984079301389354073958886348831491088199033995259655685294153970692667642343732056345739068743297942523486311389250076841209855615334751008169895832979367389930314543105647098829764211594780704575850582210191690725064704.00000000 118763324265405820368443790088606011191547750858951990739729133544284666902276253635887942251354138988135882127583365011186716490682631087537645959403450828634155299865231334777737044765725619689880685665029108231514496172032.00000000 Inf
37 1 1 2 1 0 -7702928772117511867877568968840427651995513852050658816798526230212210380908308639528204869798670216406580537610928123866993623046781570261439120609426806425215850594467357895188206895510307723008204912453751119521297902407393937444569088.00000000 121648212407225403784132777783225729474951535863894969589254884807901551453928778671760925823986161155528576181053975204449238274164415739742973260916928759991891179774459872505412780345595214959473796685963285359283337691136.00000000 Inf
38 1 1 2 1 1 -7844526784279199026067575679028355667559403147752041877825796460695470808197148836581260048173244468501384142448192645948098452480025525344371977436040958000813837382763171656244917627620493847114585710385882857679922142371726808854822912.00000000 122716491728749118788607348677585128212067812002465301917966626466027101006451142318995755386174945581507581731950421639310537922895441577858782905013640971637328337239800532706051043104572048495012465021478800105008508436480.00000000 Inf
39 1 1 2 1 2 -7817582272090292339874267205204705502569368996409721576687967919909728440287895858634441213503591537892278244594434364896696774265518863420468591119730745001588299248371406463254520855402702526485681566193487288361606772469985349501714432.00000000 122240291429598321701885211250654277579223145882853973581810891421037354906483816906450771830353528221674284376213032782657499438018422644602385415415201229441129868291732501171015658070102531062731894077541083292640435240960.00000000 Inf
40 1 1 2 1 3 -7844526784279199026067575679028355667559403147752041877825796460695470808197148836581260048173244468501384142448192645948098452480025525344371977436040958000813837382763171656244917627620493847114585710385882857679922142371726808854822912.00000000 122716491728749118788607348677585128212067812002465301917966626466027101006451142318995755386174945581507581731950421639310537922895441577858782905013640971637328337239800532706051043104572048495012465021478800105008508436480.00000000 Inf
41 1 1 2 2 0 -7284582647566297697830401695105123190477012986036011651629842787493815092034510741588941074860619227183358751387851397559133532602878483696293713258294991871906045883770005826194346435027080514609034367047949936246857880080672113502978048.00000000 110681528278399582961996625531188111709767772048269654127750203625084172463435229781864051401180173087785010094391765378126050084826365510849917069465153133721416062232704651989087207079107092973385855501981873874215205076992.00000000 Inf
42 1 1 2 2 1 -7714057757113806706114404051834877050562814360066367415193955880181226853138130222153046744982031814384913085364770047858950157776759200817551152018421508342143143590165761281679608016124623763277474046814533493793528157655456202111320064.00000000 121650333701673550254477521601262361181215137148056477102046773865089191333205530114540720146909574340900799488001357627407147769031935484093560397738455239833614669770898973171222534917379047658791584575851705295979593859072.00000000 Inf
43 1 1 2 2 2 -7589202629784773334645329859696842252997099386167757781993863947668599314670131886754360553639756291725412542723216849448798034940911635957802719440594315635980979368730869190383454894172132683052473346627865224749923055032249028525948928.00000000 117771549509153223360195435409405073648871497102688225471760288668566929164161852051835037950095701333963842972836957537073746537178861576324861101482341423188298934947885222423706869806735370518236174661706401590685277880320.00000000 Inf
44 1 1 2 2 3 -7714057757113806706114404051834877050562814360066367415193955880181226853138130222153046744982031814384913085364770047858950157776759200817551152018421508342143143590165761281679608016124623763277474046814533493793528157655456202111320064.00000000 121650333701673550254477521601262361181215137148056477102046773865089191333205530114540720146909574340900799488001357627407147769031935484093560397738455239833614669770898973171222534917379047658791584575851705295979593859072.00000000 Inf
45 1 1 2 3 0 -7702928772117511867877568968840427651995513852050658816798526230212210380908308639528204869798670216406580537610928123866993623046781570261439120609426806425215850594467357895188206895510307723008204912453751119521297902407393937444569088.00000000 121648212407225403784132777783225729474951535863894969589254884807901551453928778671760925823986161155528576181053975204449238274164415739742973260916928759991891179774459872505412780345595214959473796685963285359283337691136.00000000 Inf
46 1 1 2 3 1 -7844526784279199026067575679028355667559403147752041877825796460695470808197148836581260048173244468501384142448192645948098452480025525344371977436040958000813837382763171656244917627620493847114585710385882857679922142371726808854822912.00000000 122716491728749118788607348677585128212067812002465301917966626466027101006451142318995755386174945581507581731950421639310537922895441577858782905013640971637328337239800532706051043104572048495012465021478800105008508436480.00000000 Inf
47 1 1 2 3 2 -7817582272090292339874267205204705502569368996409721576687967919909728440287895858634441213503591537892278244594434364896696774265518863420468591119730745001588299248371406463254520855402702526485681566193487288361606772469985349501714432.00000000 122240291429598321701885211250654277579223145882853973581810891421037354906483816906450771830353528221674284376213032782657499438018422644602385415415201229441129868291732501171015658070102531062731894077541083292640435240960.00000000 Inf
48 1 1 2 3 3 -7844526784279199026067575679028355667559403147752041877825796460695470808197148836581260048173244468501384142448192645948098452480025525344371977436040958000813837382763171656244917627620493847114585710385882857679922142371726808854822912.00000000 122716491728749118788607348677585128212067812002465301917966626466027101006451142318995755386174945581507581731950421639310537922895441577858782905013640971637328337239800532706051043104572048495012465021478800105008508436480.00000000 Inf
49 1 1 3 0 0 -6473939741262979734990737940711972505847199926399261328110951229397383702763331839037683762396364524080480980320122870040741737674919238999915798408442624131063854085875763488240489438595919504283163897520203854358164406332001058197340160.00000000 104402794187205947655665874037913179580559565773609101934407447999678071741060822894126755625494137500030741535174753918256705283310257232669658789435143999740970767493100082363273371793079180862572152233850473105547405033472.00000000 Inf
50 1 1 3 0 1 -5757492584770283345945994057781926139851740875525889229286362705419436860897787301638522580368792455687018985525474819916228720476374267978472223484685117208956366681320358766759815832710925699290747780888636190984776811299636245270888448.00000000 94156835753560369262214412386353809349905817287173684796039693504640836037962563230085129039434822475757962745932048040256508098050893989856037856215197151693238875431705764520013737409505471917411443399819056561412913496064.00000000 Inf
51 1 1 3 0 2 -5633971209977514605904282302945397403111653812740067291417132513788022779122990690664923693127113447854259571862597705704272075225997365740371089836358666795944565254143204148452988069362661816509413716286828810284774629363282966640328704.00000000 90727743969929179808856733733203033540389373169041191577925638851246428540207521846799578589614290639450350467345942861319094056003781117435604047556042347757031467027967083480332945745404040248260903367127026896155845853184.00000000 Inf
52 1 1 3 0 3 -5757492584770283345945994057781926139851740875525889229286362705419436860897787301638522580368792455687018985525474819916228720476374267978472223484685117208956366681320358766759815832710925699290747780888636190984776811299636245270888448.00000000 94156835753560369262214412386353809349905817287173684796039693504640836037962563230085129039434822475757962745932048040256508098050893989856037856215197151693238875431705764520013737409505471917411443399819056561412913496064.00000000 Inf
53 1 1 3 1 0 -5746175450152793736918458089774531813604203104725487338554480030736531260388548616192671386912287922505639950846593644504969452378346866037909864198597907110501653074716197484093755483054537912453607946503370106996379180065808145012752384.00000000 93014974043115621910646544948819899648726451222089019088827251628076321862214531222106045514010270972298619317175807868113217603894060426860078982136431900952538977630387343796020810008134698131982822506389755237773707575296.00000000 Inf
54 1 1 3 1 1 -5887773462320299177179423835972814114726380488758198833830091124174966604474722050992093778221836247769382976103857343807586010350332769611895927883540762301909212456231737337168194957395346383547360591601228769757649349067039175673380864.00000000 95130477556125704012317616422952452399604330751525219272436752101216788611291960485802683984433068832874026297795922252347673588099029338636023800387776677318712416923543292845373008805623770048384062952736197523217525506048.00000000 Inf
55 1 1 3 1 2 -5860828950131369356663765624431428942636710997104421958401016695266142030136851445857416624614072088241116285325963877160870170193326139701944616291451906345960773436777468263096216758767095331916518587181534087419045128552824960219873280.00000000 94450742826105639257030488765651697193257708486796025584378195751965707046055501252389767912003081666431428081336172014628431421415273386718837360672579619532089363606972165673229273753818347484428146716551009376082692407296.00000000 Inf
56 1 1 3 1 3 -5887773462320299177179423835972814114726380488758198833830091124174966604474722050992093778221836247769382976103857343807586010350332769611895927883540762301909212456231737337168194957395346383547360591601228769757649349067039175673380864.00000000 95130477556125704012317616422952452399604330751525219272436752101216788611291960485802683984433068832874026297795922252347673588099029338636023800387776677318712416923543292845373008805623770048384062952736197523217525506048.00000000 Inf
57 1 1 3 2 0 -5328591461948917286943661710256438267014487920557551945184147557780932825771862031702921896441825063560159465890844162419395168497869621022705213459684604287489988606991596493936397867794243383037868393198216092628245898165240845595312128.00000000 86488867248808942933800289402286227534594782919745134531250700714796880303690279878932459460498980484354500927130470102983480133771412543139701331717640686452818627931674680215149765502845263510682486042932448969462170779648.00000000 Inf
