INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.50000000 -0.00000000 0.00000000
2 1 1 0 1 -0.18703354 -0.00004031 0.00015519
3 1 1 0 2 0.00000127 0.00000009 0.00000156
4 1 1 0 3 -0.01107470 -0.00000488 0.00006064
5 1 1 0 4 0.00000040 0.00000001 0.00000041
6 1 1 0 5 -0.00126282 -0.00000207 0.00001634
7 1 1 0 6 0.00000004 0.00000001 0.00000010
8 1 1 0 7 0.00011513 -0.00000047 0.00000341
9 1 1 0 8 0.00000000 -0.00000001 0.00000002
10 1 1 0 9 0.00011513 0.00000047 0.00000341
11 1 1 0 10 -0.00000004 0.00000001 0.00000010
12 1 1 0 11 -0.00126282 0.00000207 0.00001634
13 1 1 0 12 -0.00000040 0.00000001 0.00000041
14 1 1 0 13 -0.01107470 0.00000488 0.00006064
15 1 1 0 14 -0.00000127 0.00000009 0.00000156
16 1 1 0 15 -0.18703354 0.00004031 0.00015519
17 1 1 1 0 -0.18703354 0.00004031 0.00015519
18 1 1 1 1 -0.00000438 0.00000000 0.00000642
19 1 1 1 2 0.05339306 0.00000753 0.00007998
20 1 1 1 3 0.00000000 0.00000012 0.00000069
21 1 1 1 4 0.00510656 0.00000238 0.00002853
22 1 1 1 5 -0.00000009 0.00000001 0.00000019
23 1 1 1 6 0.00049625 0.00000103 0.00000703
24 1 1 1 7 -0.00000002 0.00000001 0.00000004
25 1 1 1 8 -0.00018085 -0.00000010 0.00000211
26 1 1 1 9 -0.00000003 0.00000001 0.00000007
27 1 1 1 10 0.00016187 -0.00000156 0.00000828
28 1 1 1 11 0.00000012 -0.00000005 0.00000026
29 1 1 1 12 0.00329244 -0.00000487 0.00004149
30 1 1 1 13 0.00000124 -0.00000023 0.00000091
31 1 1 1 14 0.04163005 -0.00002252 0.00022881
32 1 1 1 15 -0.00000000 0.00000000 0.00000000
33 1 1 2 0 0.00000127 -0.00000009 0.00000156
34 1 1 2 1 0.05339306 -0.00000753 0.00007998
35 1 1 2 2 0.00000425 0.00000000 0.00000524
36 1 1 2 3 -0.02594003 -0.00000295 0.00006419
37 1 1 2 4 -0.00000055 -0.00000010 0.00000045
38 1 1 2 5 -0.00266645 -0.00000148 0.00001547
39 1 1 2 6 0.00000001 -0.00000001 0.00000011
40 1 1 2 7 -0.00015857 -0.00000042 0.00000307
41 1 1 2 8 0.00000003 -0.00000003 0.00000005
42 1 1 2 9 0.00009858 0.00000089 0.00000370
43 1 1 2 10 0.00000008 0.00000002 0.00000019
44 1 1 2 11 -0.00092799 0.00000453 0.00002351
45 1 1 2 12 -0.00000058 0.00000030 0.00000067
46 1 1 2 13 -0.01336626 0.00002122 0.00017427
47 1 1 2 14 0.00000000 -0.00000000 0.00000000
48 1 1 2 15 0.04163005 -0.00002252 0.00022881
49 1 1 3 0 -0.01107470 0.00000488 0.00006064
50 1 1 3 1 0.00000000 -0.00000012 0.00000069
51 1 1 3 2 -0.02594003 0.00000295 0.00006419
52 1 1 3 3 -0.00000360 -0.00000000 0.00000388
53 1 1 3 4 0.01448748 0.00000183 0.00005010
54 1 1 3 5 0.00000060 0.00000005 0.00000038
55 1 1 3 6 0.00143942 0.00000098 0.00000869
56 1 1 3 7 -0.00000001 0.00000002 0.00000008
57 1 1 3 8 0.00003480 -0.00000022 0.00000217
58 1 1 3 9 -0.00000012 0.00000005 0.00000013
59 1 1 3 10 0.00019480 -0.00000306 0.00001204
60 1 1 3 11 -0.00000004 -0.00000020 0.00000051
61 1 1 3 12 0.00442508 -0.00002138 0.00010803
62 1 1 3 13 -0.00000000 0.00000000 0.00000000
63 1 1 3 14 -0.01336626 0.00002122 0.00017427
64 1 1 3 15 -0.00000124 0.00000023 0.00000091
65 1 1 4 0 0.00000040 -0.00000001 0.00000041
66 1 1 4 1 0.00510656 -0.00000238 0.00002853
67 1 1 4 2 -0.00000055 0.00000010 0.00000045
68 1 1 4 3 0.01448748 -0.00000183 0.00005010
69 1 1 4 4 0.00000289 -0.00000000 0.00000276
70 1 1 4 5 -0.00851999 -0.00000139 0.00003650
71 1 1 4 6 -0.00000049 -0.00000003 0.00000029
72 1 1 4 7 -0.00077028 -0.00000051 0.00000494
73 1 1 4 8 0.00000008 -0.00000006 0.00000010
74 1 1 4 9 -0.00006442 0.00000162 0.00000607
75 1 1 4 10 0.00000026 -0.00000003 0.00000038
76 1 1 4 11 -0.00136498 0.00001564 0.00006277
77 1 1 4 12 0.00000000 0.00000000 0.00000000
78 1 1 4 13 0.00442508 -0.00002138 0.00010803
79 1 1 4 14 0.00000058 -0.00000030 0.00000067
80 1 1 4 15 0.00329244 -0.00000487 0.00004149
81 1 1 5 0 -0.00126282 0.00000207 0.00001634
82 1 1 5 1 -0.00000009 -0.00000001 0.00000019
83 1 1 5 2 -0.00266645 0.00000148 0.00001547
84 1 1 5 3 0.00000060 -0.00000005 0.00000038
85 1 1 5 4 -0.00851999 0.00000139 0.00003650
86 1 1 5 5 -0.00000214 -0.00000000 0.00000188
87 1 1 5 6 0.00498172 0.00000100 0.00002444
88 1 1 5 7 0.00000028 0.00000003 0.00000020
89 1 1 5 8 0.00039103 -0.00000048 0.00000442
90 1 1 5 9 -0.00000027 0.00000015 0.00000028
