INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 1.62360844 -0.00000000 0.00008187
2 1 1 0 1 -0.00007355 0.00007713 0.00017394
3 1 1 0 2 0.06689978 0.00001599 0.00019689
4 1 1 0 3 -0.00002933 0.00000188 0.00003448
5 1 1 0 4 -0.01403848 -0.00001773 0.00008392
6 1 1 0 5 0.00000216 0.00000115 0.00000426
7 1 1 0 6 -0.00905941 -0.00001994 0.00009414
8 1 1 0 7 0.00000233 0.00000058 0.00000244
9 1 1 0 8 -0.00508020 -0.00000010 0.00007529
10 1 1 0 9 0.00000186 -0.00000030 0.00000228
11 1 1 0 10 -0.00905877 0.00001908 0.00009423
12 1 1 0 11 0.00000120 -0.00000072 0.00000432
13 1 1 0 12 -0.01404004 0.00001456 0.00008418
14 1 1 0 13 -0.00002818 -0.00000177 0.00003382
15 1 1 0 14 0.06687823 -0.00002544 0.00019724
16 1 1 0 15 -0.00007596 -0.00007911 0.00017048
17 1 1 1 0 -0.00007355 -0.00007713 0.00017394
18 1 1 1 1 -0.58793861 0.00000000 0.00028285
19 1 1 1 2 0.00004175 -0.00001075 0.00006643
20 1 1 1 3 -0.00764385 -0.00000306 0.00002441
21 1 1 1 4 0.00000675 -0.00000095 0.00001189
22 1 1 1 5 0.01454259 0.00001565 0.00009542
23 1 1 1 6 -0.00000315 -0.00000096 0.00000226
24 1 1 1 7 0.00705225 0.00001064 0.00007786
25 1 1 1 8 -0.00000192 -0.00000056 0.00000244
26 1 1 1 9 0.00545703 -0.00000908 0.00008398
27 1 1 1 10 -0.00000254 0.00000014 0.00000203
28 1 1 1 11 0.01044607 -0.00002503 0.00011252
29 1 1 1 12 0.00001406 0.00000197 0.00001869
30 1 1 1 13 -0.00405231 -0.00000037 0.00007186
31 1 1 1 14 0.00014690 0.00003647 0.00015743
32 1 1 1 15 -0.51866689 0.00022101 0.00140999
33 1 1 2 0 0.06689978 -0.00001599 0.00019689
34 1 1 2 1 0.00004175 0.00001075 0.00006643
35 1 1 2 2 0.32984245 -0.00000000 0.00047704
36 1 1 2 3 -0.00003140 0.00000436 0.00004178
37 1 1 2 4 -0.00834905 0.00000028 0.00004539
38 1 1 2 5 -0.00000095 0.00000069 0.00000506
39 1 1 2 6 -0.01200837 -0.00001081 0.00008816
40 1 1 2 7 0.00000271 0.00000083 0.00000221
41 1 1 2 8 -0.00561884 -0.00000147 0.00007700
42 1 1 2 9 0.00000257 0.00000048 0.00000194
43 1 1 2 10 -0.00599703 0.00001842 0.00010568
44 1 1 2 11 -0.00000369 -0.00000012 0.00001023
45 1 1 2 12 -0.00519809 0.00001741 0.00004864
46 1 1 2 13 -0.00016136 -0.00001569 0.00011160
47 1 1 2 14 0.20342818 -0.00018907 0.00187656
48 1 1 2 15 0.00015531 0.00003322 0.00016059
49 1 1 3 0 -0.00002933 -0.00000188 0.00003448
50 1 1 3 1 -0.00764385 0.00000306 0.00002441
51 1 1 3 2 -0.00003140 -0.00000436 0.00004178
52 1 1 3 3 -0.20293920 0.00000000 0.00052104
53 1 1 3 4 0.00002257 -0.00000314 0.00002830
54 1 1 3 5 0.01266701 0.00000091 0.00007210
55 1 1 3 6 -0.00000077 -0.00000055 0.00000256
56 1 1 3 7 0.00945678 0.00000512 0.00008340
57 1 1 3 8 -0.00000266 -0.00000067 0.00000202
58 1 1 3 9 0.00472868 -0.00000833 0.00009138
59 1 1 3 10 -0.00000190 -0.00000057 0.00000551
60 1 1 3 11 0.00433497 -0.00002107 0.00008893
61 1 1 3 12 0.00012444 0.00000099 0.00007275
62 1 1 3 13 -0.07515548 0.00023426 0.00142172
63 1 1 3 14 -0.00016963 -0.00001313 0.00011260
64 1 1 3 15 -0.00405847 -0.00000567 0.00007174
65 1 1 4 0 -0.01403848 0.00001773 0.00008392
66 1 1 4 1 0.00000675 0.00000095 0.00001189
67 1 1 4 2 -0.00834905 -0.00000028 0.00004539
68 1 1 4 3 0.00002257 0.00000314 0.00002830
69 1 1 4 4 0.13156405 -0.00000000 0.00047372
70 1 1 4 5 -0.00001442 0.00000260 0.00001883
71 1 1 4 6 -0.01321978 -0.00000071 0.00008425
72 1 1 4 7 0.00000140 0.00000057 0.00000182
73 1 1 4 8 -0.00747732 0.00000203 0.00008817
74 1 1 4 9 0.00000342 0.00000029 0.00000300
75 1 1 4 10 -0.00365283 0.00001605 0.00009441
76 1 1 4 11 -0.00007065 0.00000446 0.00004706
77 1 1 4 12 0.02486226 -0.00022351 0.00088569
78 1 1 4 13 0.00012710 -0.00000021 0.00007334
79 1 1 4 14 -0.00519709 0.00001832 0.00004866
80 1 1 4 15 0.00001368 0.00000212 0.00001862
81 1 1 5 0 0.00000216 -0.00000115 0.00000426
82 1 1 5 1 0.01454259 -0.00001565 0.00009542
83 1 1 5 2 -0.00000095 -0.00000069 0.00000506
84 1 1 5 3 0.01266701 -0.00000091 0.00007210
85 1 1 5 4 -0.00001442 -0.00000260 0.00001883
86 1 1 5 5 -0.08991784 0.00000000 0.00039887
87 1 1 5 6 0.00000749 -0.00000224 0.00001173
88 1 1 5 7 0.01255013 -0.00000133 0.00009338
89 1 1 5 8 -0.00000247 -0.00000001 0.00000193
90 1 1 5 9 0.00618233 -0.00000942 0.00009588
91 1 1 5 10 0.00003038 0.00000031 0.00003085
92 1 1 5 11 -0.00488613 0.00015532 0.00049815
93 1 1 5 12 -0.00006935 0.00000487 0.00004781
94 1 1 5 13 0.00433192 -0.00002078 0.00008881
95 1 1 5 14 -0.00000279 -0.00000001 0.00001014
96 1 1 5 15 0.01044666 -0.00002728 0.00011231
97 1 1 6 0 -0.00905941 0.00001994 0.00009414
98 1 1 6 1 -0.00000315 0.00000096 0.00000226
99 1 1 6 2 -0.01200837 0.00001081 0.00008816
100 1 1 6 3 -0.00000077 0.00000055 0.00000256
101 1 1 6 4 -0.01321978 0.00000071 0.00008425
102 1 1 6 5 0.00000749 0.00000224 0.00001173
103 1 1 6 6 0.06607570 -0.00000000 0.00033165
104 1 1 6 7 -0.00000138 0.00000122 0.00000641
105 1 1 6 8 -0.01190067 0.00000474 0.00010547
106 1 1 6 9 -0.00000992 -0.00000687 0.00001929
107 1 1 6 10 -0.00546968 -0.00008995 0.00026162
108 1 1 6 11 0.00002765 0.00000051 0.00003171
