INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 1.82306569 0.00000000 0.00020264
2 1 1 0 1 1.49890396 -0.00000796 0.00004536
3 1 1 0 2 1.48555312 -0.00002523 0.00007005
4 1 1 0 3 1.48303466 -0.00004995 0.00010359
5 1 1 0 4 1.48259289 -0.00008112 0.00011971
6 1 1 0 5 1.48214224 -0.00011718 0.00013499
7 1 1 0 6 1.48164491 -0.00015572 0.00015394
8 1 1 0 7 1.48087422 -0.00019553 0.00017524
9 1 1 0 8 1.47952893 -0.00023549 0.00019672
10 1 1 0 9 1.47765251 -0.00027437 0.00021815
11 1 1 0 10 1.47551837 -0.00031026 0.00024010
12 1 1 0 11 1.47329041 -0.00034093 0.00026189
13 1 1 0 12 1.47093353 -0.00036691 0.00028040
14 1 1 0 13 1.47114844 -0.00039045 0.00029158
15 1 1 0 14 1.48563724 -0.00041225 0.00029855
16 1 1 0 15 1.81870558 -0.00064270 0.00049831
17 1 1 1 0 1.49890396 0.00000796 0.00004536
18 1 1 1 1 1.91664149 0.00000000 0.00009714
19 1 1 1 2 1.62805233 -0.00001516 0.00005111
20 1 1 1 3 1.62077052 -0.00003763 0.00005441
21 1 1 1 4 1.62226345 -0.00006408 0.00005775
22 1 1 1 5 1.62455645 -0.00009287 0.00007279
23 1 1 1 6 1.62513715 -0.00012322 0.00009003
24 1 1 1 7 1.62487071 -0.00015407 0.00011027
25 1 1 1 8 1.62445864 -0.00018533 0.00012481
26 1 1 1 9 1.62373898 -0.00021598 0.00013633
27 1 1 1 10 1.62179373 -0.00024463 0.00015068
28 1 1 1 11 1.61723068 -0.00027131 0.00016396
29 1 1 1 12 1.61277708 -0.00029322 0.00017868
30 1 1 1 13 1.61917631 -0.00030199 0.00018079
31 1 1 1 14 1.93005214 -0.00049120 0.00030095
32 1 1 1 15 1.52908681 -0.00033770 0.00021931
33 1 1 2 0 1.48555312 0.00002523 0.00007005
34 1 1 2 1 1.62805233 0.00001516 0.00005111
35 1 1 2 2 1.85607383 0.00000000 0.00011711
36 1 1 2 3 1.62292456 -0.00001854 0.00008862
37 1 1 2 4 1.62877704 -0.00003942 0.00006985
38 1 1 2 5 1.63460530 -0.00006229 0.00006192
39 1 1 2 6 1.63825444 -0.00008669 0.00006984
40 1 1 2 7 1.63942111 -0.00011227 0.00008765
41 1 1 2 8 1.63981530 -0.00013732 0.00009716
42 1 1 2 9 1.63921020 -0.00016113 0.00010245
43 1 1 2 10 1.63481671 -0.00018361 0.00011275
44 1 1 2 11 1.62619895 -0.00020179 0.00013039
45 1 1 2 12 1.61609778 -0.00020516 0.00014412
46 1 1 2 13 1.87091003 -0.00035055 0.00022669
47 1 1 2 14 1.66859612 -0.00024560 0.00016278
48 1 1 2 15 1.52410889 -0.00028693 0.00020699
49 1 1 3 0 1.48303466 0.00004995 0.00010359
50 1 1 3 1 1.62077052 0.00003763 0.00005441
51 1 1 3 2 1.62292456 0.00001854 0.00008862
52 1 1 3 3 1.78559627 0.00000000 0.00015372
53 1 1 3 4 1.60019232 -0.00001835 0.00012080
54 1 1 3 5 1.61785855 -0.00003665 0.00007132
55 1 1 3 6 1.62662566 -0.00005687 0.00006365
56 1 1 3 7 1.63095501 -0.00007774 0.00007943
57 1 1 3 8 1.63222402 -0.00009857 0.00008549
58 1 1 3 9 1.62955402 -0.00011872 0.00008465
59 1 1 3 10 1.61986881 -0.00013534 0.00010049
60 1 1 3 11 1.59614189 -0.00013761 0.00014309
61 1 1 3 12 1.79891156 -0.00024700 0.00020841
62 1 1 3 13 1.65932119 -0.00016894 0.00014757
63 1 1 3 14 1.66452093 -0.00021545 0.00016046
64 1 1 3 15 1.52640027 -0.00025635 0.00021773
65 1 1 4 0 1.48259289 0.00008112 0.00011971
66 1 1 4 1 1.62226345 0.00006408 0.00005775
67 1 1 4 2 1.62877704 0.00003942 0.00006985
68 1 1 4 3 1.60019232 0.00001835 0.00012080
69 1 1 4 4 1.73376754 0.00000000 0.00018619
70 1 1 4 5 1.58482540 -0.00001759 0.00013575
71 1 1 4 6 1.61190160 -0.00003382 0.00005474
72 1 1 4 7 1.62204686 -0.00005169 0.00008171
73 1 1 4 8 1.62380063 -0.00006988 0.00008305
74 1 1 4 9 1.61544173 -0.00008613 0.00007108
75 1 1 4 10 1.58249614 -0.00009031 0.00014149
76 1 1 4 11 1.74503351 -0.00017107 0.00021601
77 1 1 4 12 1.62896355 -0.00011788 0.00015681
78 1 1 4 13 1.66417019 -0.00015660 0.00014248
79 1 1 4 14 1.66685188 -0.00019617 0.00016259
80 1 1 4 15 1.52919707 -0.00023960 0.00022659
81 1 1 5 0 1.48214224 0.00011718 0.00013499
82 1 1 5 1 1.62455645 0.00009287 0.00007279
83 1 1 5 2 1.63460530 0.00006229 0.00006192
84 1 1 5 3 1.61785855 0.00003665 0.00007132
85 1 1 5 4 1.58482540 0.00001759 0.00013575
86 1 1 5 5 1.70451433 -0.00000000 0.00020633
87 1 1 5 6 1.58188973 -0.00001705 0.00013837
88 1 1 5 7 1.61390203 -0.00003171 0.00005300
89 1 1 5 8 1.61531246 -0.00004732 0.00006084
90 1 1 5 9 1.57887576 -0.00005445 0.00012613
91 1 1 5 10 1.71319875 -0.00011240 0.00022227
92 1 1 5 11 1.60630142 -0.00008079 0.00016558
93 1 1 5 12 1.64260268 -0.00011396 0.00013020
94 1 1 5 13 1.66882554 -0.00014589 0.00014228
95 1 1 5 14 1.66990530 -0.00018582 0.00016835
96 1 1 5 15 1.53116664 -0.00023190 0.00023478
97 1 1 6 0 1.48164491 0.00015572 0.00015394
98 1 1 6 1 1.62513715 0.00012322 0.00009003
99 1 1 6 2 1.63825444 0.00008669 0.00006984
100 1 1 6 3 1.62662566 0.00005687 0.00006365
101 1 1 6 4 1.61190160 0.00003382 0.00005474
102 1 1 6 5 1.58188973 0.00001705 0.00013837
103 1 1 6 6 1.69457469 0.00000000 0.00021720
104 1 1 6 7 1.58105098 -0.00001694 0.00008094
105 1 1 6 8 1.57500990 -0.00002525 0.00008181
106 1 1 6 9 1.69923888 -0.00006363 0.00021570
107 1 1 6 10 1.59686602 -0.00005063 0.00016006
108 1 1 6 11 1.62760836 -0.00007861 0.00010832
109 1 1 6 12 1.64949558 -0.00010521 0.00012818
110 1 1 6 13 1.67249034 -0.00013879 0.00014485
111 1 1 6 14 1.67138038 -0.00018191 0.00017512
112 1 1 6 15 1.53253593 -0.00022990 0.00024356
113 1 1 7 0 1.48087422 0.00019553 0.00017524
114 1 1 7 1 1.62487071 0.00015407 0.00011027
115 1 1 7 2 1.63942111 0.00011227 0.00008765
116 1 1 7 3 1.63095501 0.00007774 0.00007943
117 1 1 7 4 1.62204686 0.00005169 0.00008171
118 1 1 7 5 1.61390203 0.00003171 0.00005300
119 1 1 7 6 1.58105098 0.00001694 0.00008094
120 1 1 7 7 1.65039337 -0.00000000 0.00022543
121 1 1 7 8 1.65870137 -0.00002328 0.00025174
122 1 1 7 9 1.59023258 -0.00002426 0.00010561
123 1 1 7 10 1.62230695 -0.00004612 0.00008800
124 1 1 7 11 1.63592197 -0.00006796 0.00012467
125 1 1 7 12 1.65370827 -0.00009660 0.00013474
126 1 1 7 13 1.67421342 -0.00013393 0.00015327
127 1 1 7 14 1.67194419 -0.00018123 0.00018335
128 1 1 7 15 1.53314194 -0.00023131 0.00025162
129 1 1 8 0 1.47952893 0.00023549 0.00019672
130 1 1 8 1 1.62445864 0.00018533 0.00012481
131 1 1 8 2 1.63981530 0.00013732 0.00009716
132 1 1 8 3 1.63222402 0.00009857 0.00008549
133 1 1 8 4 1.62380063 0.00006988 0.00008305
134 1 1 8 5 1.61531246 0.00004732 0.00006084
135 1 1 8 6 1.57500990 0.00002525 0.00008181
136 1 1 8 7 1.65870137 0.00002328 0.00025174
137 1 1 8 8 1.66464239 -0.00000000 0.00026841
138 1 1 8 9 1.58671670 -0.00001939 0.00011141
