INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.30706530 0.00000000 0.00053655
2 1 1 0 1 0.32422586 -0.00000010 0.00063758
3 1 1 0 2 0.38269998 -0.00000032 0.00097989
4 1 1 0 3 0.50850543 -0.00000098 0.00168199
5 1 1 0 4 0.77139815 -0.00000255 0.00290064
6 1 1 0 5 1.34248272 0.00001300 0.00439809
7 1 1 0 6 2.59657816 -0.00008546 0.00383605
8 1 1 0 7 4.68581041 -0.00001385 0.00769879
9 1 1 0 8 5.77730093 -0.00000622 0.01186566
10 1 1 0 9 4.68283118 0.00002667 0.00768595
11 1 1 0 10 2.59456852 0.00001838 0.00383824
12 1 1 0 11 1.34209687 -0.00007881 0.00439621
13 1 1 0 12 0.77097789 -0.00004134 0.00287169
14 1 1 0 13 0.50797631 -0.00002032 0.00165198
15 1 1 0 14 0.38235105 -0.00000587 0.00096299
16 1 1 0 15 0.32407537 -0.00000092 0.00063052
17 1 1 1 0 0.32407537 0.00000092 0.00063052
18 1 1 1 1 0.33779481 0.00000053 0.00059981
19 1 1 1 2 0.39514482 -0.00000079 0.00080398
20 1 1 1 3 0.52285151 -0.00000303 0.00136555
21 1 1 1 4 0.80053590 -0.00001277 0.00252868
22 1 1 1 5 1.45800479 -0.00003483 0.00426645
23 1 1 1 6 3.16019290 -0.00004352 0.00340051
24 1 1 1 7 5.39254421 0.00002742 0.00613200
25 1 1 1 8 4.68457000 -0.00000875 0.00768415
26 1 1 1 9 3.94985320 -0.00003547 0.01293076
27 1 1 1 10 2.82638311 -0.00008451 0.00579419
28 1 1 1 11 1.63343349 -0.00001451 0.00380853
29 1 1 1 12 0.93123426 -0.00006674 0.00357068
30 1 1 1 13 0.58833628 -0.00002434 0.00235179
31 1 1 1 14 0.42465139 -0.00000681 0.00141872
32 1 1 1 15 0.34903301 -0.00000000 0.00088018
33 1 1 2 0 0.38235105 0.00000587 0.00096299
34 1 1 2 1 0.39497829 0.00000283 0.00079630
35 1 1 2 2 0.46852792 -0.00000040 0.00094781
36 1 1 2 3 0.64654812 -0.00000656 0.00153361
37 1 1 2 4 1.07999521 -0.00003033 0.00271930
38 1 1 2 5 2.28170929 -0.00007878 0.00262785
39 1 1 2 6 4.41379161 0.00009483 0.00397142
40 1 1 2 7 3.15922133 -0.00002541 0.00343930
