INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 415.64376122 -0.00000000 0.02095815
2 1 1 0 1 -0.47785582 1.14113065 0.00943451
3 1 1 0 2 -3.13667729 -0.09208717 0.00743875
4 1 1 0 3 -3.57704724 -1.38687785 0.00552243
5 1 1 0 4 -2.55477193 -1.71915261 0.00466311
6 1 1 0 5 -1.58354411 -1.53033122 0.00413019
7 1 1 0 6 -0.89542093 -1.10809059 0.00380836
8 1 1 0 7 -0.49339796 -0.57644366 0.00363607
9 1 1 0 8 -0.36246161 -0.00409757 0.00358015
10 1 1 0 9 -0.49175529 0.56823535 0.00363277
11 1 1 0 10 -0.89197592 1.09983121 0.00380518
12 1 1 0 11 -1.57792322 1.52199260 0.00412118
13 1 1 0 12 -2.54623747 1.71073820 0.00465989
14 1 1 0 13 -3.56422071 1.37855335 0.00551716
15 1 1 0 14 -3.11745725 0.08465845 0.00752852
16 1 1 0 15 -0.44938722 -1.14575611 0.00951542
17 1 1 1 0 -0.44938722 1.14575611 0.00951542
18 1 1 1 1 2.36530151 -0.20199767 0.00636324
19 1 1 1 2 1.80445053 0.60239273 0.00195644
20 1 1 1 3 0.70984567 0.56974646 0.00140962
21 1 1 1 4 0.25667743 0.29848871 0.00122517
22 1 1 1 5 0.10901897 0.15081109 0.00105258
23 1 1 1 6 0.05617144 0.06711089 0.00094737
24 1 1 1 7 0.04002135 0.01228850 0.00088237
25 1 1 1 8 0.04505219 -0.02701207 0.00085202
26 1 1 1 9 0.06668534 -0.06256280 0.00086155
27 1 1 1 10 0.11456371 -0.10230422 0.00090231
28 1 1 1 11 0.20822828 -0.15178041 0.00098195
29 1 1 1 12 0.41224289 -0.22021803 0.00111825
30 1 1 1 13 0.92191574 -0.32180786 0.00121622
31 1 1 1 14 1.92982269 -0.38044968 0.00134473
32 1 1 1 15 2.38842274 -0.00000000 0.00521552
33 1 1 2 0 -3.11745725 -0.08465845 0.00752852
34 1 1 2 1 1.80294543 0.60507481 0.00200176
35 1 1 2 2 2.24774409 1.51523159 0.00528031
36 1 1 2 3 1.04669587 1.25295149 0.00085710
37 1 1 2 4 0.22602290 0.54653140 0.00098469
38 1 1 2 5 0.06005024 0.26171753 0.00065677
39 1 1 2 6 0.00996761 0.11958955 0.00052030
40 1 1 2 7 0.00463883 0.03841603 0.00041607
41 1 1 2 8 0.02087264 -0.01846700 0.00037236
42 1 1 2 9 0.05897545 -0.06552445 0.00040592
43 1 1 2 10 0.13026984 -0.11261246 0.00050374
44 1 1 2 11 0.27612940 -0.16854052 0.00061730
45 1 1 2 12 0.60330142 -0.23162044 0.00096454
46 1 1 2 13 1.66072510 -0.31801835 0.00063038
47 1 1 2 14 2.78242292 -0.00000000 0.00525387
48 1 1 2 15 1.92982269 0.38044968 0.00134473
49 1 1 3 0 -3.56422071 -1.37855335 0.00551716
50 1 1 3 1 0.70860136 0.57181819 0.00144514
51 1 1 3 2 1.04701579 1.25418768 0.00087805
52 1 1 3 3 1.46607002 2.52686952 0.00331228
53 1 1 3 4 0.32332224 1.28605418 0.00105930
54 1 1 3 5 -0.00895268 0.44071061 0.00086523
55 1 1 3 6 -0.03619464 0.18837634 0.00042492
56 1 1 3 7 -0.02212427 0.06140371 0.00033184
57 1 1 3 8 0.01479825 -0.01454158 0.00027578
58 1 1 3 9 0.07807841 -0.07278194 0.00031867
59 1 1 3 10 0.19782162 -0.12836451 0.00039113
60 1 1 3 11 0.45213626 -0.18378017 0.00083559
61 1 1 3 12 1.35012396 -0.26427534 0.00092461
62 1 1 3 13 2.97453266 0.00000000 0.00333265
63 1 1 3 14 1.66072510 0.31801835 0.00063038
64 1 1 3 15 0.92191574 0.32180786 0.00121622
65 1 1 4 0 -2.54623747 -1.71073820 0.00465989
66 1 1 4 1 0.25550489 0.29995535 0.00125683
67 1 1 4 2 0.22618545 0.54774243 0.00101763
68 1 1 4 3 0.32346860 1.28761996 0.00109189
69 1 1 4 4 0.28900019 3.06737168 0.00251227
70 1 1 4 5 -0.19372413 1.06588751 0.00096512
71 1 1 4 6 -0.14102346 0.32128829 0.00070854
72 1 1 4 7 -0.06761832 0.09819706 0.00034488
73 1 1 4 8 0.01312945 -0.01394956 0.00026898
74 1 1 4 9 0.13176369 -0.08875109 0.00030157
75 1 1 4 10 0.36447105 -0.15208593 0.00063195
76 1 1 4 11 1.11060203 -0.21820884 0.00080629
77 1 1 4 12 3.12011471 0.00000000 0.00252982
78 1 1 4 13 1.35012396 0.26427534 0.00092461
79 1 1 4 14 0.60330142 0.23162044 0.00096454
80 1 1 4 15 0.41224289 0.22021803 0.00111825
81 1 1 5 0 -1.57792322 -1.52199260 0.00412118
82 1 1 5 1 0.10785425 0.15185879 0.00107715
83 1 1 5 2 0.05998728 0.26267516 0.00067916
84 1 1 5 3 -0.00907714 0.44194468 0.00087608
85 1 1 5 4 -0.19413962 1.06757640 0.00100016
86 1 1 5 5 -1.01062536 2.97677130 0.00201105
87 1 1 5 6 -0.49227551 0.73348227 0.00075236
88 1 1 5 7 -0.17636619 0.16803167 0.00055719
89 1 1 5 8 0.01521086 -0.01452486 0.00030708
90 1 1 5 9 0.26482617 -0.11321702 0.00044417
91 1 1 5 10 0.91695580 -0.18160436 0.00057134
92 1 1 5 11 3.17479379 0.00000000 0.00201904
93 1 1 5 12 1.11060203 0.21820884 0.00080629
94 1 1 5 13 0.45213626 0.18378017 0.00083559
95 1 1 5 14 0.27612940 0.16854052 0.00061730
96 1 1 5 15 0.20822828 0.15178041 0.00098195
97 1 1 6 0 -0.89197592 -1.09983121 0.00380518
98 1 1 6 1 0.05498948 0.06783268 0.00096897
99 1 1 6 2 0.00975467 0.12036515 0.00054321
100 1 1 6 3 -0.03648663 0.18923862 0.00045475
101 1 1 6 4 -0.14154563 0.32237595 0.00068751
102 1 1 6 5 -0.49335537 0.73503461 0.00080868
103 1 1 6 6 -2.12350987 2.30867539 0.00113702
104 1 1 6 7 -0.56053912 0.36493296 0.00073148
105 1 1 6 8 0.02241548 -0.01555085 0.00040394
106 1 1 6 9 0.71292010 -0.14324077 0.00060600
107 1 1 6 10 3.16552614 0.00000000 0.00113676
108 1 1 6 11 0.91695580 0.18160436 0.00057134
109 1 1 6 12 0.36447105 0.15208593 0.00063195
110 1 1 6 13 0.19782162 0.12836451 0.00039113
111 1 1 6 14 0.13026984 0.11261246 0.00050374
112 1 1 6 15 0.11456371 0.10230422 0.00090231
113 1 1 7 0 -0.49175529 -0.56823535 0.00363277
114 1 1 7 1 0.03880993 0.01273913 0.00090124
115 1 1 7 2 0.00431454 0.03903698 0.00043156
116 1 1 7 3 -0.02250588 0.06203114 0.00034553
117 1 1 7 4 -0.06815567 0.09886971 0.00036274
118 1 1 7 5 -0.17724266 0.16885817 0.00052906
119 1 1 7 6 -0.56219347 0.36601412 0.00078465
120 1 1 7 7 -2.68860281 1.18067057 0.00065171
121 1 1 7 8 0.03847589 -0.01265015 0.00061733
122 1 1 7 9 2.97256593 0.00000000 0.00071222
123 1 1 7 10 0.71292010 0.14324077 0.00060600
124 1 1 7 11 0.26482617 0.11321702 0.00044417
125 1 1 7 12 0.13176369 0.08875109 0.00030157
126 1 1 7 13 0.07807841 0.07278194 0.00031867
127 1 1 7 14 0.05897545 0.06552445 0.00040592
128 1 1 7 15 0.06668534 0.06256280 0.00086155
129 1 1 8 0 -0.36246161 0.00409757 0.00358015
130 1 1 8 1 0.04380494 -0.02681519 0.00086930
131 1 1 8 2 0.02046475 -0.01798073 0.00038026
132 1 1 8 3 0.01435845 -0.01408899 0.00028279
133 1 1 8 4 0.01260194 -0.01352191 0.00027401
134 1 1 8 5 0.01448396 -0.01409434 0.00031273
135 1 1 8 6 0.02129061 -0.01510054 0.00041197
136 1 1 8 7 0.03648634 -0.01227887 0.00063047
137 1 1 8 8 0.00857853 0.00000000 0.00025176
138 1 1 8 9 0.03847589 0.01265015 0.00061733
139 1 1 8 10 0.02241548 0.01555085 0.00040394
140 1 1 8 11 0.01521086 0.01452486 0.00030708
141 1 1 8 12 0.01312945 0.01394956 0.00026898
142 1 1 8 13 0.01479825 0.01454158 0.00027578
143 1 1 8 14 0.02087264 0.01846700 0.00037236
144 1 1 8 15 0.04505219 0.02701207 0.00085202
145 1 1 9 0 -0.49339796 0.57644366 0.00363607
146 1 1 9 1 0.06539588 -0.06261033 0.00087415
147 1 1 9 2 0.05850080 -0.06517042 0.00040586
148 1 1 9 3 0.07760183 -0.07247149 0.00031762
149 1 1 9 4 0.13124081 -0.08849761 0.00029561
150 1 1 9 5 0.26420556 -0.11301215 0.00046989
151 1 1 9 6 0.71207043 -0.14312471 0.00058190
152 1 1 9 7 2.97142587 -0.00000000 0.00075093
153 1 1 9 8 0.03648634 0.01227887 0.00063047
154 1 1 9 9 -2.68860281 -1.18067057 0.00065171
155 1 1 9 10 -0.56053912 -0.36493296 0.00073148
156 1 1 9 11 -0.17636619 -0.16803167 0.00055719
157 1 1 9 12 -0.06761832 -0.09819706 0.00034488
158 1 1 9 13 -0.02212427 -0.06140371 0.00033184
159 1 1 9 14 0.00463883 -0.03841603 0.00041607
160 1 1 9 15 0.04002135 -0.01228850 0.00088237
161 1 1 10 0 -0.89542093 1.10809059 0.00380836
162 1 1 10 1 0.11321152 -0.10261456 0.00091497
163 1 1 10 2 0.12973982 -0.11239100 0.00049528
164 1 1 10 3 0.19731735 -0.12818792 0.00037687
165 1 1 10 4 0.36396648 -0.15197736 0.00064613
166 1 1 10 5 0.91639448 -0.18158592 0.00054760
167 1 1 10 6 3.16498293 -0.00000000 0.00115183
168 1 1 10 7 0.71207043 0.14312471 0.00058190
169 1 1 10 8 0.02129061 0.01510054 0.00041197
170 1 1 10 9 -0.56219347 -0.36601412 0.00078465
171 1 1 10 10 -2.12350987 -2.30867539 0.00113702
172 1 1 10 11 -0.49227551 -0.73348227 0.00075236
173 1 1 10 12 -0.14102346 -0.32128829 0.00070854
174 1 1 10 13 -0.03619464 -0.18837634 0.00042492
175 1 1 10 14 0.00996761 -0.11958955 0.00052030
176 1 1 10 15 0.05617144 -0.06711089 0.00094737
177 1 1 11 0 -1.58354411 1.53033122 0.00413019
178 1 1 11 1 0.20676665 -0.15241346 0.00098701
179 1 1 11 2 0.27554580 -0.16847186 0.00060670
180 1 1 11 3 0.45160661 -0.18374317 0.00083471
181 1 1 11 4 1.11012982 -0.21828749 0.00079466
182 1 1 11 5 3.17448133 -0.00000000 0.00202058
183 1 1 11 6 0.91639448 0.18158592 0.00054760
184 1 1 11 7 0.26420556 0.11301215 0.00046989
185 1 1 11 8 0.01448396 0.01409434 0.00031273
186 1 1 11 9 -0.17724266 -0.16885817 0.00052906
187 1 1 11 10 -0.49335537 -0.73503461 0.00080868
188 1 1 11 11 -1.01062536 -2.97677130 0.00201105
189 1 1 11 12 -0.19372413 -1.06588751 0.00096512
190 1 1 11 13 -0.00895268 -0.44071061 0.00086523
