INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 0.99880380 -0.00000000 0.00003525
2 1 1 0 0 1 0.99827773 0.00000010 0.00004835
3 1 1 0 0 2 0.99612797 0.00000044 0.00009392
4 1 1 0 0 3 0.99049560 0.00000090 0.00019684
5 1 1 0 0 4 0.97696356 0.00000020 0.00040366
6 1 1 0 0 5 0.94426212 0.00000172 0.00077462
7 1 1 0 0 6 0.86300599 0.00001774 0.00127287
8 1 1 0 0 7 0.66929046 0.00002770 0.00102866
9 1 1 0 0 8 0.50000000 -0.00000000 0.00000000
10 1 1 0 0 9 0.66954155 -0.00002773 0.00102835
11 1 1 0 0 10 0.86300761 -0.00001298 0.00126679
12 1 1 0 0 11 0.94432797 -0.00000391 0.00076559
13 1 1 0 0 12 0.97706645 -0.00000049 0.00039748
14 1 1 0 0 13 0.99056548 -0.00000018 0.00019392
15 1 1 0 0 14 0.99616253 -0.00000030 0.00009232
16 1 1 0 0 15 0.99829120 -0.00000006 0.00004739
17 1 1 0 1 0 0.99829120 0.00000006 0.00004739
18 1 1 0 1 1 0.99812732 0.00000017 0.00003930
19 1 1 0 1 2 0.99640240 0.00000058 0.00005848
20 1 1 0 1 3 0.99164696 0.00000153 0.00011728
21 1 1 0 1 4 0.97985521 0.00000331 0.00025355
22 1 1 0 1 5 0.94880443 0.00000620 0.00053728
23 1 1 0 1 6 0.84965985 0.00002008 0.00093518
24 1 1 0 1 7 0.50000000 -0.00000000 0.00000000
25 1 1 0 1 8 0.33070954 -0.00002770 0.00102866
26 1 1 0 1 9 0.50034245 -0.00002139 0.00027582
27 1 1 0 1 10 0.73910405 -0.00001962 0.00146958
28 1 1 0 1 11 0.89121970 -0.00000351 0.00129583
29 1 1 0 1 12 0.95659033 -0.00000041 0.00074686
30 1 1 0 1 13 0.98278391 0.00000034 0.00038330
31 1 1 0 1 14 0.99313792 -0.00000002 0.00018552
32 1 1 0 1 15 0.99707525 0.00000000 0.00008852
33 1 1 0 2 0 0.99616253 0.00000030 0.00009232
34 1 1 0 2 1 0.99641625 0.00000056 0.00005762
35 1 1 0 2 2 0.99406653 0.00000128 0.00006568
36 1 1 0 2 3 0.98654525 0.00000346 0.00012988
37 1 1 0 2 4 0.96410648 0.00001025 0.00031298
38 1 1 0 2 5 0.88302777 0.00002889 0.00069863
39 1 1 0 2 6 0.50000000 -0.00000000 0.00000000
40 1 1 0 2 7 0.15034015 -0.00002008 0.00093518
41 1 1 0 2 8 0.13699401 -0.00001774 0.00127287
42 1 1 0 2 9 0.26124120 -0.00002351 0.00147018
43 1 1 0 2 10 0.50043097 -0.00001358 0.00031434
44 1 1 0 2 11 0.74732511 -0.00000964 0.00156801
45 1 1 0 2 12 0.89743710 -0.00000020 0.00131753
46 1 1 0 2 13 0.95993449 0.00000011 0.00074867
47 1 1 0 2 14 0.98411374 0.00000000 0.00038161
48 1 1 0 2 15 0.99313792 0.00000002 0.00018552
49 1 1 0 3 0 0.99056548 0.00000018 0.00019392
50 1 1 0 3 1 0.99167980 0.00000130 0.00011596
51 1 1 0 3 2 0.98655592 0.00000354 0.00012942
52 1 1 0 3 3 0.96683334 0.00001112 0.00027420
53 1 1 0 3 4 0.89004833 0.00003480 0.00064673
54 1 1 0 3 5 0.50000000 -0.00000000 0.00000000
55 1 1 0 3 6 0.11697223 -0.00002889 0.00069863
56 1 1 0 3 7 0.05119557 -0.00000620 0.00053728
57 1 1 0 3 8 0.05573788 -0.00000172 0.00077462
58 1 1 0 3 9 0.10880254 -0.00000960 0.00130484
59 1 1 0 3 10 0.25306769 -0.00001371 0.00156828
60 1 1 0 3 11 0.50045732 -0.00000606 0.00032486
61 1 1 0 3 12 0.74933860 -0.00000260 0.00159640
