MEASUREMENT MEAN_R MEAN_I STD
Nsqrd 65544.69465855 -0.00000000 0.00291897
action_bosonic 33.66173585 0.00000000 0.06024475
action_fermionic -6408.33771268 0.00000000 0.06496184
action_total -6374.67597683 0.00000000 0.07072348
chemical_potential 0.00000000 0.00000000 0.00000000
compressibility 0.54341616 -0.00000000 0.00018244
density 1.00000000 -0.00000000 0.00000000
density_dn 0.50000000 -0.00000000 0.00000000
density_up 0.50000000 -0.00000000 0.00000000
double_occ 0.24996745 -0.00000000 0.00000027
logdetGdn -3204.16885634 0.00000000 0.03248092
logdetGup -3204.16885634 0.00000000 0.03248092
sgn 1.00000000 0.00000000 0.00000000
sgndetGdn 1.00000000 0.00000000 0.00000000
sgndetGup 1.00000000 0.00000000 0.00000000
