MEASUREMENT ID_TYPE ID MEAN_R MEAN_I STD
X4 PHONON_ID 1 0.33743123 -0.00000000 0.01179346
X3 PHONON_ID 1 -0.00025223 0.00000000 0.00045972
X2 PHONON_ID 1 0.35936712 -0.00000000 0.00663551
X PHONON_ID 1 -0.00007875 0.00000000 0.00032296
photon_pot_energy PHOTON_ID 1 0.17968356 -0.00000000 0.00331776
photon_kin_energy PHOTON_ID 1 3.07582507 0.00000000 0.00170053
hopping_inversion HOPPING_ID 1 0.93750000 0.00000000 0.00000000
hopping_inversion HOPPING_ID 2 0.93750000 0.00000000 0.00000000
hopping_inversion_dn HOPPING_ID 1 0.93750000 0.00000000 0.00000000
hopping_inversion_dn HOPPING_ID 2 0.93750000 0.00000000 0.00000000
hopping_inversion_up HOPPING_ID 1 0.93750000 0.00000000 0.00000000
hopping_inversion_up HOPPING_ID 2 0.93750000 0.00000000 0.00000000
hopping_inversion_avg HOPPING_ID 1 0.93750000 0.00000000 0.00000000
hopping_inversion_avg HOPPING_ID 2 0.93750000 0.00000000 0.00000000
hopping_inversion_avg_dn HOPPING_ID 1 0.93750000 0.00000000 0.00000000
hopping_inversion_avg_dn HOPPING_ID 2 0.93750000 0.00000000 0.00000000
hopping_inversion_avg_up HOPPING_ID 1 0.93750000 0.00000000 0.00000000
hopping_inversion_avg_up HOPPING_ID 2 0.93750000 0.00000000 0.00000000
hopping_amplitude HOPPING_ID 1 0.84392495 -0.00002585 0.00162336
hopping_amplitude HOPPING_ID 2 0.84392495 0.00002585 0.00162336
hopping_amplitude_dn HOPPING_ID 1 0.84392495 -0.00002585 0.00162336
hopping_amplitude_dn HOPPING_ID 2 0.84392495 0.00002585 0.00162336
hopping_amplitude_up HOPPING_ID 1 0.84392495 -0.00002585 0.00162336
hopping_amplitude_up HOPPING_ID 2 0.84392495 0.00002585 0.00162336
hopping_energy_dn HOPPING_ID 1 -0.38951558 -0.00000000 0.00002297
hopping_energy_dn HOPPING_ID 2 -0.38951558 -0.00000000 0.00002297
hopping_energy_up HOPPING_ID 1 -0.38951558 -0.00000000 0.00002297
hopping_energy_up HOPPING_ID 2 -0.38951558 -0.00000000 0.00002297
hopping_energy HOPPING_ID 1 -0.77903116 -0.00000000 0.00004595
hopping_energy HOPPING_ID 2 -0.77903116 -0.00000000 0.00004595
bare_hopping_energy_dn HOPPING_ID 1 0.00000000 0.00000000 0.00000000
bare_hopping_energy_dn HOPPING_ID 2 0.00000000 0.00000000 0.00000000
bare_hopping_energy_up HOPPING_ID 1 0.00000000 0.00000000 0.00000000
bare_hopping_energy_up HOPPING_ID 2 0.00000000 0.00000000 0.00000000
bare_hopping_energy HOPPING_ID 1 0.00000000 0.00000000 0.00000000
bare_hopping_energy HOPPING_ID 2 0.00000000 0.00000000 0.00000000
onsite_energy_dn ORBITAL_ID 1 0.00000000 0.00000000 0.00000000
onsite_energy_up ORBITAL_ID 1 0.00000000 0.00000000 0.00000000
onsite_energy ORBITAL_ID 1 0.00000000 0.00000000 0.00000000
double_occ ORBITAL_ID 1 0.24996745 -0.00000000 0.00000027
density_dn ORBITAL_ID 1 0.50000000 -0.00000000 0.00000000
density_up ORBITAL_ID 1 0.50000000 -0.00000000 0.00000000
density ORBITAL_ID 1 1.00000000 -0.00000000 0.00000000
