INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.34757943 -0.00000000 0.00180875
2 1 1 0 1 0.37138239 0.00001652 0.00204632
3 1 1 0 2 0.45122684 0.00004018 0.00275357
4 1 1 0 3 0.61576831 0.00007351 0.00393426
5 1 1 0 4 0.93093941 0.00013802 0.00537699
6 1 1 0 5 1.52616639 0.00023434 0.00604686
7 1 1 0 6 2.63449458 0.00020611 0.00392375
8 1 1 0 7 4.26764777 0.00029654 0.01407576
9 1 1 0 8 5.14529114 -0.00000063 0.02093454
10 1 1 0 9 4.26767747 -0.00029038 0.01405834
11 1 1 0 10 2.63492229 -0.00020013 0.00390697
12 1 1 0 11 1.52668867 -0.00018048 0.00604326
13 1 1 0 12 0.93071753 -0.00010014 0.00536380
14 1 1 0 13 0.61535115 -0.00005844 0.00392652
15 1 1 0 14 0.45097159 -0.00003313 0.00275163
16 1 1 0 15 0.37129148 -0.00001433 0.00204574
17 1 1 1 0 0.37129148 0.00001433 0.00204574
18 1 1 1 1 0.38302866 0.00003193 0.00201113
19 1 1 1 2 0.45423014 0.00005907 0.00253279
20 1 1 1 3 0.61710878 0.00009847 0.00371534
21 1 1 1 4 0.95746414 0.00015903 0.00561743
22 1 1 1 5 1.67882153 0.00026722 0.00729524
23 1 1 1 6 3.25558853 0.00031004 0.00409881
24 1 1 1 7 5.01221303 -0.00005508 0.01365206
25 1 1 1 8 4.26721127 -0.00033758 0.01406342
26 1 1 1 9 3.43855933 -0.00019481 0.01702404
27 1 1 1 10 2.54619589 -0.00011874 0.00937925
28 1 1 1 11 1.68058238 -0.00006537 0.00373705
29 1 1 1 12 1.07836288 -0.00008958 0.00487048
30 1 1 1 13 0.71936436 -0.00004375 0.00441481
31 1 1 1 14 0.51729110 -0.00001844 0.00340328
32 1 1 1 15 0.41193683 0.00000000 0.00253152
33 1 1 2 0 0.45097159 0.00003313 0.00275163
34 1 1 2 1 0.45411951 0.00005234 0.00253185
35 1 1 2 2 0.53828683 0.00008376 0.00298170
36 1 1 2 3 0.75260402 0.00013113 0.00419794
37 1 1 2 4 1.24658388 0.00021357 0.00595449
38 1 1 2 5 2.41510415 0.00027023 0.00446788
39 1 1 2 6 4.23062997 -0.00003355 0.00623872
40 1 1 2 7 3.25562283 -0.00032934 0.00410691
41 1 1 2 8 2.63448929 -0.00024431 0.00391493
42 1 1 2 9 2.54573843 -0.00014828 0.00938153
43 1 1 2 10 2.33539137 -0.00005803 0.01588813
44 1 1 2 11 1.91856487 -0.00004671 0.00881911
45 1 1 2 12 1.37004756 -0.00001394 0.00358285
46 1 1 2 13 0.93851634 -0.00002699 0.00443348
47 1 1 2 14 0.66847537 0.00000000 0.00418360
48 1 1 2 15 0.51729110 0.00001844 0.00340328
49 1 1 3 0 0.61535115 0.00005844 0.00392652
50 1 1 3 1 0.61680133 0.00007922 0.00371244
51 1 1 3 2 0.75243989 0.00011619 0.00419663
52 1 1 3 3 1.12536411 0.00018847 0.00499226
53 1 1 3 4 2.06370618 0.00024998 0.00317071
54 1 1 3 5 3.61143888 -0.00002718 0.00758024
55 1 1 3 6 2.41531325 -0.00022084 0.00447599
56 1 1 3 7 1.67927146 -0.00020327 0.00731267
57 1 1 3 8 1.52671672 -0.00023447 0.00607942
58 1 1 3 9 1.68044405 -0.00011872 0.00374866
59 1 1 3 10 1.91812033 -0.00005889 0.00881742
60 1 1 3 11 1.92741238 -0.00001675 0.01477434
61 1 1 3 12 1.70193847 -0.00001289 0.00839081
62 1 1 3 13 1.28979824 0.00000000 0.00352293
63 1 1 3 14 0.93851634 0.00002699 0.00443348
64 1 1 3 15 0.71936436 0.00004375 0.00441481
65 1 1 4 0 0.93071753 0.00010014 0.00536380
66 1 1 4 1 0.95705704 0.00012414 0.00560625
67 1 1 4 2 1.24629586 0.00019107 0.00594740
68 1 1 4 3 2.06360765 0.00025730 0.00316701
69 1 1 4 4 3.42807646 -0.00003942 0.00820158
70 1 1 4 5 2.06398519 -0.00021431 0.00318311
71 1 1 4 6 1.24721512 -0.00013906 0.00597958
72 1 1 4 7 0.95811946 -0.00009441 0.00564590
73 1 1 4 8 0.93158450 -0.00009630 0.00540123
74 1 1 4 9 1.07864975 -0.00011787 0.00490881
75 1 1 4 10 1.36997924 -0.00003593 0.00359816
76 1 1 4 11 1.70151876 -0.00001351 0.00838718
77 1 1 4 12 1.82076049 0.00000000 0.01433813
78 1 1 4 13 1.70193847 0.00001289 0.00839081
79 1 1 4 14 1.37004756 0.00001394 0.00358285
80 1 1 4 15 1.07836288 0.00008958 0.00487048
81 1 1 5 0 1.52668867 0.00018048 0.00604326
82 1 1 5 1 1.67873474 0.00021939 0.00727714
83 1 1 5 2 2.41468098 0.00028549 0.00444977
84 1 1 5 3 3.61118799 -0.00002689 0.00758978
85 1 1 5 4 2.06385243 -0.00022196 0.00317889
86 1 1 5 5 1.12595469 -0.00012870 0.00501534
87 1 1 5 6 0.75323522 -0.00007356 0.00422781
88 1 1 5 7 0.61777284 -0.00005438 0.00374851
89 1 1 5 8 0.61644924 -0.00004054 0.00396534
90 1 1 5 9 0.72034292 -0.00003654 0.00445038
91 1 1 5 10 0.93892146 -0.00003334 0.00447193
92 1 1 5 11 1.28974940 -0.00000000 0.00353963
93 1 1 5 12 1.70151876 0.00001351 0.00838718
94 1 1 5 13 1.92741238 0.00001675 0.01477434
95 1 1 5 14 1.91856487 0.00004671 0.00881911
96 1 1 5 15 1.68058238 0.00006537 0.00373705
97 1 1 6 0 2.63492229 0.00020013 0.00390697
98 1 1 6 1 3.25604777 0.00031990 0.00408372
99 1 1 6 2 4.23025757 -0.00001751 0.00627532
100 1 1 6 3 2.41491234 -0.00021723 0.00445621
101 1 1 6 4 1.24691155 -0.00011607 0.00596558
102 1 1 6 5 0.75302218 -0.00005968 0.00422138
103 1 1 6 6 0.53876975 -0.00004656 0.00300597
104 1 1 6 7 0.45473736 -0.00003526 0.00255896
105 1 1 6 8 0.45184117 -0.00002279 0.00278490
106 1 1 6 9 0.51838284 -0.00001071 0.00344099
107 1 1 6 10 0.66948421 -0.00000000 0.00421855
108 1 1 6 11 0.93892146 0.00003334 0.00447193
109 1 1 6 12 1.36997924 0.00003593 0.00359816
110 1 1 6 13 1.91812033 0.00005889 0.00881742
111 1 1 6 14 2.33539137 0.00005803 0.01588813
112 1 1 6 15 2.54619589 0.00011874 0.00937925
113 1 1 7 0 4.26767747 0.00029038 0.01405834
