INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 415.08719103 0.00000000 0.03076325
2 1 1 0 1 -0.30102066 1.20990006 0.00992995
3 1 1 0 2 -2.95800907 0.02792489 0.00922539
4 1 1 0 3 -3.59632872 -1.33553582 0.00515651
5 1 1 0 4 -2.56180975 -1.68842813 0.00437764
6 1 1 0 5 -1.59507438 -1.50861680 0.00393411
7 1 1 0 6 -0.90877001 -1.09598974 0.00363144
8 1 1 0 7 -0.50790555 -0.56884004 0.00348848
9 1 1 0 8 -0.37706946 -0.00024425 0.00343948
10 1 1 0 9 -0.50780975 0.56845890 0.00348179
11 1 1 0 10 -0.90871480 1.09596698 0.00363524
12 1 1 0 11 -1.59540550 1.50921670 0.00390857
13 1 1 0 12 -2.56317401 1.68989538 0.00437629
14 1 1 0 13 -3.59996152 1.33796547 0.00514589
15 1 1 0 14 -2.96541064 -0.02503705 0.00904320
16 1 1 0 15 -0.31340225 -1.20781260 0.00972755
17 1 1 1 0 -0.31340225 1.20781260 0.00972755
18 1 1 1 1 2.20191982 -0.28551420 0.00722737
19 1 1 1 2 1.78625830 0.55739266 0.00228243
20 1 1 1 3 0.72899384 0.58210498 0.00167759
21 1 1 1 4 0.23941928 0.28710310 0.00136760
22 1 1 1 5 0.10698001 0.14795240 0.00107037
23 1 1 1 6 0.05328125 0.06218483 0.00098541
24 1 1 1 7 0.03941164 0.01024010 0.00092166
25 1 1 1 8 0.04428792 -0.02628960 0.00089038
26 1 1 1 9 0.06542276 -0.05911922 0.00090405
27 1 1 1 10 0.11049775 -0.09625333 0.00094740
28 1 1 1 11 0.20510664 -0.14783769 0.00098545
29 1 1 1 12 0.39475053 -0.20736398 0.00125536
30 1 1 1 13 0.93938640 -0.32797488 0.00145038
31 1 1 1 14 1.89500004 -0.38101762 0.00167271
32 1 1 1 15 2.21621765 -0.00000000 0.00632878
33 1 1 2 0 -2.96541064 0.02503705 0.00904320
34 1 1 2 1 1.78712730 0.55639049 0.00227111
35 1 1 2 2 2.12849997 1.38153469 0.00649675
36 1 1 2 3 1.07705633 1.25516918 0.00102683
37 1 1 2 4 0.21188704 0.53702415 0.00110410
38 1 1 2 5 0.05701220 0.24913618 0.00086573
39 1 1 2 6 0.00941731 0.11618582 0.00057331
40 1 1 2 7 0.00521965 0.03472259 0.00045907
41 1 1 2 8 0.02038920 -0.01757301 0.00038630
42 1 1 2 9 0.05586430 -0.06045253 0.00048028
43 1 1 2 10 0.12644639 -0.10851031 0.00054104
44 1 1 2 11 0.26380135 -0.15968781 0.00088119
45 1 1 2 12 0.58560832 -0.22359829 0.00105686
46 1 1 2 13 1.67785632 -0.32322349 0.00077371
47 1 1 2 14 2.60378556 -0.00000000 0.00659940
48 1 1 2 15 1.89500004 0.38101762 0.00167271
49 1 1 3 0 -3.59996152 -1.33796547 0.00514589
50 1 1 3 1 0.72922939 0.58161512 0.00166249
51 1 1 3 2 1.07692931 1.25509237 0.00101645
52 1 1 3 3 1.42107707 2.38941808 0.00472960
53 1 1 3 4 0.35136382 1.33419815 0.00200961
54 1 1 3 5 -0.02079359 0.40501144 0.00135252
55 1 1 3 6 -0.03427373 0.18757802 0.00056230
56 1 1 3 7 -0.02184243 0.05772113 0.00040833
57 1 1 3 8 0.01411511 -0.01361175 0.00027849
58 1 1 3 9 0.07352097 -0.06910719 0.00039766
59 1 1 3 10 0.19512038 -0.12635012 0.00052751
60 1 1 3 11 0.41509959 -0.16878016 0.00136388
61 1 1 3 12 1.39850712 -0.27593804 0.00183899
62 1 1 3 13 2.83108939 0.00000000 0.00479735
63 1 1 3 14 1.67785632 0.32322349 0.00077371
64 1 1 3 15 0.93938640 0.32797488 0.00145038
65 1 1 4 0 -2.56317401 -1.68989538 0.00437629
66 1 1 4 1 0.23930796 0.28700238 0.00135030
67 1 1 4 2 0.21149971 0.53686231 0.00110058
68 1 1 4 3 0.35120386 1.33379456 0.00199787
69 1 1 4 4 0.30362755 2.93675140 0.00449935
70 1 1 4 5 -0.19546012 1.12256383 0.00224351
71 1 1 4 6 -0.13386165 0.28420908 0.00157360
72 1 1 4 7 -0.06805867 0.10118344 0.00046701
73 1 1 4 8 0.01165844 -0.01382421 0.00025860
74 1 1 4 9 0.13216079 -0.08902890 0.00039814
75 1 1 4 10 0.32708096 -0.13722114 0.00160578
76 1 1 4 11 1.16092165 -0.22935814 0.00206218
77 1 1 4 12 2.99016280 0.00000000 0.00456500
78 1 1 4 13 1.39850712 0.27593804 0.00183899
79 1 1 4 14 0.58560832 0.22359829 0.00105686
80 1 1 4 15 0.39475053 0.20736398 0.00125536
81 1 1 5 0 -1.59540550 -1.50921670 0.00390857
82 1 1 5 1 0.10667101 0.14799869 0.00105270
83 1 1 5 2 0.05658590 0.24907288 0.00087091
84 1 1 5 3 -0.02101763 0.40459291 0.00136625
85 1 1 5 4 -0.19541753 1.12208272 0.00222224
86 1 1 5 5 -0.95554746 2.88406189 0.00381044
87 1 1 5 6 -0.50910999 0.76377119 0.00185051
88 1 1 5 7 -0.16155663 0.14898915 0.00134429
89 1 1 5 8 0.01431794 -0.01366010 0.00029123
90 1 1 5 9 0.23962853 -0.10360211 0.00137912
91 1 1 5 10 0.94549653 -0.18807971 0.00164894
92 1 1 5 11 3.06807702 0.00000000 0.00385748
93 1 1 5 12 1.16092165 0.22935814 0.00206218
94 1 1 5 13 0.41509959 0.16878016 0.00136388
95 1 1 5 14 0.26380135 0.15968781 0.00088119
96 1 1 5 15 0.20510664 0.14783769 0.00098545
97 1 1 6 0 -0.90871480 -1.09596698 0.00363524
98 1 1 6 1 0.05281703 0.06224319 0.00096804
99 1 1 6 2 0.00895057 0.11612609 0.00056767
100 1 1 6 3 -0.03447901 0.18731166 0.00056184
101 1 1 6 4 -0.13384371 0.28381159 0.00158666
102 1 1 6 5 -0.50885671 0.76332761 0.00181869
103 1 1 6 6 -2.06624417 2.26844775 0.00258275
104 1 1 6 7 -0.56665194 0.36797923 0.00119840
105 1 1 6 8 0.02045788 -0.01548100 0.00037941
106 1 1 6 9 0.71364564 -0.14396866 0.00101802
107 1 1 6 10 3.09579037 0.00000000 0.00263202
108 1 1 6 11 0.94549653 0.18807971 0.00164894
109 1 1 6 12 0.32708096 0.13722114 0.00160578
110 1 1 6 13 0.19512038 0.12635012 0.00052751
111 1 1 6 14 0.12644639 0.10851031 0.00054104
112 1 1 6 15 0.11049775 0.09625333 0.00094740
113 1 1 7 0 -0.50780975 -0.56845890 0.00348179
114 1 1 7 1 0.03887797 0.01024165 0.00090521
115 1 1 7 2 0.00472075 0.03462866 0.00045676
116 1 1 7 3 -0.02204672 0.05750043 0.00040573
117 1 1 7 4 -0.06806335 0.10094372 0.00045698
118 1 1 7 5 -0.16136868 0.14866783 0.00135683
119 1 1 7 6 -0.56622893 0.36769249 0.00117142
120 1 1 7 7 -2.65431626 1.17413122 0.00143109
121 1 1 7 8 0.03345307 -0.01338836 0.00057356
122 1 1 7 9 2.93633639 0.00000000 0.00151211
123 1 1 7 10 0.71364564 0.14396866 0.00101802
124 1 1 7 11 0.23962853 0.10360211 0.00137912
125 1 1 7 12 0.13216079 0.08902890 0.00039814
126 1 1 7 13 0.07352097 0.06910719 0.00039766
127 1 1 7 14 0.05586430 0.06045253 0.00048028
128 1 1 7 15 0.06542276 0.05911922 0.00090405
