INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0.06965084 -0.00000000 0.00326447
2 1 1 0 1 0.09415977 -0.00000009 0.00399997
3 1 1 0 2 0.18501414 -0.00000015 0.00639419
4 1 1 0 3 0.39393764 -0.00000014 0.01093188
5 1 1 0 4 0.82225182 0.00000005 0.01800872
6 1 1 0 5 1.65616344 -0.00000016 0.02704969
7 1 1 0 6 3.21758764 -0.00000150 0.03373498
8 1 1 0 7 5.95118874 -0.00000186 0.02181119
9 1 1 0 8 8.00000000 0.00000000 0.00000000
10 1 1 0 9 5.95268086 0.00000128 0.02179195
11 1 1 0 10 3.21850420 0.00000040 0.03365206
12 1 1 0 11 1.65462146 -0.00000031 0.02696046
13 1 1 0 12 0.82015111 -0.00000004 0.01796566
14 1 1 0 13 0.39266316 0.00000011 0.01091962
15 1 1 0 14 0.18453476 0.00000015 0.00638664
16 1 1 0 15 0.09407550 0.00000010 0.00399105
17 1 1 1 0 0.09407550 -0.00000010 0.00399105
18 1 1 1 1 0.08546669 -0.00000021 0.00344051
19 1 1 1 2 0.13645116 -0.00000024 0.00443845
20 1 1 1 3 0.28410824 -0.00000028 0.00740672
21 1 1 1 4 0.62453088 -0.00000048 0.01297626
22 1 1 1 5 1.38937402 -0.00000109 0.02136359
23 1 1 1 6 3.23070587 -0.00000156 0.02781796
24 1 1 1 7 8.00000000 -0.00000000 0.00000000
25 1 1 1 8 10.04881126 0.00000186 0.02181119
26 1 1 1 9 8.00032071 0.00000336 0.00358793
27 1 1 1 10 5.08540809 0.00000178 0.03018466
28 1 1 1 11 2.80517947 -0.00000070 0.03494269
29 1 1 1 12 1.44681322 -0.00000048 0.02666684
30 1 1 1 13 0.71544012 -0.00000008 0.01755293
31 1 1 1 14 0.34240910 0.00000003 0.01060631
32 1 1 1 15 0.16548856 -0.00000000 0.00623296
33 1 1 2 0 0.18453476 -0.00000015 0.00638664
34 1 1 2 1 0.13635358 -0.00000026 0.00443063
35 1 1 2 2 0.18147943 -0.00000031 0.00459199
36 1 1 2 3 0.37503138 -0.00000037 0.00737318
37 1 1 2 4 0.92168567 -0.00000082 0.01380383
38 1 1 2 5 2.51268199 -0.00000186 0.02222661
39 1 1 2 6 8.00000000 -0.00000000 0.00000000
40 1 1 2 7 12.76929413 0.00000156 0.02781796
41 1 1 2 8 12.78241236 0.00000150 0.03373498
42 1 1 2 9 10.91601029 0.00000348 0.03028368
43 1 1 2 10 7.99992038 0.00000229 0.00411653
44 1 1 2 11 5.00240358 0.00000134 0.03185795
45 1 1 2 12 2.72596184 -0.00000053 0.03559688
46 1 1 2 13 1.39640537 -0.00000018 0.02679303
47 1 1 2 14 0.69271251 0.00000000 0.01751325
48 1 1 2 15 0.34240910 -0.00000003 0.01060631
49 1 1 3 0 0.39266316 -0.00000011 0.01091962
50 1 1 3 1 0.28360471 -0.00000024 0.00740119
51 1 1 3 2 0.37489801 -0.00000031 0.00737116
52 1 1 3 3 0.82906346 -0.00000058 0.01170807
53 1 1 3 4 2.33925533 -0.00000132 0.01996349
54 1 1 3 5 8.00000000 -0.00000000 0.00000000
55 1 1 3 6 13.48731801 0.00000186 0.02222661
56 1 1 3 7 14.61062598 0.00000109 0.02136359
57 1 1 3 8 14.34383656 0.00000016 0.02704969
58 1 1 3 9 13.19518574 0.00000067 0.03505551
59 1 1 3 10 10.99874867 0.00000269 0.03196500
60 1 1 3 11 7.99990535 0.00000105 0.00424546
61 1 1 3 12 4.98437074 0.00000057 0.03234337
62 1 1 3 13 2.70932868 0.00000000 0.03579926
63 1 1 3 14 1.39640537 0.00000018 0.02679303
64 1 1 3 15 0.71544012 0.00000008 0.01755293
65 1 1 4 0 0.82015111 0.00000004 0.01796566
66 1 1 4 1 0.62329253 -0.00000030 0.01296115
67 1 1 4 2 0.92120584 -0.00000054 0.01379900
68 1 1 4 3 2.33920885 -0.00000100 0.01996379
69 1 1 4 4 8.00000000 -0.00000000 0.00000000
70 1 1 4 5 13.66074467 0.00000132 0.01996349
71 1 1 4 6 15.07831433 0.00000082 0.01380383
72 1 1 4 7 15.37546912 0.00000048 0.01297626
73 1 1 4 8 15.17774818 -0.00000005 0.01800872
74 1 1 4 9 14.55132841 -0.00000029 0.02675844
75 1 1 4 10 13.27441166 0.00000044 0.03571465
76 1 1 4 11 11.01674784 0.00000101 0.03244937
77 1 1 4 12 7.99992100 0.00000000 0.00427521
78 1 1 4 13 4.98437074 -0.00000057 0.03234337
79 1 1 4 14 2.72596184 0.00000053 0.03559688
80 1 1 4 15 1.44681322 0.00000048 0.02666684
81 1 1 5 0 1.65462146 0.00000031 0.02696046
82 1 1 5 1 1.38786752 -0.00000063 0.02132240
83 1 1 5 2 2.51212890 -0.00000106 0.02221539
84 1 1 5 3 8.00000000 -0.00000000 0.00000000
85 1 1 5 4 13.66079115 0.00000100 0.01996379
86 1 1 5 5 15.17093654 0.00000058 0.01170807
87 1 1 5 6 15.62496862 0.00000037 0.00737318
88 1 1 5 7 15.71589176 0.00000028 0.00740672
89 1 1 5 8 15.60606236 0.00000014 0.01093188
90 1 1 5 9 15.28239081 -0.00000012 0.01759472
91 1 1 5 10 14.60167789 -0.00000012 0.02688609
92 1 1 5 11 13.29105553 0.00000000 0.03591852
93 1 1 5 12 11.01674784 -0.00000101 0.03244937
94 1 1 5 13 7.99990535 -0.00000105 0.00424546
95 1 1 5 14 5.00240358 -0.00000134 0.03185795
96 1 1 5 15 2.80517947 0.00000070 0.03494269
97 1 1 6 0 3.21850420 -0.00000040 0.03365206
98 1 1 6 1 3.23038374 -0.00000059 0.02777296
99 1 1 6 2 8.00000000 -0.00000000 0.00000000
100 1 1 6 3 13.48787110 0.00000106 0.02221539
101 1 1 6 4 15.07879416 0.00000054 0.01379900
102 1 1 6 5 15.62510199 0.00000031 0.00737116
103 1 1 6 6 15.81852057 0.00000031 0.00459199
104 1 1 6 7 15.86354884 0.00000024 0.00443845
105 1 1 6 8 15.81498586 0.00000015 0.00639419
106 1 1 6 9 15.65631565 0.00000004 0.01061908
107 1 1 6 10 15.30509995 0.00000000 0.01755522
108 1 1 6 11 14.60167789 0.00000012 0.02688609
109 1 1 6 12 13.27441166 -0.00000044 0.03571465
110 1 1 6 13 10.99874867 -0.00000269 0.03196500
111 1 1 6 14 7.99992038 -0.00000229 0.00411653
112 1 1 6 15 5.08540809 -0.00000178 0.03018466
113 1 1 7 0 5.95268086 -0.00000128 0.02179195
114 1 1 7 1 8.00000000 -0.00000000 0.00000000
115 1 1 7 2 12.76961626 0.00000059 0.02777296
116 1 1 7 3 14.61213248 0.00000063 0.02132240
117 1 1 7 4 15.37670747 0.00000030 0.01296115
118 1 1 7 5 15.71639529 0.00000024 0.00740119
119 1 1 7 6 15.86364642 0.00000026 0.00443063
120 1 1 7 7 15.91453331 0.00000021 0.00344051
121 1 1 7 8 15.90584023 0.00000009 0.00399997
122 1 1 7 9 15.83404469 0.00000000 0.00624093
123 1 1 7 10 15.65631565 -0.00000004 0.01061908
124 1 1 7 11 15.28239081 0.00000012 0.01759472
125 1 1 7 12 14.55132841 0.00000029 0.02675844
126 1 1 7 13 13.19518574 -0.00000067 0.03505551
127 1 1 7 14 10.91601029 -0.00000348 0.03028368
128 1 1 7 15 8.00032071 -0.00000336 0.00358793
129 1 1 8 0 8.00000000 -0.00000000 0.00000000
130 1 1 8 1 10.04731914 0.00000128 0.02179195
131 1 1 8 2 12.78149580 0.00000040 0.03365206
132 1 1 8 3 14.34537854 -0.00000031 0.02696046
133 1 1 8 4 15.17984889 -0.00000004 0.01796566
134 1 1 8 5 15.60733684 0.00000011 0.01091962
135 1 1 8 6 15.81546524 0.00000015 0.00638664
136 1 1 8 7 15.90592450 0.00000010 0.00399105
137 1 1 8 8 15.93034916 0.00000000 0.00326447
138 1 1 8 9 15.90584023 -0.00000009 0.00399997
139 1 1 8 10 15.81498586 -0.00000015 0.00639419
140 1 1 8 11 15.60606236 -0.00000014 0.01093188
141 1 1 8 12 15.17774818 0.00000005 0.01800872
142 1 1 8 13 14.34383656 -0.00000016 0.02704969
143 1 1 8 14 12.78241236 -0.00000150 0.03373498
144 1 1 8 15 10.04881126 -0.00000186 0.02181119
145 1 1 9 0 5.95118874 0.00000186 0.02181119
146 1 1 9 1 7.99967929 0.00000336 0.00358793
147 1 1 9 2 10.91459191 0.00000178 0.03018466
148 1 1 9 3 13.19482053 -0.00000070 0.03494269
149 1 1 9 4 14.55318678 -0.00000048 0.02666684
150 1 1 9 5 15.28455988 -0.00000008 0.01755293
151 1 1 9 6 15.65759090 0.00000003 0.01060631
152 1 1 9 7 15.83451144 -0.00000000 0.00623296
153 1 1 9 8 15.90592450 -0.00000010 0.00399105
154 1 1 9 9 15.91453331 -0.00000021 0.00344051
155 1 1 9 10 15.86354884 -0.00000024 0.00443845
156 1 1 9 11 15.71589176 -0.00000028 0.00740672
157 1 1 9 12 15.37546912 -0.00000048 0.01297626
158 1 1 9 13 14.61062598 -0.00000109 0.02136359
159 1 1 9 14 12.76929413 -0.00000156 0.02781796
160 1 1 9 15 8.00000000 0.00000000 0.00000000
161 1 1 10 0 3.21758764 0.00000150 0.03373498
162 1 1 10 1 5.08398971 0.00000348 0.03028368
163 1 1 10 2 8.00007962 0.00000229 0.00411653
164 1 1 10 3 10.99759642 0.00000134 0.03185795
165 1 1 10 4 13.27403816 -0.00000053 0.03559688
166 1 1 10 5 14.60359463 -0.00000018 0.02679303
167 1 1 10 6 15.30728749 -0.00000000 0.01751325
168 1 1 10 7 15.65759090 -0.00000003 0.01060631
169 1 1 10 8 15.81546524 -0.00000015 0.00638664
170 1 1 10 9 15.86364642 -0.00000026 0.00443063
171 1 1 10 10 15.81852057 -0.00000031 0.00459199
172 1 1 10 11 15.62496862 -0.00000037 0.00737318
173 1 1 10 12 15.07831433 -0.00000082 0.01380383
