INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 8.00000000 0.00000000 0.00000000
2 1 1 0 1 -2.84138391 0.00008481 0.00555867
3 1 1 0 2 -0.00000017 0.00000008 0.00000012
4 1 1 0 3 -0.12901460 -0.00005848 0.00157958
5 1 1 0 4 -0.00000000 0.00000000 0.00000003
6 1 1 0 5 -0.01068754 -0.00000671 0.00031707
7 1 1 0 6 0.00000000 -0.00000001 0.00000001
8 1 1 0 7 0.00318559 0.00000187 0.00005437
9 1 1 0 8 0.00000000 -0.00000001 0.00000000
10 1 1 0 9 0.00318559 -0.00000187 0.00005437
11 1 1 0 10 -0.00000000 -0.00000001 0.00000001
12 1 1 0 11 -0.01068754 0.00000671 0.00031707
13 1 1 0 12 0.00000000 0.00000000 0.00000003
14 1 1 0 13 -0.12901460 0.00005848 0.00157958
15 1 1 0 14 0.00000017 0.00000008 0.00000012
16 1 1 0 15 -2.84138391 -0.00008481 0.00555867
17 1 1 1 0 -2.84138391 -0.00008481 0.00555867
18 1 1 1 1 0.00000038 -0.00000000 0.00000053
19 1 1 1 2 0.77837323 0.00001398 0.00268781
20 1 1 1 3 0.00000004 -0.00000004 0.00000005
21 1 1 1 4 0.06052196 0.00002825 0.00068780
22 1 1 1 5 -0.00000002 0.00000001 0.00000002
23 1 1 1 6 0.00407577 0.00000192 0.00013034
24 1 1 1 7 -0.00000000 0.00000001 0.00000001
25 1 1 1 8 -0.00346928 0.00000071 0.00003275
26 1 1 1 9 -0.00000000 0.00000001 0.00000001
27 1 1 1 10 -0.00093957 0.00000521 0.00013475
28 1 1 1 11 -0.00000003 0.00000000 0.00000002
29 1 1 1 12 0.02763784 -0.00002201 0.00082928
30 1 1 1 13 -0.00000020 -0.00000008 0.00000011
31 1 1 1 14 0.47456889 -0.00018418 0.00636238
32 1 1 1 15 -0.00000000 -0.00000000 0.00000000
33 1 1 2 0 -0.00000017 -0.00000008 0.00000012
34 1 1 2 1 0.77837323 -0.00001398 0.00268781
35 1 1 2 2 -0.00000025 0.00000000 0.00000024
36 1 1 2 3 -0.35744470 -0.00002844 0.00196974
37 1 1 2 4 0.00000000 0.00000003 0.00000004
38 1 1 2 5 -0.03173787 -0.00001163 0.00035381
39 1 1 2 6 0.00000002 -0.00000001 0.00000002
40 1 1 2 7 -0.00104170 -0.00000180 0.00005238
41 1 1 2 8 0.00000000 -0.00000001 0.00000001
42 1 1 2 9 0.00240540 -0.00000440 0.00005408
43 1 1 2 10 0.00000002 -0.00000000 0.00000002
44 1 1 2 11 -0.00462508 -0.00001342 0.00038716
45 1 1 2 12 0.00000016 0.00000007 0.00000012
46 1 1 2 13 -0.10547517 0.00011277 0.00357068
47 1 1 2 14 0.00000000 0.00000000 0.00000000
48 1 1 2 15 0.47456889 -0.00018418 0.00636238
49 1 1 3 0 -0.12901460 0.00005848 0.00157958
50 1 1 3 1 0.00000004 0.00000004 0.00000005
51 1 1 3 2 -0.35744470 0.00002844 0.00196974
52 1 1 3 3 0.00000018 0.00000000 0.00000015
53 1 1 3 4 0.18959762 0.00002050 0.00140750
54 1 1 3 5 -0.00000003 -0.00000002 0.00000003
55 1 1 3 6 0.01703232 0.00000350 0.00019424
56 1 1 3 7 -0.00000002 0.00000000 0.00000001
57 1 1 3 8 -0.00009777 0.00000362 0.00003135
58 1 1 3 9 -0.00000001 -0.00000000 0.00000002
59 1 1 3 10 -0.00025288 0.00001543 0.00017464
60 1 1 3 11 -0.00000007 -0.00000004 0.00000011
61 1 1 3 12 0.02365565 0.00005653 0.00178709
62 1 1 3 13 -0.00000000 0.00000000 0.00000000
63 1 1 3 14 -0.10547517 0.00011277 0.00357068
64 1 1 3 15 0.00000020 0.00000008 0.00000011
65 1 1 4 0 -0.00000000 -0.00000000 0.00000003
66 1 1 4 1 0.06052196 -0.00002825 0.00068780
67 1 1 4 2 0.00000000 -0.00000003 0.00000004
68 1 1 4 3 0.18959762 -0.00002050 0.00140750
69 1 1 4 4 -0.00000010 0.00000000 0.00000009
70 1 1 4 5 -0.10732114 -0.00000979 0.00095330
71 1 1 4 6 0.00000003 0.00000001 0.00000003
72 1 1 4 7 -0.00905609 -0.00000199 0.00010675
73 1 1 4 8 0.00000002 0.00000001 0.00000002
74 1 1 4 9 0.00017215 -0.00001132 0.00008422
75 1 1 4 10 -0.00000001 0.00000001 0.00000010
76 1 1 4 11 -0.00355717 -0.00007792 0.00091561
77 1 1 4 12 0.00000000 -0.00000000 0.00000000
78 1 1 4 13 0.02365565 0.00005653 0.00178709
79 1 1 4 14 -0.00000016 -0.00000007 0.00000012
80 1 1 4 15 0.02763784 -0.00002201 0.00082928
81 1 1 5 0 -0.01068754 0.00000671 0.00031707
82 1 1 5 1 -0.00000002 -0.00000001 0.00000002
83 1 1 5 2 -0.03173787 0.00001163 0.00035381
84 1 1 5 3 -0.00000003 0.00000002 0.00000003
85 1 1 5 4 -0.10732114 0.00000979 0.00095330
86 1 1 5 5 0.00000005 0.00000000 0.00000006
87 1 1 5 6 0.06117750 0.00000451 0.00060553
88 1 1 5 7 -0.00000004 -0.00000001 0.00000002
89 1 1 5 8 0.00437592 0.00000729 0.00007352
90 1 1 5 9 0.00000003 0.00000000 0.00000010
91 1 1 5 10 -0.00070701 0.00004946 0.00048916
92 1 1 5 11 -0.00000000 0.00000000 0.00000000
93 1 1 5 12 -0.00355717 -0.00007792 0.00091561
94 1 1 5 13 0.00000007 0.00000004 0.00000011
95 1 1 5 14 -0.00462508 -0.00001342 0.00038716
96 1 1 5 15 0.00000003 -0.00000000 0.00000002
97 1 1 6 0 0.00000000 0.00000001 0.00000001
98 1 1 6 1 0.00407577 -0.00000192 0.00013034
99 1 1 6 2 0.00000002 0.00000001 0.00000002
100 1 1 6 3 0.01703232 -0.00000350 0.00019424
101 1 1 6 4 0.00000003 -0.00000001 0.00000003
102 1 1 6 5 0.06117750 -0.00000451 0.00060553
103 1 1 6 6 -0.00000001 -0.00000000 0.00000004
104 1 1 6 7 -0.03170718 -0.00000752 0.00033700
105 1 1 6 8 -0.00000004 0.00000000 0.00000010
106 1 1 6 9 -0.00029596 -0.00002324 0.00025862
107 1 1 6 10 -0.00000000 -0.00000000 0.00000000
108 1 1 6 11 -0.00070701 0.00004946 0.00048916
109 1 1 6 12 0.00000001 -0.00000001 0.00000010
110 1 1 6 13 -0.00025288 0.00001543 0.00017464
111 1 1 6 14 -0.00000002 0.00000000 0.00000002
112 1 1 6 15 -0.00093957 0.00000521 0.00013475
113 1 1 7 0 0.00318559 -0.00000187 0.00005437
114 1 1 7 1 -0.00000000 -0.00000001 0.00000001
115 1 1 7 2 -0.00104170 0.00000180 0.00005238
116 1 1 7 3 -0.00000002 -0.00000000 0.00000001
117 1 1 7 4 -0.00905609 0.00000199 0.00010675
118 1 1 7 5 -0.00000004 0.00000001 0.00000002
119 1 1 7 6 -0.03170718 0.00000752 0.00033700
120 1 1 7 7 0.00000007 -0.00000000 0.00000011
121 1 1 7 8 0.00944750 0.00001255 0.00015982
122 1 1 7 9 0.00000000 0.00000000 0.00000000
123 1 1 7 10 -0.00029596 -0.00002324 0.00025862
124 1 1 7 11 -0.00000003 -0.00000000 0.00000010
125 1 1 7 12 0.00017215 -0.00001132 0.00008422
126 1 1 7 13 0.00000001 0.00000000 0.00000002
127 1 1 7 14 0.00240540 -0.00000440 0.00005408
128 1 1 7 15 0.00000000 -0.00000001 0.00000001
129 1 1 8 0 0.00000000 0.00000001 0.00000000
130 1 1 8 1 -0.00346928 -0.00000071 0.00003275
131 1 1 8 2 0.00000000 0.00000001 0.00000001
132 1 1 8 3 -0.00009777 -0.00000362 0.00003135
133 1 1 8 4 0.00000002 -0.00000001 0.00000002
