INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 1.62143434 -0.00000000 0.00012017
2 1 1 0 1 0.00011209 0.00000402 0.00021183
3 1 1 0 2 0.05560132 -0.00000364 0.00039178
4 1 1 0 3 -0.00001030 0.00000818 0.00003672
5 1 1 0 4 -0.01181208 -0.00000151 0.00008898
6 1 1 0 5 -0.00000205 0.00000119 0.00000470
7 1 1 0 6 -0.00647986 -0.00000703 0.00009863
8 1 1 0 7 0.00000038 0.00000030 0.00000234
9 1 1 0 8 -0.00284306 0.00000040 0.00008369
10 1 1 0 9 0.00000040 -0.00000024 0.00000218
11 1 1 0 10 -0.00648014 0.00000706 0.00009862
12 1 1 0 11 -0.00000240 -0.00000150 0.00000459
13 1 1 0 12 -0.01181023 0.00000144 0.00008905
14 1 1 0 13 -0.00001051 -0.00000829 0.00003600
15 1 1 0 14 0.05558836 0.00001004 0.00039219
16 1 1 0 15 0.00010376 -0.00000486 0.00020816
17 1 1 1 0 0.00011209 -0.00000402 0.00021183
18 1 1 1 1 -0.57065857 -0.00000000 0.00064169
19 1 1 1 2 -0.00002656 -0.00001565 0.00008481
20 1 1 1 3 -0.00612753 -0.00000166 0.00005577
21 1 1 1 4 0.00000667 -0.00000304 0.00001302
22 1 1 1 5 0.01172544 0.00000175 0.00010400
23 1 1 1 6 0.00000067 -0.00000032 0.00000246
24 1 1 1 7 0.00497091 0.00000457 0.00008028
25 1 1 1 8 -0.00000066 -0.00000013 0.00000230
26 1 1 1 9 0.00304121 -0.00000114 0.00009099
27 1 1 1 10 0.00000105 0.00000061 0.00000200
28 1 1 1 11 0.00718925 -0.00000763 0.00012150
29 1 1 1 12 0.00000677 0.00000459 0.00001789
30 1 1 1 13 -0.00015022 -0.00000426 0.00012867
31 1 1 1 14 -0.00003209 0.00000171 0.00017374
32 1 1 1 15 -0.43640625 -0.00000732 0.00289183
33 1 1 2 0 0.05560132 0.00000364 0.00039178
34 1 1 2 1 -0.00002656 0.00001565 0.00008481
35 1 1 2 2 0.30160315 0.00000000 0.00100090
36 1 1 2 3 0.00000246 0.00000577 0.00005159
37 1 1 2 4 -0.00651625 0.00000187 0.00006268
38 1 1 2 5 -0.00000378 0.00000131 0.00000580
39 1 1 2 6 -0.00928136 -0.00000198 0.00009789
40 1 1 2 7 0.00000005 0.00000005 0.00000213
41 1 1 2 8 -0.00360190 -0.00000285 0.00007842
42 1 1 2 9 -0.00000032 -0.00000008 0.00000183
43 1 1 2 10 -0.00306858 0.00000139 0.00011112
44 1 1 2 11 -0.00000469 -0.00000155 0.00000920
45 1 1 2 12 -0.00393416 0.00000133 0.00005298
46 1 1 2 13 -0.00002179 0.00000567 0.00010523
47 1 1 2 14 0.11683530 0.00010803 0.00281141
48 1 1 2 15 -0.00002338 0.00000016 0.00017482
49 1 1 3 0 -0.00001030 -0.00000818 0.00003672
