INDEX ORBITAL_ID_2 ORBITAL_ID_1 R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 1.81618927 0.00000000 0.00023730
2 1 1 0 1 1.49901786 -0.00000630 0.00004166
3 1 1 0 2 1.48528137 -0.00000892 0.00006818
4 1 1 0 3 1.48372559 -0.00000639 0.00009047
5 1 1 0 4 1.48349454 -0.00000089 0.00010622
6 1 1 0 5 1.48306941 0.00000676 0.00012169
7 1 1 0 6 1.48224602 0.00001519 0.00013977
8 1 1 0 7 1.48131057 0.00002464 0.00016064
9 1 1 0 8 1.47995686 0.00003622 0.00018073
10 1 1 0 9 1.47824456 0.00004978 0.00020095
11 1 1 0 10 1.47640768 0.00006253 0.00022302
12 1 1 0 11 1.47410613 0.00007203 0.00024386
13 1 1 0 12 1.47143434 0.00007677 0.00026125
14 1 1 0 13 1.47058558 0.00007371 0.00027256
15 1 1 0 14 1.48546563 0.00006934 0.00027910
16 1 1 0 15 1.81367239 0.00008702 0.00047538
17 1 1 1 0 1.49901786 0.00000630 0.00004166
18 1 1 1 1 1.91172738 -0.00000000 0.00016066
19 1 1 1 2 1.62594114 0.00000567 0.00008735
20 1 1 1 3 1.61853285 0.00001531 0.00009055
21 1 1 1 4 1.62113925 0.00002758 0.00006430
22 1 1 1 5 1.62387374 0.00004131 0.00007112
23 1 1 1 6 1.62453094 0.00005536 0.00008357
24 1 1 1 7 1.62401245 0.00007010 0.00010380
25 1 1 1 8 1.62359919 0.00008535 0.00011599
26 1 1 1 9 1.62310907 0.00010059 0.00012421
27 1 1 1 10 1.62108692 0.00011476 0.00013730
28 1 1 1 11 1.61595851 0.00012632 0.00015042
29 1 1 1 12 1.60991343 0.00013449 0.00017563
30 1 1 1 13 1.61593735 0.00014075 0.00018139
31 1 1 1 14 1.92623117 0.00020103 0.00029675
32 1 1 1 15 1.53149190 0.00013795 0.00019981
33 1 1 2 0 1.48528137 0.00000892 0.00006818
34 1 1 2 1 1.62594114 -0.00000567 0.00008735
35 1 1 2 2 1.84986404 0.00000000 0.00020501
36 1 1 2 3 1.61820845 0.00000913 0.00017723
37 1 1 2 4 1.62523246 0.00001849 0.00013519
38 1 1 2 5 1.63264012 0.00002992 0.00008577
39 1 1 2 6 1.63672082 0.00004341 0.00008682
40 1 1 2 7 1.63781028 0.00005731 0.00009999
41 1 1 2 8 1.63821826 0.00007088 0.00010750
42 1 1 2 9 1.63789711 0.00008324 0.00010750
43 1 1 2 10 1.63322331 0.00009391 0.00011293
44 1 1 2 11 1.62251263 0.00010124 0.00015680
45 1 1 2 12 1.61018369 0.00010447 0.00020878
46 1 1 2 13 1.86529477 0.00015193 0.00026347
47 1 1 2 14 1.66891849 0.00012119 0.00016478
48 1 1 2 15 1.52610356 0.00010957 0.00018993
49 1 1 3 0 1.48372559 0.00000639 0.00009047
50 1 1 3 1 1.61853285 -0.00001531 0.00009055
51 1 1 3 2 1.61820845 -0.00000913 0.00017723
52 1 1 3 3 1.77713510 -0.00000000 0.00028986
53 1 1 3 4 1.59351149 0.00000900 0.00024912
54 1 1 3 5 1.61433673 0.00001724 0.00013293
55 1 1 3 6 1.62428357 0.00002836 0.00009873
56 1 1 3 7 1.62844801 0.00003942 0.00013275
57 1 1 3 8 1.62987446 0.00004989 0.00013401
58 1 1 3 9 1.62778457 0.00006028 0.00010226
59 1 1 3 10 1.61693117 0.00006708 0.00012697
60 1 1 3 11 1.58865531 0.00006946 0.00025738
