INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 0.50000000 -0.00000000 0.00000000
2 1 1 0 0 1 0.17759144 0.00000383 0.00034727
3 1 1 0 0 2 -0.00000080 0.00000005 0.00000174
4 1 1 0 0 3 0.00806334 -0.00000375 0.00009874
5 1 1 0 0 4 -0.00000048 -0.00000008 0.00000037
6 1 1 0 0 5 0.00066803 -0.00000041 0.00001982
7 1 1 0 0 6 -0.00000017 -0.00000005 0.00000011
8 1 1 0 0 7 -0.00019906 0.00000015 0.00000340
9 1 1 0 0 8 -0.00000000 -0.00000002 0.00000002
10 1 1 0 0 9 -0.00019906 -0.00000015 0.00000340
11 1 1 0 0 10 0.00000017 -0.00000005 0.00000011
12 1 1 0 0 11 0.00066803 0.00000041 0.00001982
13 1 1 0 0 12 0.00000048 -0.00000008 0.00000037
14 1 1 0 0 13 0.00806334 0.00000375 0.00009874
15 1 1 0 0 14 0.00000080 0.00000005 0.00000174
16 1 1 0 0 15 0.17759144 -0.00000383 0.00034727
17 1 1 0 1 0 0.17759144 -0.00000383 0.00034727
18 1 1 0 1 1 -0.00000495 -0.00000000 0.00000979
19 1 1 0 1 2 -0.04864851 0.00000119 0.00016799
20 1 1 0 1 3 0.00000027 -0.00000005 0.00000094
21 1 1 0 1 4 -0.00378233 0.00000182 0.00004300
22 1 1 0 1 5 0.00000029 0.00000003 0.00000019
23 1 1 0 1 6 -0.00025468 0.00000011 0.00000815
24 1 1 0 1 7 0.00000007 0.00000002 0.00000005
25 1 1 0 1 8 0.00021682 0.00000004 0.00000205
26 1 1 0 1 9 -0.00000006 0.00000004 0.00000007
27 1 1 0 1 10 0.00005864 0.00000038 0.00000842
28 1 1 0 1 11 -0.00000027 0.00000009 0.00000026
29 1 1 0 1 12 -0.00172753 -0.00000134 0.00005184
30 1 1 0 1 13 -0.00000160 0.00000017 0.00000111
31 1 1 0 1 14 -0.02966610 -0.00001042 0.00039757
