INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 0.50000000 -0.00000000 0.00000000
2 1 1 0 0 1 0.50000000 0.00000178 0.00000336
3 1 1 0 0 2 0.50000000 0.00000325 0.00000797
4 1 1 0 0 3 0.50000000 0.00000395 0.00001251
5 1 1 0 0 4 0.50000000 0.00000428 0.00001702
6 1 1 0 0 5 0.50000000 0.00000435 0.00002153
7 1 1 0 0 6 0.50000000 0.00000426 0.00002605
8 1 1 0 0 7 0.50000000 0.00000407 0.00003058
9 1 1 0 0 8 0.50000000 0.00000378 0.00003510
10 1 1 0 0 9 0.50000000 0.00000350 0.00003958
11 1 1 0 0 10 0.50000000 0.00000335 0.00004401
12 1 1 0 0 11 0.50000000 0.00000332 0.00004834
13 1 1 0 0 12 0.50000000 0.00000340 0.00005245
14 1 1 0 0 13 0.50000000 0.00000378 0.00005590
15 1 1 0 0 14 0.50000000 0.00000173 0.00005529
16 1 1 0 0 15 0.50000000 0.00001230 0.00010162
17 1 1 0 1 0 0.50000000 -0.00000178 0.00000336
18 1 1 0 1 1 0.50000000 0.00000000 0.00000000
19 1 1 0 1 2 0.50000000 -0.00000058 0.00000177
20 1 1 0 1 3 0.50000000 -0.00000173 0.00000356
21 1 1 0 1 4 0.50000000 -0.00000319 0.00000537
22 1 1 0 1 5 0.50000000 -0.00000476 0.00000718
23 1 1 0 1 6 0.50000000 -0.00000642 0.00000899
24 1 1 0 1 7 0.50000000 -0.00000817 0.00001081
25 1 1 0 1 8 0.50000000 -0.00000989 0.00001263
26 1 1 0 1 9 0.50000000 -0.00001158 0.00001445
27 1 1 0 1 10 0.50000000 -0.00001332 0.00001619
28 1 1 0 1 11 0.50000000 -0.00001483 0.00001769
29 1 1 0 1 12 0.50000000 -0.00001585 0.00001840
30 1 1 0 1 13 0.50000000 -0.00001844 0.00001661
31 1 1 0 1 14 0.50000000 -0.00002015 0.00004155
32 1 1 0 1 15 0.50000000 -0.00002232 0.00002143
33 1 1 0 2 0 0.50000000 -0.00000325 0.00000797
34 1 1 0 2 1 0.50000000 0.00000058 0.00000177
35 1 1 0 2 2 0.50000000 0.00000000 0.00000000
36 1 1 0 2 3 0.50000000 -0.00000112 0.00000116
37 1 1 0 2 4 0.50000000 -0.00000247 0.00000235
38 1 1 0 2 5 0.50000000 -0.00000397 0.00000362
39 1 1 0 2 6 0.50000000 -0.00000547 0.00000488
40 1 1 0 2 7 0.50000000 -0.00000693 0.00000614
41 1 1 0 2 8 0.50000000 -0.00000845 0.00000742
42 1 1 0 2 9 0.50000000 -0.00001000 0.00000867
43 1 1 0 2 10 0.50000000 -0.00001130 0.00000976
44 1 1 0 2 11 0.50000000 -0.00001212 0.00001014
45 1 1 0 2 12 0.50000000 -0.00001375 0.00000939
46 1 1 0 2 13 0.50000000 -0.00001786 0.00002472
47 1 1 0 2 14 0.50000000 -0.00001725 0.00001217
48 1 1 0 2 15 0.50000000 -0.00001384 0.00001821
49 1 1 0 3 0 0.50000000 -0.00000395 0.00001251
50 1 1 0 3 1 0.50000000 0.00000173 0.00000356
51 1 1 0 3 2 0.50000000 0.00000112 0.00000116
52 1 1 0 3 3 0.50000000 -0.00000000 0.00000000
53 1 1 0 3 4 0.50000000 -0.00000115 0.00000100
54 1 1 0 3 5 0.50000000 -0.00000237 0.00000194
55 1 1 0 3 6 0.50000000 -0.00000362 0.00000298
56 1 1 0 3 7 0.50000000 -0.00000487 0.00000400
57 1 1 0 3 8 0.50000000 -0.00000620 0.00000503
58 1 1 0 3 9 0.50000000 -0.00000733 0.00000600
59 1 1 0 3 10 0.50000000 -0.00000797 0.00000637
60 1 1 0 3 11 0.50000000 -0.00000900 0.00000612
61 1 1 0 3 12 0.50000000 -0.00001347 0.00001654
62 1 1 0 3 13 0.50000000 -0.00001163 0.00000830
63 1 1 0 3 14 0.50000000 -0.00001212 0.00001057
64 1 1 0 3 15 0.50000000 -0.00000853 0.00001863
65 1 1 0 4 0 0.50000000 -0.00000428 0.00001702
66 1 1 0 4 1 0.50000000 0.00000319 0.00000537
67 1 1 0 4 2 0.50000000 0.00000247 0.00000235
68 1 1 0 4 3 0.50000000 0.00000115 0.00000100
69 1 1 0 4 4 0.50000000 0.00000000 0.00000000
70 1 1 0 4 5 0.50000000 -0.00000108 0.00000091
71 1 1 0 4 6 0.50000000 -0.00000214 0.00000167
72 1 1 0 4 7 0.50000000 -0.00000316 0.00000257
73 1 1 0 4 8 0.50000000 -0.00000420 0.00000345
74 1 1 0 4 9 0.50000000 -0.00000490 0.00000388
75 1 1 0 4 10 0.50000000 -0.00000555 0.00000391
76 1 1 0 4 11 0.50000000 -0.00000970 0.00001119
77 1 1 0 4 12 0.50000000 -0.00000778 0.00000569
78 1 1 0 4 13 0.50000000 -0.00000905 0.00000721
79 1 1 0 4 14 0.50000000 -0.00001043 0.00001033
80 1 1 0 4 15 0.50000000 -0.00000454 0.00002101
81 1 1 0 5 0 0.50000000 -0.00000435 0.00002153
82 1 1 0 5 1 0.50000000 0.00000476 0.00000718
83 1 1 0 5 2 0.50000000 0.00000397 0.00000362
84 1 1 0 5 3 0.50000000 0.00000237 0.00000194
85 1 1 0 5 4 0.50000000 0.00000108 0.00000091
86 1 1 0 5 5 0.50000000 -0.00000000 0.00000000
87 1 1 0 5 6 0.50000000 -0.00000089 0.00000087
88 1 1 0 5 7 0.50000000 -0.00000223 0.00000153
89 1 1 0 5 8 0.50000000 -0.00000277 0.00000209
90 1 1 0 5 9 0.50000000 -0.00000303 0.00000233
91 1 1 0 5 10 0.50000000 -0.00000654 0.00000723
92 1 1 0 5 11 0.50000000 -0.00000495 0.00000377
93 1 1 0 5 12 0.50000000 -0.00000641 0.00000501
94 1 1 0 5 13 0.50000000 -0.00000849 0.00000714
95 1 1 0 5 14 0.50000000 -0.00000970 0.00001064
96 1 1 0 5 15 0.50000000 -0.00000134 0.00002431
97 1 1 0 6 0 0.50000000 -0.00000426 0.00002605
98 1 1 0 6 1 0.50000000 0.00000642 0.00000899
99 1 1 0 6 2 0.50000000 0.00000547 0.00000488
100 1 1 0 6 3 0.50000000 0.00000362 0.00000298
101 1 1 0 6 4 0.50000000 0.00000214 0.00000167
102 1 1 0 6 5 0.50000000 0.00000089 0.00000087
103 1 1 0 6 6 0.50000000 -0.00000000 0.00000000
104 1 1 0 6 7 0.50000000 -0.00000098 0.00000083
105 1 1 0 6 8 0.50000000 -0.00000092 0.00000116
106 1 1 0 6 9 0.50000000 -0.00000394 0.00000406
107 1 1 0 6 10 0.50000000 -0.00000284 0.00000230
108 1 1 0 6 11 0.50000000 -0.00000437 0.00000332
109 1 1 0 6 12 0.50000000 -0.00000626 0.00000503
110 1 1 0 6 13 0.50000000 -0.00000834 0.00000713
111 1 1 0 6 14 0.50000000 -0.00000929 0.00001122
112 1 1 0 6 15 0.50000000 0.00000107 0.00002805
113 1 1 0 7 0 0.50000000 -0.00000407 0.00003058
114 1 1 0 7 1 0.50000000 0.00000817 0.00001081
115 1 1 0 7 2 0.50000000 0.00000693 0.00000614
116 1 1 0 7 3 0.50000000 0.00000487 0.00000400
117 1 1 0 7 4 0.50000000 0.00000316 0.00000257
118 1 1 0 7 5 0.50000000 0.00000223 0.00000153
119 1 1 0 7 6 0.50000000 0.00000098 0.00000083
120 1 1 0 7 7 0.50000000 0.00000000 0.00000000
121 1 1 0 7 8 0.50000000 -0.00000143 0.00000156
